,what,type,of,works,from,asia,are,included,in,the,v,&,a,'s,british,galleries,?
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.21809817850589752,0.2567668557167053,0.1698586642742157,0.46186959743499756,0.26896724104881287,0.3403114080429077,0.4310511648654938,0.1493779718875885,0.13937902450561523,0.3791346549987793,0.002583299996331334,0.16629528999328613,0.19913440942764282,0.41942933201789856
only,0.41415658593177795,0.24842338263988495,0.49632513523101807,0.2488624006509781,0.32145237922668457,0.273428350687027,0.4533037543296814,0.3318852186203003,0.42992329597473145,0.5497692227363586,0.1745905876159668,0.12420625239610672,0.47549712657928467,0.08984304964542389,0.1663796454668045,0.26250261068344116,0.2767370045185089
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26337864995002747,0.40150508284568787,0.2838890850543976,0.40399202704429626,0.3825419843196869,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.28973397612571716,0.27603694796562195,0.22068053483963013
work,0.3762225806713104,0.2277381420135498,0.23473061621189117,0.6060804724693298,0.20936714112758636,0.14908058941364288,0.26678818464279175,0.2312437742948532,0.2753349542617798,0.2704800069332123,0.08781450986862183,0.06640969961881638,0.266241192817688,-0.03332063928246498,0.1516800969839096,0.28761956095695496,0.2621155381202698
of,0.33290785551071167,0.18112817406654358,1.0,0.1964656114578247,0.4249346852302551,0.2372564673423767,0.39081433415412903,0.4391688108444214,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.23701532185077667,0.24172402918338776,0.1826142966747284
british,0.19255435466766357,0.13733439147472382,0.23701532185077667,0.12995171546936035,0.21991202235221863,0.20016829669475555,0.12250547111034393,0.22127242386341095,0.23084034025669098,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.06352180242538452,1.0,0.2164243906736374,0.09711728990077972
artists,0.19783541560173035,0.09214958548545837,0.18416832387447357,0.33690065145492554,0.19604091346263885,0.15234094858169556,0.18602241575717926,0.2770400643348694,0.1669624298810959,0.2150506228208542,0.1131405234336853,0.1084657534956932,0.14613932371139526,-0.016426945105195045,0.10065519064664841,0.41732892394065857,0.1482434719800949
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.33871909976005554,0.3601827025413513,0.26469188928604126,0.48576638102531433,0.3643590211868286,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.06895173341035843,0.325880765914917,0.3095110058784485,0.20544172823429108
craftspeople,0.2686477303504944,0.2830716371536255,0.29132696986198425,0.23426945507526398,0.3121907711029053,0.1572445034980774,0.23584957420825958,0.18723928928375244,0.2553604543209076,0.24489909410476685,0.14933377504348755,0.19007013738155365,0.2738509476184845,0.03266728296875954,0.2091687023639679,0.264509379863739,0.1777069866657257
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.30236580967903137,0.27355384826660156,0.18798509240150452,0.5330929756164551,0.23363345861434937,0.5394441485404968,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.02396530658006668,0.19484983384609222,0.16632306575775146,0.22961433231830597
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.18736502528190613,0.36926645040512085,0.16891232132911682,0.268924742937088,0.3028073012828827,0.46853652596473694,0.5107308030128479,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.0026888418942689896,0.19917237758636475,0.25138208270072937,0.2714994251728058
