,how,are,austpac,connections,made
started,0.19724616408348083,0.13484390079975128,0.17499732971191406,0.17668645083904266,0.33320507407188416
by,0.34370526671409607,0.37842893600463867,0.1781097799539566,0.22269801795482635,0.34175434708595276
telecom,0.1864354908466339,0.1830851286649704,0.18213428556919098,0.25107982754707336,0.1854245960712433
australia,0.18526475131511688,0.19220782816410065,0.36695218086242676,0.12094248086214066,0.1631552129983902
in,0.2601168751716614,0.3841303884983063,0.1642524003982544,0.26959285140037537,0.25271502137184143
the,0.33890387415885925,0.40399202704429626,0.17586380243301392,0.31443437933921814,0.3885267674922943
early,0.2415190190076828,0.21465954184532166,0.0850481167435646,0.22665835916996002,0.23704665899276733
1980s,-0.09099362790584564,0.1412225067615509,0.015520247630774975,0.18834173679351807,0.1451563686132431
",",0.22659391164779663,0.4062570035457611,0.17127008736133575,0.27407124638557434,0.32507219910621643
austpac,0.1974162608385086,0.05897650867700577,1.0000001192092896,0.1014874130487442,0.10885468870401382
was,0.16678167879581451,0.3076191842556,0.21115191280841827,0.2256079763174057,0.3433256447315216
australia,0.18526475131511688,0.19220782816410065,0.36695218086242676,0.12094248086214066,0.1631552129983902
's,-0.026164190843701363,-0.008927806280553341,0.0511113740503788,0.04743488132953644,0.08483956009149551
first,0.27731001377105713,0.20306691527366638,0.1653316468000412,0.1845306009054184,0.31759878993034363
public,0.15624697506427765,0.18111367523670197,0.22009561955928802,0.29857364296913147,0.18982812762260437
packet-switched,0.29999953508377075,0.24364134669303894,0.25661832094192505,0.3730495274066925,0.25844013690948486
data,0.2773200571537018,0.192618265748024,0.2613604664802551,0.2766245901584625,0.13267198204994202
network,0.22464405000209808,0.2036537528038025,0.1701781004667282,0.45226985216140747,0.1491432934999466
",",0.22659391164779663,0.4062570035457611,0.17127008736133575,0.27407124638557434,0.32507219910621643
supporting,0.20830486714839935,0.1987050175666809,0.12823128700256348,0.24283722043037415,0.22388331592082977
applications,0.26299619674682617,0.31760257482528687,0.25523850321769714,0.38116323947906494,0.17814143002033234
such,0.307365357875824,0.4654397666454315,0.09074267745018005,0.29021912813186646,0.45956191420555115
as,0.33782753348350525,0.3826591968536377,0.1671610176563263,0.19229230284690857,0.40740177035331726
