,what,is,circuit,switching,characterized,by
in,0.30808621644973755,0.5394441485404968,0.2132638841867447,0.2414494752883911,0.2862750291824341,0.370934396982193
cases,0.2612028121948242,0.2989884912967682,0.2950126528739929,0.2874869406223297,0.25263988971710205,0.20036250352859497
of,0.33290785551071167,0.4854315221309662,0.244392991065979,0.17750859260559082,0.30984818935394287,0.3646814823150635
billable,0.2953279912471771,0.36022433638572693,0.23810024559497833,0.25677812099456787,0.3207811713218689,0.22666136920452118
services,0.16048473119735718,0.2128378003835678,0.16242775321006775,0.2707839906215668,0.13446541130542755,0.2132156491279602
",",0.3087472915649414,0.4691906273365021,0.20939292013645172,0.2805156409740448,0.23185861110687256,0.3680937886238098
such,0.23989605903625488,0.23545363545417786,0.16091784834861755,0.28567251563072205,0.27962756156921387,0.2736194431781769
as,0.31749409437179565,0.43216490745544434,0.15791361033916473,0.23897112905979156,0.2511933445930481,0.3815547823905945
cellular,0.17455364763736725,0.1777307391166687,0.197525292634964,0.32236024737358093,0.2387421876192093,0.15252184867858887
communication,0.283955842256546,0.23138649761676788,0.17408417165279388,0.39121273159980774,0.19233182072639465,0.21754206717014313
services,0.16048473119735718,0.2128378003835678,0.16242775321006775,0.2707839906215668,0.13446541130542755,0.2132156491279602
",",0.3087472915649414,0.4691906273365021,0.20939292013645172,0.2805156409740448,0.23185861110687256,0.3680937886238098
circuit,0.1518143117427826,0.22126400470733643,0.9999998807907104,0.2617068588733673,0.08606742322444916,0.15534305572509766
switching,0.24737738072872162,0.22204309701919556,0.2617068588733673,1.0000001192092896,0.14811260998249054,0.18029257655143738
is,0.28837618231773376,1.0,0.22126400470733643,0.22204309701919556,0.26732131838798523,0.3899846076965332
characterized,0.20582014322280884,0.26732131838798523,0.08606742322444916,0.14811260998249054,1.0000001192092896,0.27178359031677246
by,0.2455483376979828,0.3899846076965332,0.15534305572509766,0.18029257655143738,0.27178359031677246,1.0000001192092896
a,0.3320399522781372,0.658733606338501,0.22317275404930115,0.31424853205680847,0.3205097019672394,0.32094135880470276
fee,0.15150974690914154,0.15024368464946747,0.21799679100513458,0.22688347101211548,0.08064436167478561,0.1398131251335144
per,0.21384303271770477,0.22395510971546173,0.16066774725914001,0.11958911269903183,0.11995238810777664,0.18994441628456116
unit,0.175853431224823,0.1913307011127472,0.19848187267780304,0.22208979725837708,0.1632460206747055,0.17769382894039154
of,0.33290785551071167,0.4854315221309662,0.244392991065979,0.17750859260559082,0.30984818935394287,0.3646814823150635
connection,0.24457211792469025,0.2946256697177887,0.27146679162979126,0.3773258626461029,0.20462313294410706,0.22670207917690277
time,0.36319252848625183,0.25187405943870544,0.27700504660606384,0.3769702911376953,0.15931415557861328,0.26502725481987
",",0.3087472915649414,0.4691906273365021,0.20939292013645172,0.2805156409740448,0.23185861110687256,0.3680937886238098
even,0.40872135758399963,0.28202980756759644,0.17137032747268677,0.28412216901779175,0.2678130865097046,0.2642922103404999
when,0.4700249433517456,0.3471449911594391,0.1913362741470337,0.32215452194213867,0.2744046151638031,0.4376842677593231
no,0.339326947927475,0.19581134617328644,0.15590159595012665,0.22931106388568878,0.1408253014087677,0.15267254412174225
data,0.23453554511070251,0.14289230108261108,0.1992160677909851,0.2593165934085846,0.12349788099527359,0.17736557126045227
is,0.28837618231773376,1.0,0.22126400470733643,0.22204309701919556,0.26732131838798523,0.3899846076965332
transferred,0.16428381204605103,0.22065040469169617,0.13091033697128296,0.3528884947299957,0.16627147793769836,0.1909448504447937
",",0.3087472915649414,0.4691906273365021,0.20939292013645172,0.2805156409740448,0.23185861110687256,0.3680937886238098
while,0.35511791706085205,0.2713196575641632,0.1724286824464798,0.33166271448135376,0.17603375017642975,0.3083919286727905
packet,0.2392171323299408,0.21452254056930542,0.19544361531734467,0.3031770586967468,0.12053918093442917,0.13513877987861633
switching,0.24737738072872162,0.22204309701919556,0.2617068588733673,1.0000001192092896,0.14811260998249054,0.18029257655143738
may,0.25739946961402893,0.322792649269104,0.12781494855880737,0.24704423546791077,0.12907400727272034,0.1970296949148178
be,0.3929833769798279,0.4819129705429077,0.24506905674934387,0.3123091161251068,0.226997971534729,0.43158695101737976
characterized,0.20582014322280884,0.26732131838798523,0.08606742322444916,0.14811260998249054,1.0000001192092896,0.27178359031677246
by,0.2455483376979828,0.3899846076965332,0.15534305572509766,0.18029257655143738,0.27178359031677246,1.0000001192092896
a,0.3320399522781372,0.658733606338501,0.22317275404930115,0.31424853205680847,0.3205097019672394,0.32094135880470276
fee,0.15150974690914154,0.15024368464946747,0.21799679100513458,0.22688347101211548,0.08064436167478561,0.1398131251335144
per,0.21384303271770477,0.22395510971546173,0.16066774725914001,0.11958911269903183,0.11995238810777664,0.18994441628456116
unit,0.175853431224823,0.1913307011127472,0.19848187267780304,0.22208979725837708,0.1632460206747055,0.17769382894039154
of,0.33290785551071167,0.4854315221309662,0.244392991065979,0.17750859260559082,0.30984818935394287,0.3646814823150635
information,0.35283446311950684,0.2520555853843689,0.13641028106212616,0.26739585399627686,0.1156284287571907,0.19285432994365692
