,what,lead,to,the,uk,to,subscribe,to,the,agreement,on,social,policy,?
following,0.2506418824195862,0.261372834444046,0.31711265444755554,0.39779382944107056,0.16003231704235077,0.31711265444755554,0.2522352933883667,0.31711265444755554,0.39779382944107056,0.23120063543319702,0.2962210774421692,0.15729759633541107,0.17679889500141144,0.1555173695087433
the,0.42745697498321533,0.21995973587036133,0.535392165184021,1.0,0.2143084555864334,0.535392165184021,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
election,0.2325795590877533,0.1649993360042572,0.20867465436458588,0.22873377799987793,0.17026884853839874,0.20867465436458588,0.13821609318256378,0.20867465436458588,0.22873377799987793,0.25917765498161316,0.2223266214132309,0.26066961884498596,0.329842209815979,0.23105260729789734
of,0.33290785551071167,0.19835850596427917,0.41548454761505127,0.733189046382904,0.21513383090496063,0.41548454761505127,0.13309970498085022,0.41548454761505127,0.733189046382904,0.21259461343288422,0.3966929316520691,0.2605111300945282,0.24393197894096375,0.1826142966747284
the,0.42745697498321533,0.21995973587036133,0.535392165184021,1.0,0.2143084555864334,0.535392165184021,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
uk,0.17163191735744476,0.1632433980703354,0.18409153819084167,0.2143084555864334,1.0,0.18409153819084167,0.19344307482242584,0.18409153819084167,0.2143084555864334,0.16928067803382874,0.2875306308269501,0.17876560986042023,0.2248694896697998,0.20222434401512146
labour,0.11658018827438354,0.1703895777463913,0.172691211104393,0.1636447161436081,0.370420902967453,0.172691211104393,0.10076039284467697,0.172691211104393,0.1636447161436081,0.2290135622024536,0.1710471659898758,0.370028018951416,0.24776102602481842,0.15689024329185486
party,0.2398013323545456,0.1821892410516739,0.1893671154975891,0.23779736459255219,0.23062366247177124,0.1893671154975891,0.17747119069099426,0.1893671154975891,0.23779736459255219,0.21293717622756958,0.23256510496139526,0.4438611567020416,0.2540477514266968,0.19031576812267303
to,0.455847829580307,0.23490607738494873,1.0,0.535392165184021,0.18409153819084167,1.0,0.27104270458221436,1.0,0.535392165184021,0.2757699489593506,0.41031414270401,0.19684761762619019,0.26804789900779724,0.29463258385658264
government,0.28074538707733154,0.1554928719997406,0.28343796730041504,0.31798112392425537,0.20926889777183533,0.28343796730041504,0.17268334329128265,0.28343796730041504,0.31798112392425537,0.30696341395378113,0.19216017425060272,0.3182539641857147,0.42850491404533386,0.18851417303085327
in,0.30808621644973755,0.2055644989013672,0.45010748505592346,0.6662389636039734,0.2261405885219574,0.45010748505592346,0.1892358511686325,0.45010748505592346,0.6662389636039734,0.20350398123264313,0.46853652596473694,0.23382627964019775,0.1459147185087204,0.20430970191955566
1997,0.09033724665641785,-0.09642364829778671,0.07039770483970642,0.017451778054237366,-0.08518481254577637,0.07039770483970642,0.06230452284216881,0.07039770483970642,0.017451778054237366,0.09533105045557022,-0.019976332783699036,0.010246951133012772,0.13106195628643036,0.03663474693894386
",",0.3087472915649414,0.2561914026737213,0.44245919585227966,0.4933079481124878,0.2632971405982971,0.44245919585227966,0.2326897233724594,0.44245919585227966,0.4933079481124878,0.23435252904891968,0.49057599902153015,0.2674078345298767,0.2903050184249878,0.31091248989105225
the,0.42745697498321533,0.21995973587036133,0.535392165184021,1.0,0.2143084555864334,0.535392165184021,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
uk,0.17163191735744476,0.1632433980703354,0.18409153819084167,0.2143084555864334,1.0,0.18409153819084167,0.19344307482242584,0.18409153819084167,0.2143084555864334,0.16928067803382874,0.2875306308269501,0.17876560986042023,0.2248694896697998,0.20222434401512146
formally,0.19840256869792938,0.1884230524301529,0.2944337725639343,0.3323594629764557,0.1687716394662857,0.2944337725639343,0.15555182099342346,0.2944337725639343,0.3323594629764557,0.3107761740684509,0.2602279484272003,0.11654854565858841,0.2841600179672241,0.1371411830186844
subscribed,0.18790732324123383,0.0271505955606699,0.1840217262506485,0.24365055561065674,0.16219507157802582,0.1840217262506485,0.8899043798446655,0.1840217262506485,0.24365055561065674,0.17608092725276947,0.2303549349308014,0.21957919001579285,0.20718058943748474,0.2657614052295685
to,0.455847829580307,0.23490607738494873,1.0,0.535392165184021,0.18409153819084167,1.0,0.27104270458221436,1.0,0.535392165184021,0.2757699489593506,0.41031414270401,0.19684761762619019,0.26804789900779724,0.29463258385658264
the,0.42745697498321533,0.21995973587036133,0.535392165184021,1.0,0.2143084555864334,0.535392165184021,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
agreement,0.2851087749004364,0.1124274730682373,0.2757699489593506,0.2490699142217636,0.16928067803382874,0.2757699489593506,0.17690885066986084,0.2757699489593506,0.2490699142217636,1.0,0.22078442573547363,0.219100221991539,0.3701281249523163,0.15830197930335999
on,0.34226128458976746,0.18420197069644928,0.41031414270401,0.5107308030128479,0.2875306308269501,0.41031414270401,0.24032661318778992,0.41031414270401,0.5107308030128479,0.22078442573547363,0.9999999403953552,0.24255602061748505,0.2777305543422699,0.2714994251728058
social,0.22217629849910736,0.16860435903072357,0.19684761762619019,0.21797899901866913,0.17876560986042023,0.19684761762619019,0.23602092266082764,0.19684761762619019,0.21797899901866913,0.219100221991539,0.24255602061748505,1.0,0.2632748484611511,0.1615191102027893
policy,0.3869883120059967,0.15586616098880768,0.26804789900779724,0.2358427494764328,0.2248694896697998,0.26804789900779724,0.2425319403409958,0.26804789900779724,0.2358427494764328,0.3701281249523163,0.2777305543422699,0.2632748484611511,0.9999998807907104,0.30462446808815
",",0.3087472915649414,0.2561914026737213,0.44245919585227966,0.4933079481124878,0.2632971405982971,0.44245919585227966,0.2326897233724594,0.44245919585227966,0.4933079481124878,0.23435252904891968,0.49057599902153015,0.2674078345298767,0.2903050184249878,0.31091248989105225
which,0.5261979103088379,0.2136504352092743,0.5345056653022766,0.6521818041801453,0.1906050443649292,0.5345056653022766,0.20550726354122162,0.5345056653022766,0.6521818041801453,0.24597544968128204,0.4245251417160034,0.22390618920326233,0.22344686090946198,0.25814583897590637
allowed,0.2693612575531006,0.13187327980995178,0.42967355251312256,0.2985120713710785,0.15578320622444153,0.42967355251312256,0.2553153336048126,0.42967355251312256,0.2985120713710785,0.2955351769924164,0.28039318323135376,0.17748841643333435,0.3219829797744751,0.2309964895248413
it,0.45803478360176086,0.22755342721939087,0.513711154460907,0.6251175999641418,0.21589650213718414,0.513711154460907,0.2207173854112625,0.513711154460907,0.6251175999641418,0.2705639600753784,0.4529881477355957,0.16038981080055237,0.2245468944311142,0.25732165575027466
to,0.455847829580307,0.23490607738494873,1.0,0.535392165184021,0.18409153819084167,1.0,0.27104270458221436,1.0,0.535392165184021,0.2757699489593506,0.41031414270401,0.19684761762619019,0.26804789900779724,0.29463258385658264
be,0.3929833769798279,0.2750575840473175,0.4972836375236511,0.4248143136501312,0.17617523670196533,0.4972836375236511,0.2871077358722687,0.4972836375236511,0.4248143136501312,0.19491496682167053,0.37900757789611816,0.1878766417503357,0.26498162746429443,0.3324260413646698
included,0.2288810908794403,0.2007029503583908,0.2322428971529007,0.3825419843196869,0.21144509315490723,0.2322428971529007,0.17411527037620544,0.2322428971529007,0.3825419843196869,0.12264401465654373,0.3028073012828827,0.16811378300189972,0.13178439438343048,0.14385655522346497
with,0.2464839518070221,0.22399857640266418,0.4239959120750427,0.4223487675189972,0.170000359416008,0.4239959120750427,0.16143253445625305,0.4239959120750427,0.4223487675189972,0.29106786847114563,0.40749499201774597,0.20528239011764526,0.14287953078746796,0.2433311939239502
minor,0.1758119910955429,0.12010155618190765,0.16949769854545593,0.2544519603252411,0.08358291536569595,0.16949769854545593,0.13423264026641846,0.16949769854545593,0.2544519603252411,0.14266513288021088,0.20898085832595825,0.12484483420848846,0.15622113645076752,0.21100293099880219
amendments,0.2351139485836029,0.11268453299999237,0.31400617957115173,0.30301690101623535,0.18656066060066223,0.31400617957115173,0.2187429517507553,0.31400617957115173,0.30301690101623535,0.2925722301006317,0.25287505984306335,0.2011624127626419,0.3534298539161682,0.2547150254249573
as,0.31749409437179565,0.2644319534301758,0.42092081904411316,0.48381632566452026,0.1740327775478363,0.42092081904411316,0.2268805205821991,0.42092081904411316,0.48381632566452026,0.22867047786712646,0.36047765612602234,0.22664308547973633,0.2869105041027069,0.27043893933296204
the,0.42745697498321533,0.21995973587036133,0.535392165184021,1.0,0.2143084555864334,0.535392165184021,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
social,0.22217629849910736,0.16860435903072357,0.19684761762619019,0.21797899901866913,0.17876560986042023,0.19684761762619019,0.23602092266082764,0.19684761762619019,0.21797899901866913,0.219100221991539,0.24255602061748505,1.0,0.2632748484611511,0.1615191102027893
chapter,0.25136247277259827,0.09352682530879974,0.17141442000865936,0.29158273339271545,0.18704350292682648,0.17141442000865936,0.20285320281982422,0.17141442000865936,0.29158273339271545,0.11039580404758453,0.16726315021514893,0.09733142703771591,0.2070501446723938,0.20212359726428986
of,0.33290785551071167,0.19835850596427917,0.41548454761505127,0.733189046382904,0.21513383090496063,0.41548454761505127,0.13309970498085022,0.41548454761505127,0.733189046382904,0.21259461343288422,0.3966929316520691,0.2605111300945282,0.24393197894096375,0.1826142966747284
the,0.42745697498321533,0.21995973587036133,0.535392165184021,1.0,0.2143084555864334,0.535392165184021,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
1997,0.09033724665641785,-0.09642364829778671,0.07039770483970642,0.017451778054237366,-0.08518481254577637,0.07039770483970642,0.06230452284216881,0.07039770483970642,0.017451778054237366,0.09533105045557022,-0.019976332783699036,0.010246951133012772,0.13106195628643036,0.03663474693894386
treaty,0.17237819731235504,0.12403976172208786,0.1986158937215805,0.2690109610557556,0.12230867147445679,0.1986158937215805,0.07740612328052521,0.1986158937215805,0.2690109610557556,0.6315374374389648,0.19638824462890625,0.17468462884426117,0.33541345596313477,0.1174844279885292
of,0.33290785551071167,0.19835850596427917,0.41548454761505127,0.733189046382904,0.21513383090496063,0.41548454761505127,0.13309970498085022,0.41548454761505127,0.733189046382904,0.21259461343288422,0.3966929316520691,0.2605111300945282,0.24393197894096375,0.1826142966747284
amsterdam,0.09970812499523163,0.09127321094274521,0.20890367031097412,0.18500292301177979,0.18225815892219543,0.20890367031097412,0.018944427371025085,0.20890367031097412,0.18500292301177979,0.16026240587234497,0.2285035252571106,0.1407994031906128,0.09796714037656784,0.1401052325963974
.,0.3567904531955719,0.2305188626050949,0.4645031690597534,0.5934505462646484,0.24075214564800262,0.4645031690597534,0.25023356080055237,0.4645031690597534,0.5934505462646484,0.20123955607414246,0.49257001280784607,0.2614770531654358,0.25152966380119324,0.4130953550338745
