,at,what,angle,were,the,groups,of,pistons,set,in,relation,to,one,another,in,a,4-cylinder,compound,?
when,0.38876327872276306,0.4700249433517456,0.2261684536933899,0.29649975895881653,0.5091903209686279,0.21922865509986877,0.3757161796092987,0.2464558184146881,0.26233336329460144,0.4431333839893341,0.26666557788848877,0.5423505902290344,0.38307374715805054,0.48569372296333313,0.4431333839893341,0.44397395849227905,0.2041258066892624,0.2538573741912842,0.22841128706932068
the,0.457212895154953,0.42745697498321533,0.24015556275844574,0.3906462490558624,1.0,0.27790749073028564,0.733189046382904,0.278138667345047,0.2927955985069275,0.6662389636039734,0.2734622061252594,0.535392165184021,0.5514441132545471,0.5019711852073669,0.6662389636039734,0.5829201340675354,0.21137358248233795,0.18848907947540283,0.22068053483963013
double,0.16656199097633362,0.16209302842617035,0.26790720224380493,0.1562480628490448,0.21355170011520386,0.09226810187101364,0.18580502271652222,0.24058134853839874,0.154655322432518,0.1451583355665207,0.11156339943408966,0.16518351435661316,0.25383731722831726,0.25782275199890137,0.1451583355665207,0.2448195219039917,0.2220706194639206,0.17481961846351624,0.10017921775579453
expansion,0.17467837035655975,0.2671823799610138,0.20096871256828308,0.13583680987358093,0.31353142857551575,0.1801885962486267,0.24185356497764587,0.21654929220676422,0.148469015955925,0.20021484792232513,0.2588319480419159,0.2769574522972107,0.2075677216053009,0.16660821437835693,0.20021484792232513,0.21807987987995148,0.1858421266078949,0.1342833936214447,0.18286365270614624
group,0.13662685453891754,0.2114069163799286,0.09132323414087296,0.2810588777065277,0.30795547366142273,0.6639418005943298,0.25542253255844116,0.07344445586204529,0.17352446913719177,0.2304753065109253,0.2703084349632263,0.2672896385192871,0.3194190263748169,0.278802752494812,0.2304753065109253,0.2594761848449707,0.10897096246480942,0.20744018256664276,0.13827809691429138
is,0.25906258821487427,0.28837618231773376,0.19955028593540192,0.29386836290359497,0.5823672413825989,0.19906288385391235,0.4854315221309662,0.2082388699054718,0.21148966252803802,0.5394441485404968,0.2880297899246216,0.42745086550712585,0.4544198513031006,0.41278526186943054,0.5394441485404968,0.658733606338501,0.21404007077217102,0.26978302001953125,0.22961433231830597
duplicated,0.19011831283569336,0.29920193552970886,0.20989744365215302,0.26732513308525085,0.2457440197467804,0.1794448047876358,0.1688343584537506,0.14860917627811432,0.2735174000263214,0.20601823925971985,0.28088608384132385,0.26297372579574585,0.32579660415649414,0.3144282400608063,0.20601823925971985,0.25603386759757996,0.2524881362915039,0.16589213907718658,0.26314684748649597
",",0.38314947485923767,0.3087472915649414,0.1430169641971588,0.36755475401878357,0.4933079481124878,0.2671695053577423,0.4946078956127167,0.25920015573501587,0.24912182986736298,0.5201468467712402,0.2668071985244751,0.44245919585227966,0.3696635365486145,0.3283841907978058,0.5201468467712402,0.427140474319458,0.19257226586341858,0.19082562625408173,0.31091248989105225
producing,0.17059727013111115,0.1989585906267166,0.21587684750556946,0.1632479727268219,0.28730374574661255,0.10577093064785004,0.22011449933052063,0.2495878040790558,0.1446300446987152,0.2826419174671173,0.17436149716377258,0.19771678745746613,0.28598329424858093,0.23225156962871552,0.2826419174671173,0.2861628234386444,0.28660622239112854,0.2037002444267273,0.1406429558992386
a,0.3095070421695709,0.3320399522781372,0.23755806684494019,0.17203083634376526,0.5829201340675354,0.2068004310131073,0.5052502155303955,0.24513056874275208,0.2540091574192047,0.539380669593811,0.3077252209186554,0.45503583550453186,0.4910551905632019,0.6191956996917725,0.539380669593811,1.0,0.26967358589172363,0.2321223020553589,0.23916715383529663
