,when,do,members,proceed,to,vote,on,whether,they,agree,to,the,principles,of,the,final,bill,?
after,0.5331412553787231,0.20534609258174896,0.2411569207906723,0.2355649471282959,0.37890323996543884,0.2062075138092041,0.39330315589904785,0.2481057047843933,0.33591970801353455,0.17340780794620514,0.37890323996543884,0.4565047025680542,0.15932294726371765,0.3867455720901489,0.4565047025680542,0.31874704360961914,0.11141306161880493,0.16608688235282898
a,0.44397395849227905,0.26237669587135315,0.1873859316110611,0.19753649830818176,0.45503583550453186,0.21813347935676575,0.3848365545272827,0.38829004764556885,0.3528250455856323,0.2085130214691162,0.45503583550453186,0.5829201340675354,0.12539856135845184,0.5052502155303955,0.5829201340675354,0.24625235795974731,0.24716360867023468,0.23916715383529663
general,0.20438088476657867,0.20145048201084137,0.15332673490047455,0.14751771092414856,0.24755197763442993,0.19901829957962036,0.18019753694534302,0.16957876086235046,0.21230264008045197,0.2156115174293518,0.24755197763442993,0.28634732961654663,0.2270563840866089,0.28352999687194824,0.28634732961654663,0.10656730830669403,0.12092206627130508,0.1972234547138214
debate,0.16811372339725494,0.2543701231479645,0.20678158104419708,0.3312456011772156,0.26563018560409546,0.34903261065483093,0.24143950641155243,0.4157927334308624,0.1903725117444992,0.3883809745311737,0.26563018560409546,0.2608932852745056,0.2965458929538727,0.2139439731836319,0.2608932852745056,0.1685130000114441,0.20622819662094116,0.227684885263443
on,0.37706470489501953,0.3025321364402771,0.22849144041538239,0.24123355746269226,0.41031414270401,0.23685438930988312,0.9999999403953552,0.2535785734653473,0.31295230984687805,0.23403891921043396,0.41031414270401,0.5107308030128479,0.2104194611310959,0.3966929316520691,0.5107308030128479,0.20678670704364777,0.1958429217338562,0.2714994251728058
the,0.5091903209686279,0.30239659547805786,0.3321719169616699,0.2329144924879074,0.535392165184021,0.22779929637908936,0.5107308030128479,0.3211745023727417,0.49925389885902405,0.23006735742092133,0.535392165184021,1.0,0.21452596783638,0.733189046382904,1.0,0.3543182611465454,0.24155211448669434,0.22068053483963013
final,0.235932394862175,0.09494265913963318,0.10941436886787415,0.21925772726535797,0.26099109649658203,0.20671021938323975,0.20678670704364777,0.21170735359191895,0.1924978792667389,0.19910959899425507,0.26099109649658203,0.3543182611465454,0.1508287638425827,0.24563951790332794,0.3543182611465454,1.0000001192092896,0.18517553806304932,0.17315025627613068
form,0.31953904032707214,0.23068922758102417,0.19127008318901062,0.2047986388206482,0.2772196829319,0.1359432190656662,0.1214052140712738,0.2558990716934204,0.33286890387535095,0.17860305309295654,0.2772196829319,0.29286009073257446,0.2773268222808838,0.29600051045417786,0.29286009073257446,0.17977972328662872,0.12903758883476257,0.1463010311126709
of,0.3757161796092987,0.26150479912757874,0.28120753169059753,0.1699274331331253,0.41548454761505127,0.19845709204673767,0.3966929316520691,0.24392437934875488,0.3426007330417633,0.22545385360717773,0.41548454761505127,0.733189046382904,0.25854504108428955,1.0,0.733189046382904,0.24563951790332794,0.17127205431461334,0.1826142966747284
the,0.5091903209686279,0.30239659547805786,0.3321719169616699,0.2329144924879074,0.535392165184021,0.22779929637908936,0.5107308030128479,0.3211745023727417,0.49925389885902405,0.23006735742092133,0.535392165184021,1.0,0.21452596783638,0.733189046382904,1.0,0.3543182611465454,0.24155211448669434,0.22068053483963013
bill,0.2075754553079605,0.14255335927009583,0.17215532064437866,0.21455810964107513,0.17981381714344025,0.2394048422574997,0.1958429217338562,0.1521773487329483,0.16459131240844727,0.2261342704296112,0.17981381714344025,0.24155211448669434,0.17956309020519257,0.17127205431461334,0.24155211448669434,0.18517553806304932,0.9999999403953552,0.12855131924152374
",",0.36674630641937256,0.3283645510673523,0.2357054501771927,0.2232578843832016,0.44245919585227966,0.27201512455940247,0.49057599902153015,0.18435215950012207,0.390799880027771,0.26245203614234924,0.44245919585227966,0.4933079481124878,0.23890022933483124,0.4946078956127167,0.4933079481124878,0.24864837527275085,0.2472437173128128,0.31091248989105225
