,which,fresno,district,is,the,center,for,the,lgbt,community,?
today,0.3886263072490692,0.17968665063381195,0.18548209965229034,0.3404538929462433,0.35740926861763,0.171046182513237,0.31663668155670166,0.35740926861763,0.1992594450712204,0.2138495147228241,0.17338968813419342
",",0.3658004403114319,0.2561432421207428,0.25852543115615845,0.4691906273365021,0.4933079481124878,0.1905742734670639,0.4464869201183319,0.4933079481124878,0.20944449305534363,0.2761111557483673,0.31091248989105225
the,0.6521818041801453,0.22571885585784912,0.2690705955028534,0.5823672413825989,1.0,0.29064592719078064,0.4739971458911896,1.0,0.2178114950656891,0.2601400911808014,0.22068053483963013
tower,0.2040041834115982,0.13243645429611206,0.20217934250831604,0.1400395631790161,0.2398453801870346,0.2799876630306244,0.13139645755290985,0.2398453801870346,0.08750768005847931,0.16154634952545166,0.10395228117704391
district,0.2036324292421341,0.16571244597434998,1.0,0.2656395733356476,0.2690705955028534,0.19152459502220154,0.16689854860305786,0.2690705955028534,0.10847506672143936,0.230899378657341,0.06725285202264786
is,0.4457404911518097,0.2127077877521515,0.2656395733356476,1.0,0.5823672413825989,0.24782158434391022,0.43268078565597534,0.5823672413825989,0.14781366288661957,0.26023760437965393,0.22961433231830597
also,0.6566565632820129,0.2253323197364807,0.23743490874767303,0.5012649297714233,0.6021018624305725,0.2188228815793991,0.5373267531394958,0.6021018624305725,0.24480119347572327,0.24745750427246094,0.21848613023757935
known,0.30223485827445984,0.18501479923725128,0.1463240683078766,0.41921812295913696,0.3624623417854309,0.17107921838760376,0.363901823759079,0.3624623417854309,0.14171099662780762,0.12171687185764313,0.18314571678638458
as,0.41006597876548767,0.13437435030937195,0.17043891549110413,0.43216490745544434,0.48381632566452026,0.20052886009216309,0.44774648547172546,0.48381632566452026,0.18707863986492157,0.22733435034751892,0.27043893933296204
the,0.6521818041801453,0.22571885585784912,0.2690705955028534,0.5823672413825989,1.0,0.29064592719078064,0.4739971458911896,1.0,0.2178114950656891,0.2601400911808014,0.22068053483963013
center,0.22164148092269897,0.26067841053009033,0.19152459502220154,0.24782158434391022,0.29064592719078064,0.9999999403953552,0.1980270892381668,0.29064592719078064,0.12372338771820068,0.191753089427948,0.12538520991802216
of,0.5011631846427917,0.1875009983778,0.2673880457878113,0.4854315221309662,0.733189046382904,0.24526838958263397,0.4185989499092102,0.733189046382904,0.21437877416610718,0.2367410808801651,0.1826142966747284
fresno,0.14756552875041962,1.0000001192092896,0.16571244597434998,0.2127077877521515,0.22571885585784912,0.26067841053009033,0.17504577338695526,0.22571885585784912,0.20672555267810822,0.2422681599855423,0.13224096596240997
's,0.03856118768453598,0.032067470252513885,0.02946428395807743,0.02396530658006668,-0.01540423184633255,-0.006294060964137316,-0.07241261005401611,-0.01540423184633255,-0.035785187035799026,0.020855724811553955,-0.023395681753754616
lgbt,0.18769948184490204,0.20672555267810822,0.10847506672143936,0.14781366288661957,0.2178114950656891,0.12372338771820068,0.1718437820672989,0.2178114950656891,1.0000001192092896,0.3040086030960083,0.1972026824951172
and,0.506277859210968,0.21513071656227112,0.23884956538677216,0.3859752118587494,0.5171257257461548,0.28670641779899597,0.5064792633056641,0.5171257257461548,0.2229580283164978,0.2756517827510834,0.20544172823429108
hipster,0.3037705719470978,0.21169251203536987,0.11147875338792801,0.16518300771713257,0.22883877158164978,0.12674954533576965,0.23741796612739563,0.22883877158164978,0.2905060052871704,0.1819194257259369,0.237343430519104
communities,0.24470366537570953,0.26439377665519714,0.2552780210971832,0.23371800780296326,0.24729211628437042,0.20697051286697388,0.23633545637130737,0.24729211628437042,0.3392254114151001,0.7136564254760742,0.20171424746513367
.,0.45942068099975586,0.2480216920375824,0.23195737600326538,0.4569662809371948,0.5934505462646484,0.29649654030799866,0.4726039469242096,0.5934505462646484,0.21613508462905884,0.2594514787197113,0.4130953550338745
