,who,had,toghtogha,tried,to,defeat,?
in,0.2792111933231354,0.385026752948761,0.3042716383934021,0.25011298060417175,0.45010748505592346,0.2583656907081604,0.20430970191955566
1354,0.08973852545022964,0.045169901102781296,-0.06716310977935791,0.02405003271996975,-0.01501485425978899,-0.01724616251885891,-0.003744599875062704
",",0.3365725874900818,0.35487717390060425,0.3534244894981384,0.2927719056606293,0.44245919585227966,0.2394917905330658,0.31091248989105225
when,0.48282691836357117,0.37526828050613403,0.13076147437095642,0.30607736110687256,0.5423505902290344,0.1783166080713272,0.22841128706932068
toghtogha,0.1913733184337616,0.2042664736509323,1.0,0.15039461851119995,0.23291288316249847,0.2352423369884491,0.24047969281673431
led,0.2450801581144333,0.38557857275009155,0.2073788046836853,0.3744542896747589,0.21815308928489685,0.3672521114349365,0.09273858368396759
a,0.36608949303627014,0.34897568821907043,0.29616060853004456,0.24820514023303986,0.45503583550453186,0.14495371282100677,0.23916715383529663
large,0.20182651281356812,0.3191347122192383,0.18588025867938995,0.19595454633235931,0.3150999844074249,0.15946462750434875,0.1355665624141693
army,0.2866576313972473,0.2597939670085907,0.30525925755500793,0.2545619308948517,0.22938482463359833,0.42403435707092285,0.180583193898201
to,0.42656609416007996,0.37984350323677063,0.23291288316249847,0.45482608675956726,1.0,0.25008296966552734,0.29463258385658264
crush,0.28870853781700134,0.21718475222587585,0.12595276534557343,0.1710156351327896,0.19986382126808167,0.371005654335022,0.17819353938102722
the,0.3733934462070465,0.3875846862792969,0.3387857973575592,0.29431280493736267,0.535392165184021,0.3182816207408905,0.22068053483963013
red,0.157459557056427,0.1474463790655136,0.1435803920030594,0.14057259261608124,0.19477520883083344,0.12111499160528183,0.1495664119720459
turban,0.23689021170139313,0.15904822945594788,0.25091707706451416,0.11480681598186493,0.2129315733909607,0.07633426785469055,0.06138082221150398
rebels,0.2556977868080139,0.25470057129859924,0.299263596534729,0.2942377030849457,0.21191246807575226,0.4089148938655853,0.11566741019487381
",",0.3365725874900818,0.35487717390060425,0.3534244894981384,0.2927719056606293,0.44245919585227966,0.2394917905330658,0.31091248989105225
toghun,0.16303762793540955,0.14330874383449554,0.7183704972267151,0.12794192135334015,0.15596270561218262,0.16863301396369934,0.1859661489725113
temür,0.27012577652931213,0.33264097571372986,0.45575863122940063,0.273324191570282,0.2935526967048645,0.21317434310913086,0.17946790158748627
suddenly,0.3155127763748169,0.35289517045021057,0.19304506480693817,0.1902749389410019,0.28617748618125916,0.18080471456050873,0.15163323283195496
dismissed,0.22550326585769653,0.35516664385795593,0.1937447488307953,0.3133194148540497,0.22687369585037231,0.30615562200546265,0.12693022191524506
him,0.5491244792938232,0.3950670063495636,0.19262957572937012,0.4445308446884155,0.4702378511428833,0.32384154200553894,0.23943768441677094
for,0.37110671401023865,0.3270139992237091,0.2344551980495453,0.24709035456180573,0.4451248347759247,0.19396771490573883,0.264628142118454
fear,0.22971247136592865,0.24052757024765015,0.16854652762413025,0.1545732319355011,0.26140296459198,0.19471000134944916,0.2266579419374466
of,0.2827862501144409,0.37755560874938965,0.342536985874176,0.2511886954307556,0.41548454761505127,0.2543899118900299,0.1826142966747284
betrayal,0.2846870720386505,0.229488343000412,0.16800756752490997,0.2120642364025116,0.2786799669265747,0.3070181906223297,0.1884389966726303
.,0.3541337847709656,0.37348684668540955,0.297549307346344,0.26915672421455383,0.4645031690597534,0.17890939116477966,0.4130953550338745
