,what,did,'da,yuan,tong,zhi,',mean,?
during,0.24137552082538605,0.30679523944854736,0.06463366001844406,0.18615633249282837,0.15214204788208008,0.0922536849975586,0.18130852282047272,0.2135409563779831,0.1325719803571701
his,0.26976513862609863,0.3546801507472992,0.056197136640548706,0.20877203345298767,0.1746714562177658,0.21955713629722595,0.2791537940502167,0.12527728080749512,0.18075084686279297
reign,0.18227478861808777,0.14961963891983032,0.06303546577692032,0.2489575892686844,0.18454155325889587,0.27996277809143066,0.23315775394439697,0.14506162703037262,0.16399922966957092
",",0.3087472915649414,0.3015086054801941,0.19945737719535828,0.20958951115608215,0.21538619697093964,0.20912866294384003,0.5178600549697876,0.27540135383605957,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.12199406325817108,0.2548272907733917,0.18661567568778992,0.17762358486652374,0.474788099527359,0.25977957248687744,0.22068053483963013
da,0.17252732813358307,0.12221572548151016,0.478933185338974,0.1787320226430893,0.1454974114894867,0.16197694838047028,0.23048286139965057,0.08895499259233475,0.17175890505313873
yuan,0.13503028452396393,0.1467057168483734,0.16637754440307617,1.0,0.4747326970100403,0.624078631401062,0.11334794759750366,0.16608040034770966,0.12871281802654266
tong,0.1037021204829216,0.12957823276519775,0.13328537344932556,0.4747326970100403,1.0000001192092896,0.44747301936149597,0.1683160364627838,0.14799343049526215,0.18767951428890228
zhi,0.17008735239505768,0.1369953453540802,0.2708490788936615,0.624078631401062,0.44747301936149597,1.0,0.19798393547534943,0.15100066363811493,0.2156834751367569
(,0.2411840260028839,0.18979617953300476,0.27013036608695984,0.18021149933338165,0.2178684026002884,0.17785397171974182,0.5287467241287231,0.24319502711296082,0.40561532974243164
chinese,0.11643128097057343,0.19065357744693756,0.10061239451169968,0.5665212273597717,0.5137227177619934,0.5557810068130493,0.18012160062789917,0.18583039939403534,0.20843194425106049
:,-0.12022944539785385,-0.05305134505033493,-0.015514393337070942,-0.000654889561701566,-0.11845040321350098,0.01866975985467434,-0.06090058758854866,-0.04926652833819389,-0.07156077772378922
大元通制,-0.006559913977980614,-0.031272582709789276,0.14291144907474518,0.025358350947499275,0.1547176092863083,0.1312156319618225,0.2102750688791275,0.03341168910264969,0.1108798235654831
",",0.3087472915649414,0.3015086054801941,0.19945737719535828,0.20958951115608215,0.21538619697093964,0.20912866294384003,0.5178600549697876,0.27540135383605957,0.31091248989105225
``,0.008517155423760414,-0.029888948425650597,0.044544994831085205,0.12237913906574249,0.07359372079372406,0.16312465071678162,0.0022648978047072887,0.06393398344516754,0.0685480609536171
the,0.42745697498321533,0.34736719727516174,0.12199406325817108,0.2548272907733917,0.18661567568778992,0.17762358486652374,0.474788099527359,0.25977957248687744,0.22068053483963013
comprehensive,0.27661991119384766,0.1842396855354309,0.04813890531659126,0.15668419003486633,0.21089676022529602,0.15991121530532837,0.24065421521663666,0.24235451221466064,0.28184229135513306
