,how,many,muslims,are,in,greater,london,?
greater,0.11442330479621887,0.22031435370445251,0.1650339961051941,0.19981995224952698,0.26627716422080994,1.0000001192092896,0.3032766580581665,0.09723397344350815
london,0.1765858680009842,0.20719969272613525,0.15658801794052124,0.12451720982789993,0.2785358726978302,0.3032766580581665,1.0,0.11278104782104492
has,0.26820555329322815,0.4266262650489807,0.16126354038715363,0.4313911199569702,0.4173259735107422,0.23084081709384918,0.13761413097381592,0.15994466841220856
over,0.31446483731269836,0.47131630778312683,0.23828406631946564,0.2778770923614502,0.3605569899082184,0.24338369071483612,0.19937863945960999,0.25742942094802856
"900,000",0.14852365851402283,0.0710320696234703,0.033076535910367966,0.055910851806402206,0.13811467587947845,0.0010264887241646647,0.1336323767900467,0.14062339067459106
muslims,0.19686853885650635,0.25543496012687683,1.0,0.2533974349498749,0.18662098050117493,0.1650339961051941,0.15658801794052124,0.18742211163043976
",",0.22659391164779663,0.40610817074775696,0.19662503898143768,0.4062570035457611,0.5201468467712402,0.25035545229911804,0.2571207880973816,0.31091248989105225
(,0.1676948219537735,0.1455259770154953,0.10881616175174713,0.23263892531394958,0.3087427020072937,0.17369183897972107,0.14926765859127045,0.40561532974243164
most,0.311336874961853,0.6236066222190857,0.2406945675611496,0.48698675632476807,0.41416558623313904,0.20576724410057068,0.1537603884935379,0.2107497900724411
of,0.2480744868516922,0.37253960967063904,0.22355489432811737,0.39081433415412903,0.5696388483047485,0.34470728039741516,0.2159106284379959,0.1826142966747284
south,0.11786635220050812,0.2319321483373642,0.17392785847187042,0.21281804144382477,0.33642083406448364,0.24405565857887268,0.2185335010290146,0.12336621433496475
asian,0.09642928838729858,0.2485659420490265,0.2505500018596649,0.2008780688047409,0.18836280703544617,0.16728858649730682,0.22091048955917358,0.10526347905397415
origins,0.20690365135669708,0.2610272169113159,0.22125592827796936,0.1720474511384964,0.21701936423778534,0.10616369545459747,0.15684038400650024,0.1275135576725006
and,0.33647966384887695,0.5296266674995422,0.2307288646697998,0.48576638102531433,0.4954058527946472,0.26711440086364746,0.2868692874908447,0.20544172823429108
concentrated,0.2645893692970276,0.3271962106227875,0.16419896483421326,0.24335487186908722,0.29073235392570496,0.2538614869117737,0.16174140572547913,0.11501483619213104
in,0.2601168751716614,0.41474202275276184,0.18662098050117493,0.3841303884983063,1.0,0.26627716422080994,0.2785358726978302,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2657718360424042,0.40399202704429626,0.6662389636039734,0.2814446687698364,0.27034124732017517,0.22068053483963013
east,0.1773146688938141,0.20167402923107147,0.23357975482940674,0.16636624932289124,0.32659441232681274,0.3129934072494507,0.20802918076515198,0.10070597380399704
london,0.1765858680009842,0.20719969272613525,0.15658801794052124,0.12451720982789993,0.2785358726978302,0.3032766580581665,1.0,0.11278104782104492
boroughs,0.14923089742660522,0.23654794692993164,0.15684281289577484,0.2525082528591156,0.25949952006340027,0.34022653102874756,0.3659219443798065,0.10785257071256638
of,0.2480744868516922,0.37253960967063904,0.22355489432811737,0.39081433415412903,0.5696388483047485,0.34470728039741516,0.2159106284379959,0.1826142966747284
newham,0.17504112422466278,0.20128494501113892,0.13482780754566193,0.19268551468849182,0.29669779539108276,0.29193365573883057,0.6033027768135071,0.18983133137226105
",",0.22659391164779663,0.40610817074775696,0.19662503898143768,0.4062570035457611,0.5201468467712402,0.25035545229911804,0.2571207880973816,0.31091248989105225
tower,0.10226675122976303,0.1318756490945816,0.09808994829654694,0.0878683552145958,0.22630389034748077,0.11660940945148468,0.24852536618709564,0.10395228117704391
hamlets,0.10208588093519211,0.21122553944587708,0.2088804990053177,0.28766754269599915,0.3047146797180176,0.2630826532840729,0.354318231344223,0.13921068608760834
and,0.33647966384887695,0.5296266674995422,0.2307288646697998,0.48576638102531433,0.4954058527946472,0.26711440086364746,0.2868692874908447,0.20544172823429108
waltham,0.14094504714012146,0.1836235225200653,0.14837560057640076,0.0769754946231842,0.23362362384796143,0.23966087400913239,0.5753929615020752,0.14941930770874023
forest,0.07947511225938797,0.19294719398021698,0.11425278335809708,0.17875638604164124,0.24136987328529358,0.16653966903686523,0.18595698475837708,0.1214437186717987
),0.17939934134483337,0.16602720320224762,0.1381087601184845,0.2373749315738678,0.3326910734176636,0.17431838810443878,0.1605358123779297,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.19662503898143768,0.4062570035457611,0.5201468467712402,0.25035545229911804,0.2571207880973816,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2307288646697998,0.48576638102531433,0.4954058527946472,0.26711440086364746,0.2868692874908447,0.20544172823429108
among,0.24921207129955292,0.4631800651550293,0.21540948748588562,0.3811550438404083,0.3211768567562103,0.16652818024158478,0.12389588356018066,0.14343059062957764
them,0.5142028331756592,0.5119333863258362,0.3445546329021454,0.5206625461578369,0.29119014739990234,0.21626333892345428,0.2053365409374237,0.35435691475868225
are,0.311818927526474,0.5655534863471985,0.2533974349498749,1.0,0.3841303884983063,0.19981995224952698,0.12451720982789993,0.24591213464736938
some,0.4180530905723572,0.7976660132408142,0.23580306768417358,0.6331475377082825,0.4010399878025055,0.2570232152938843,0.21964198350906372,0.2562315762042999
with,0.3525622487068176,0.35744401812553406,0.12962710857391357,0.38996943831443787,0.4080928862094879,0.16015204787254333,0.17428526282310486,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.17830725014209747,0.265255331993103,0.539380669593811,0.20286329090595245,0.1934366375207901,0.23916715383529663
strong,0.19945120811462402,0.2948308289051056,0.13532604277133942,0.23397140204906464,0.21198557317256927,0.2061905413866043,0.053802523761987686,0.11990999430418015
islamist,0.11329931020736694,0.18039032816886902,0.5776523947715759,0.1628408581018448,0.19697563350200653,0.1566488891839981,0.27556151151657104,0.14697067439556122
outlook,0.2517959475517273,0.24721764028072357,0.17993755638599396,0.1574312150478363,0.17640452086925507,0.1595812737941742,0.17107367515563965,0.1554689258337021
.,0.3287222981452942,0.3974229395389557,0.23631970584392548,0.3452940285205841,0.5591574311256409,0.20152446627616882,0.26322779059410095,0.4130953550338745
