,what,function,is,related,to,prime,numbers,?
the,0.42745697498321533,0.2037137746810913,0.5823672413825989,0.26962998509407043,0.535392165184021,0.19960100948810577,0.293011337518692,0.22068053483963013
zeta,0.1496575027704239,0.2902906537055969,0.18632252514362335,0.12458335608243942,0.20854096114635468,0.207919642329216,0.22076216340065002,0.06759943068027496
function,0.22155974805355072,1.0,0.17586156725883484,0.16857406497001648,0.2079751342535019,0.18293221294879913,0.2735985517501831,0.20672395825386047
is,0.28837618231773376,0.17586156725883484,1.0,0.20549555122852325,0.42745086550712585,0.16680827736854553,0.19465886056423187,0.22961433231830597
closely,0.24221673607826233,0.1368008852005005,0.23299719393253326,0.568079948425293,0.34768539667129517,0.026752376928925514,0.2227698713541031,0.08341413736343384
related,0.258600115776062,0.16857406497001648,0.20549555122852325,0.9999998807907104,0.2702969014644623,0.1789032220840454,0.17592869699001312,0.17689068615436554
to,0.455847829580307,0.2079751342535019,0.42745086550712585,0.2702969014644623,1.0,0.2015804797410965,0.29515770077705383,0.29463258385658264
prime,0.15586113929748535,0.18293221294879913,0.16680827736854553,0.1789032220840454,0.2015804797410965,1.0,0.26943376660346985,0.11276303976774216
numbers,0.24586999416351318,0.2735985517501831,0.19465886056423187,0.17592869699001312,0.29515770077705383,0.26943376660346985,1.0,0.19297972321510315
.,0.3567904531955719,0.253307044506073,0.4569662809371948,0.21688014268875122,0.4645031690597534,0.17658381164073944,0.2591777741909027,0.4130953550338745
