,in,what,year,was,the,ordination,order,of,transitional,deacon,abolished,?
at,0.4374977946281433,0.2838611304759979,0.3146436810493469,0.36707764863967896,0.457212895154953,0.19642716646194458,0.10929936915636063,0.42558613419532776,0.17546314001083374,0.2112840861082077,0.10294394940137863,0.21978627145290375
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.3129502832889557,0.3284194767475128,0.733189046382904,0.32541483640670776,0.20322346687316895,0.3050917983055115,0.22068053483963013
1996,0.07233931124210358,0.1822642683982849,0.06595204025506973,0.16684161126613617,0.10029517859220505,0.1514950841665268,0.08077540993690491,0.08521515130996704,-0.037094902247190475,0.07939232885837555,0.2001686990261078,0.18022380769252777
general,0.259066641330719,0.24928055703639984,0.18179567158222198,0.2445744127035141,0.28634732961654663,0.23760037124156952,0.22489839792251587,0.28352999687194824,0.20061072707176208,0.14412625133991241,0.17353776097297668,0.1972234547138214
conference,0.2199791669845581,0.15329721570014954,0.15038815140724182,0.1537582278251648,0.25393402576446533,0.23747722804546356,0.06793465465307236,0.19579021632671356,0.20517763495445251,0.1854095160961151,0.19415655732154846,0.11172781884670258
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.3129502832889557,0.3284194767475128,0.733189046382904,0.32541483640670776,0.20322346687316895,0.3050917983055115,0.22068053483963013
ordination,0.2520870566368103,0.2000858336687088,0.23371267318725586,0.2070770412683487,0.3129502832889557,1.0000001192092896,0.23231099545955658,0.3229534924030304,0.3126903176307678,0.27807340025901794,0.33082547783851624,0.2011764794588089
order,0.24184700846672058,0.16634008288383484,0.12298163771629333,0.16897162795066833,0.3284194767475128,0.23231099545955658,1.0000001192092896,0.31287699937820435,0.28255605697631836,0.16186152398586273,0.18345926702022552,0.13725648820400238
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.3229534924030304,0.31287699937820435,1.0,0.3516455292701721,0.19614163041114807,0.3066045939922333,0.1826142966747284
transitional,0.27265146374702454,0.24329373240470886,0.12172970175743103,0.1911393105983734,0.32541483640670776,0.3126903176307678,0.28255605697631836,0.3516455292701721,1.0000001192092896,0.13525085151195526,0.24035124480724335,0.14339002966880798
deacon,0.1634988784790039,0.18630772829055786,0.19964702427387238,0.26093560457229614,0.20322346687316895,0.27807340025901794,0.16186152398586273,0.19614163041114807,0.13525085151195526,1.0,0.17148149013519287,0.15454089641571045
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.2070770412683487,0.16897162795066833,0.4069072902202606,0.1911393105983734,0.26093560457229614,0.3075462579727173,0.18412111699581146
abolished,0.2503407597541809,0.16060853004455566,0.12962225079536438,0.3075462579727173,0.3050917983055115,0.33082547783851624,0.18345926702022552,0.3066045939922333,0.24035124480724335,0.17148149013519287,1.0000001192092896,0.14427442848682404
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.2615995705127716,0.20712141692638397,0.5352458953857422,0.21687820553779602,0.21516749262809753,0.2752610743045807,0.4130953550338745
