,when,was,the,concept,of,a,social,market,economy,introduced,into,eu,law,?
while,0.548916757106781,0.3253832161426544,0.39804592728614807,0.18050093948841095,0.3366928696632385,0.3733035624027252,0.19636285305023193,0.20403999090194702,0.23612868785858154,0.1943606734275818,0.30003979802131653,0.15644215047359467,0.2214563637971878,0.21076419949531555
the,0.5091903209686279,0.48711544275283813,1.0,0.2355310022830963,0.733189046382904,0.5829201340675354,0.21797899901866913,0.2041238248348236,0.24644890427589417,0.242969810962677,0.39493247866630554,0.14126400649547577,0.24548950791358948,0.22068053483963013
concept,0.14588837325572968,0.2765439450740814,0.2355310022830963,0.9999998807907104,0.24082158505916595,0.29586365818977356,0.27619093656539917,0.24944022297859192,0.23438119888305664,0.2977311313152313,0.1447935700416565,0.06025070324540138,0.2657865881919861,0.17160645127296448
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.24082158505916595,1.0,0.5052502155303955,0.2605111300945282,0.1694333702325821,0.2583308815956116,0.23328952491283417,0.32255905866622925,0.1579294353723526,0.2816956341266632,0.1826142966747284
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.29586365818977356,0.5052502155303955,1.0,0.2286769598722458,0.2680419683456421,0.24415728449821472,0.2573881149291992,0.3461161255836487,0.13932566344738007,0.2212858349084854,0.23916715383529663
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,-0.005319306161254644,0.06780257821083069,0.07272057235240936,0.0685405433177948,-0.11957244575023651,0.06921020150184631,-0.045295145362615585,0.02736244536936283,0.179834246635437,0.005725041963160038,0.0685480609536171
social,0.17212750017642975,0.196878582239151,0.21797899901866913,0.27619093656539917,0.2605111300945282,0.2286769598722458,1.0,0.20194007456302643,0.32448408007621765,0.14214347302913666,0.12683343887329102,0.1399625986814499,0.2401062548160553,0.1615191102027893
market,0.16571037471294403,0.2252027839422226,0.2041238248348236,0.24944022297859192,0.1694333702325821,0.2680419683456421,0.20194007456302643,1.0000001192092896,0.41833436489105225,0.24643221497535706,0.13179516792297363,0.2350309044122696,0.18813258409500122,0.12805593013763428
economy,0.17599095404148102,0.2389698028564453,0.24644890427589417,0.23438119888305664,0.2583308815956116,0.24415728449821472,0.32448408007621765,0.41833436489105225,1.0,0.15385396778583527,0.17466413974761963,0.2315283864736557,0.25752776861190796,0.11486924439668655
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.09455806761980057,0.13035868108272552,0.04890415817499161,0.01732291281223297,0.022494228556752205,-0.039568107575178146,0.06878387928009033,-0.043979667127132416,0.0652511790394783,0.02283594384789467,0.018684765323996544
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2765439450740814,0.4069072902202606,0.4508470594882965,0.196878582239151,0.2252027839422226,0.2389698028564453,0.32667654752731323,0.2322220653295517,0.08040577173233032,0.21553055942058563,0.18412111699581146
only,0.5497387051582336,0.36249664425849915,0.5497692227363586,0.21506254374980927,0.49632513523101807,0.47549712657928467,0.19334439933300018,0.189679816365242,0.1791893094778061,0.24311482906341553,0.24060678482055664,0.19101150333881378,0.23021554946899414,0.2767370045185089
introduced,0.21339701116085052,0.32667654752731323,0.242969810962677,0.2977311313152313,0.23328952491283417,0.2573881149291992,0.14214347302913666,0.24643221497535706,0.15385396778583527,1.0,0.26064932346343994,0.1562175452709198,0.18680299818515778,0.16386865079402924
into,0.389646977186203,0.2322220653295517,0.39493247866630554,0.1447935700416565,0.32255905866622925,0.3461161255836487,0.12683343887329102,0.13179516792297363,0.17466413974761963,0.26064932346343994,1.0,0.10876564681529999,0.11627500504255295,0.15662476420402527
eu,0.12100394815206528,0.08040577173233032,0.14126400649547577,0.06025070324540138,0.1579294353723526,0.13932566344738007,0.1399625986814499,0.2350309044122696,0.2315283864736557,0.1562175452709198,0.10876564681529999,0.9999998807907104,0.20359504222869873,0.21586786210536957
