,what,act,sets,the,term,for,judging,the,boundaries,of,sanity,to,which,individuals,wishing,to,sit,on,the,sp,must,adhere,?
an,0.2821882665157318,0.20058928430080414,0.16592469811439514,0.4207492768764496,0.16153281927108765,0.3236706852912903,0.2507440149784088,0.4207492768764496,0.1749592274427414,0.32280945777893066,0.08332156389951706,0.3138085603713989,0.3611921966075897,0.21745453774929047,0.1475711315870285,0.3138085603713989,0.1052430123090744,0.3192969560623169,0.4207492768764496,0.16209504008293152,0.2022276371717453,0.19160324335098267,0.19793890416622162
individual,0.34021541476249695,0.28158625960350037,0.2459377497434616,0.3706541955471039,0.2401627004146576,0.33574938774108887,0.3701472580432892,0.3706541955471039,0.2333388328552246,0.3372420072555542,0.13309772312641144,0.3278317153453827,0.4525477886199951,0.7726690769195557,0.28345030546188354,0.3278317153453827,0.1856934130191803,0.2442283034324646,0.3706541955471039,0.10860767215490341,0.332433819770813,0.3220183253288269,0.2058374285697937
may,0.25739946961402893,0.16605353355407715,0.20449413359165192,0.2694292366504669,0.21869896352291107,0.29255861043930054,0.19640956819057465,0.2694292366504669,0.13536864519119263,0.26447007060050964,0.13144701719284058,0.391582727432251,0.23536433279514313,0.25262126326560974,0.2352934032678604,0.391582727432251,0.09153909236192703,0.3428080081939697,0.2694292366504669,0.132807657122612,0.35644111037254333,0.24652938544750214,0.2768254578113556
not,0.5449194312095642,0.2604115903377533,0.14605802297592163,0.4310511648654938,0.2823779284954071,0.39280617237091064,0.3128156363964081,0.4310511648654938,0.2305079996585846,0.3307090103626251,0.24999277293682098,0.5149973034858704,0.46766895055770874,0.3401985764503479,0.36912423372268677,0.5149973034858704,0.25241243839263916,0.3516409695148468,0.4310511648654938,0.15971721708774567,0.48002883791923523,0.39735910296440125,0.41942933201789856
sit,0.2215278148651123,0.19799017906188965,0.17851410806179047,0.21260488033294678,0.10766614973545074,0.17377308011054993,0.14464618265628815,0.21260488033294678,0.1296980082988739,0.17225311696529388,0.12919707596302032,0.21244771778583527,0.22226694226264954,0.21220368146896362,0.18781720101833344,0.21244771778583527,1.0,0.17279043793678284,0.21260488033294678,0.03563987836241722,0.21285094320774078,0.2250201553106308,0.19120019674301147
in,0.30808621644973755,0.22050046920776367,0.16155706346035004,0.6662389636039734,0.27866655588150024,0.4322226941585541,0.1811021864414215,0.6662389636039734,0.29207542538642883,0.5696388483047485,0.24030199646949768,0.45010748505592346,0.4840516746044159,0.22240658104419708,0.1726807802915573,0.45010748505592346,0.11977019160985947,0.46853652596473694,0.6662389636039734,0.1693420112133026,0.18276341259479523,0.20611505210399628,0.20430970191955566
the,0.42745697498321533,0.28682878613471985,0.2320500761270523,1.0,0.2740369141101837,0.4739971458911896,0.29664647579193115,1.0,0.34339386224746704,0.733189046382904,0.22404924035072327,0.535392165184021,0.6521818041801453,0.3022412955760956,0.24310189485549927,0.535392165184021,0.21260488033294678,0.5107308030128479,1.0,0.14163239300251007,0.2713140547275543,0.24263660609722137,0.22068053483963013
scottish,0.13777151703834534,0.1456814855337143,0.13924872875213623,0.21724988520145416,0.10298580676317215,0.15676887333393097,0.17066004872322083,0.21724988520145416,0.18607960641384125,0.1698460429906845,0.007837745361030102,0.1268421709537506,0.21085049211978912,0.13194245100021362,0.15792956948280334,0.1268421709537506,0.10909987986087799,0.14497309923171997,0.21724988520145416,0.025296630337834358,0.15775537490844727,0.10275352001190186,0.06442669779062271
parliament,0.21650300920009613,0.33536985516548157,0.07161371409893036,0.26521381735801697,0.19291643798351288,0.23382046818733215,0.21827389299869537,0.26521381735801697,0.26109036803245544,0.2885259687900543,0.16161897778511047,0.20290622115135193,0.20252443850040436,0.11802888661623001,0.21302516758441925,0.20290622115135193,0.2684672772884369,0.2047569900751114,0.26521381735801697,0.06878172606229782,0.18632540106773376,0.12203580141067505,0.1586504578590393
if,0.5277165174484253,0.25633808970451355,0.21091525256633759,0.33724796772003174,0.20444554090499878,0.3609124422073364,0.3295809030532837,0.33724796772003174,0.14209860563278198,0.2557544410228729,0.20495064556598663,0.4559597074985504,0.46344661712646484,0.3282046318054199,0.40378549695014954,0.4559597074985504,0.23511181771755219,0.24549968540668488,0.33724796772003174,0.17816230654716492,0.5808357000350952,0.35525450110435486,0.4441644251346588
he,0.3114890456199646,0.22212758660316467,0.1062595322728157,0.4571082592010498,0.22617298364639282,0.4540175199508667,0.20749874413013458,0.4571082592010498,0.15647099912166595,0.38706058263778687,0.2841747999191284,0.385390967130661,0.3415409028530121,0.1898498833179474,0.26909327507019043,0.385390967130661,0.16111956536769867,0.32403138279914856,0.4571082592010498,0.05684458091855049,0.1737535297870636,0.16095542907714844,0.2089974731206894
or,0.33867141604423523,0.313731849193573,0.18360242247581482,0.4174870550632477,0.34949591755867004,0.4111599624156952,0.30013415217399597,0.4174870550632477,0.2605936527252197,0.3792596757411957,0.22649924457073212,0.38921234011650085,0.5105096101760864,0.4400286376476288,0.27986249327659607,0.38921234011650085,0.26146188378334045,0.2897229492664337,0.4174870550632477,0.18331313133239746,0.43512776494026184,0.3416704833507538,0.32389625906944275
