,how,many,awards,has,doctor,who,won,?
doctor,0.2004029005765915,0.18319568037986755,0.16846410930156708,0.1778179407119751,0.9999999403953552,0.3504868149757385,0.20737384259700775,0.1462511420249939
who,0.4070430099964142,0.4149286150932312,0.22637341916561127,0.2558172643184662,0.3504868149757385,0.9999998807907104,0.24654650688171387,0.26220351457595825
has,0.26820555329322815,0.4266262650489807,0.2708130478858948,1.0,0.1778179407119751,0.2558172643184662,0.24499812722206116,0.15994466841220856
been,0.26456597447395325,0.4963826537132263,0.23366226255893707,0.6162750124931335,0.12184444069862366,0.3295723795890808,0.25461843609809875,0.24354910850524902
nominated,0.15141324698925018,0.17937320470809937,0.5504184365272522,0.3766944408416748,0.1173943355679512,0.21708045899868011,0.44799670577049255,0.23086711764335632
for,0.3308170735836029,0.40972793102264404,0.3199397027492523,0.450642853975296,0.1556548923254013,0.37110671401023865,0.3782569169998169,0.264628142118454
over,0.31446483731269836,0.47131630778312683,0.1877746731042862,0.370955228805542,0.12253336608409882,0.316001296043396,0.2579330503940582,0.25742942094802856
200,-0.2139798104763031,-0.20917564630508423,-0.03954114019870758,-0.24588389694690704,-0.08469312638044357,-0.22405165433883667,-0.1630444973707199,-0.22913911938667297
awards,0.20047736167907715,0.22891567647457123,1.0000001192092896,0.2708130478858948,0.16846410930156708,0.22637341916561127,0.5537689328193665,0.2122269868850708
and,0.33647966384887695,0.5296266674995422,0.24970239400863647,0.43716782331466675,0.21673844754695892,0.41279885172843933,0.2795773446559906,0.20544172823429108
has,0.26820555329322815,0.4266262650489807,0.2708130478858948,1.0,0.1778179407119751,0.2558172643184662,0.24499812722206116,0.15994466841220856
won,0.13434793055057526,0.2252970188856125,0.5537689328193665,0.24499812722206116,0.20737384259700775,0.24654650688171387,1.0000001192092896,0.17925700545310974
over,0.31446483731269836,0.47131630778312683,0.1877746731042862,0.370955228805542,0.12253336608409882,0.316001296043396,0.2579330503940582,0.25742942094802856
a,0.29312583804130554,0.2872205972671509,0.18129821121692657,0.4670248031616211,0.22883038222789764,0.36608949303627014,0.22534137964248657,0.23916715383529663
hundred,0.21416880190372467,0.4232117235660553,0.18338777124881744,0.2664828896522522,0.08356548845767975,0.2917463183403015,0.18848063051700592,0.17378053069114685
of,0.2480744868516922,0.37253960967063904,0.20138365030288696,0.3909035325050354,0.16895952820777893,0.2827862501144409,0.20832067728042603,0.1826142966747284
them,0.5142028331756592,0.5119333863258362,0.17283552885055542,0.22823691368103027,0.22931043803691864,0.5243523120880127,0.2133074849843979,0.35435691475868225
.,0.3287222981452942,0.3974229395389557,0.24817058444023132,0.4105546176433563,0.22361043095588684,0.3541337847709656,0.3011801838874817,0.4130953550338745
