,such,protests,are,usually,considered,to,be,what,type,?
bedau,0.13106320798397064,0.25114259123802185,0.16221930086612701,0.11888919025659561,0.16605596244335175,0.18007193505764008,0.19223114848136902,0.1564604640007019,0.1545051783323288,0.1762317717075348
also,0.4748345613479614,0.2098819762468338,0.4565894305706024,0.46235284209251404,0.3751697242259979,0.5348826050758362,0.48342031240463257,0.42747777700424194,0.26631516218185425,0.21848613023757935
notes,0.11630052328109741,0.13113270699977875,0.2348317801952362,0.20140153169631958,0.13041743636131287,0.22688092291355133,0.2507162392139435,0.19507816433906555,0.08449841290712357,0.23920853435993195
",",0.39626169204711914,0.277413010597229,0.4062570035457611,0.21946179866790771,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.3087472915649414,0.1804078221321106,0.31091248989105225
though,0.335789293050766,0.16463693976402283,0.39827248454093933,0.3570004403591156,0.4379887580871582,0.46191829442977905,0.46173956990242004,0.4089210331439972,0.15306183695793152,0.3188856542110443
",",0.39626169204711914,0.277413010597229,0.4062570035457611,0.21946179866790771,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.3087472915649414,0.1804078221321106,0.31091248989105225
that,0.4479874074459076,0.24995765089988708,0.45265161991119385,0.43660464882850647,0.37593913078308105,0.5436353087425232,0.6036020517349243,0.6297725439071655,0.25817251205444336,0.32716336846351624
the,0.3575236201286316,0.2566162943840027,0.40399202704429626,0.36782920360565186,0.4028765559196472,0.535392165184021,0.4248143136501312,0.42745697498321533,0.21819381415843964,0.22068053483963013
very,0.34994474053382874,0.17364218831062317,0.41714969277381897,0.4415467381477356,0.4312191307544708,0.3902553617954254,0.4292002320289612,0.37053924798965454,0.21407891809940338,0.20864155888557434
harmlessness,0.3311849534511566,0.2424807995557785,0.3731291592121124,0.3597169518470764,0.31284716725349426,0.3280503451824188,0.39754241704940796,0.35575491189956665,0.2182927429676056,0.2799035906791687
of,0.3209529519081116,0.24181179702281952,0.39081433415412903,0.33931583166122437,0.4190242290496826,0.41548454761505127,0.33904364705085754,0.33290785551071167,0.18112817406654358,0.1826142966747284
such,1.0,0.17212073504924774,0.4654397666454315,0.4232233762741089,0.32339993119239807,0.2871878743171692,0.5239806771278381,0.23989605903625488,0.2636772096157074,0.17851735651493073
entirely,0.22912825644016266,0.1323714256286621,0.3856066167354584,0.3262195289134979,0.2796649932861328,0.30524495244026184,0.35197314620018005,0.38249561190605164,0.25484955310821533,0.19651781022548676
symbolic,0.24814459681510925,0.21726258099079132,0.20336298644542694,0.2921031415462494,0.35000765323638916,0.21215257048606873,0.2586296796798706,0.2530723214149475,0.19836847484111786,0.1387629508972168
illegal,0.3021989166736603,0.30630549788475037,0.2369074821472168,0.2981129586696625,0.2721356451511383,0.26434260606765747,0.24702240526676178,0.21956031024456024,0.1518467217683792,0.1562941074371338
protests,0.17212073504924774,1.0000001192092896,0.18422359228134155,0.1895523965358734,0.15126599371433258,0.188382089138031,0.17547935247421265,0.15672723948955536,0.05699765682220459,0.18455082178115845
