,what,kind,of,arches,does,norman,architecture,have,?
their,0.35142919421195984,0.23866921663284302,0.4329940676689148,0.2026316523551941,0.29094186425209045,0.15736374258995056,0.1119595468044281,0.523270845413208,0.1898253709077835
style,0.2488866001367569,0.21168361604213715,0.23203764855861664,0.28182482719421387,0.20082399249076843,0.23403604328632355,0.37103867530822754,0.24198369681835175,0.19862167537212372
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.1837751269340515,0.19302551448345184,0.21643765270709991,0.2264874130487442,0.2863433063030243,0.18412111699581146
characterised,0.239613875746727,0.3228251338005066,0.27353474497795105,0.3032013773918152,0.22677989304065704,0.16264478862285614,0.15402163565158844,0.3301260769367218,0.07237469404935837
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.16432872414588928,0.143477201461792,0.20111693441867828,0.14900097250938416,0.3359639644622803,0.17966607213020325
rounded,0.20986932516098022,0.20706254243850708,0.21299809217453003,0.4021766781806946,0.19129498302936554,0.14024604856967926,0.17985336482524872,0.3009665012359619,0.1535935252904892
arches,0.11721120774745941,0.1699288785457611,0.27460992336273193,1.0,0.19984816014766693,0.29519370198249817,0.4377947449684143,0.25177401304244995,0.15862171351909637
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22068120539188385,0.28617382049560547,0.20281735062599182,0.2120368629693985,0.3541618287563324,0.31091248989105225
particularly,0.33027681708335876,0.3311082422733307,0.30258041620254517,0.2818264663219452,0.2602892816066742,0.17817586660385132,0.2980581521987915,0.39760419726371765,0.2644225060939789
over,0.28007611632347107,0.1785270869731903,0.36136594414711,0.25553596019744873,0.24276040494441986,0.22581793367862701,0.149018794298172,0.41283175349235535,0.25742942094802856
windows,0.18406382203102112,0.16360054910182953,0.1744781881570816,0.30661943554878235,0.1832764893770218,0.19708052277565002,0.3317011296749115,0.21395640075206757,0.17412035167217255
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.281974732875824,0.3461615741252899,0.21611377596855164,0.2369556725025177,0.4711785912513733,0.20544172823429108
doorways,0.26230019330978394,0.1375836879014969,0.2547694444656372,0.534065842628479,0.1575355976819992,0.21330110728740692,0.3677595555782318,0.2817254960536957,0.21343231201171875
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22068120539188385,0.28617382049560547,0.20281735062599182,0.2120368629693985,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.281974732875824,0.3461615741252899,0.21611377596855164,0.2369556725025177,0.4711785912513733,0.20544172823429108
massive,0.2346794754266739,0.1964280605316162,0.2715130150318146,0.22546575963497162,0.09209215641021729,0.14613373577594757,0.13369004428386688,0.3226180970668793,0.17558397352695465
proportions,0.20292051136493683,0.20937101542949677,0.32207977771759033,0.3292968273162842,0.24803945422172546,0.13418231904506683,0.22715981304645538,0.36297106742858887,0.15697525441646576
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.24557629227638245,0.3022993505001068,0.24800069630146027,0.21623484790325165,0.41614407300949097,0.4130953550338745
