,how,much,is,china,'s,investment,in,kenya,?
published,0.17517933249473572,0.17028161883354187,0.17880885303020477,0.16745255887508392,0.01244857907295227,0.13904841244220734,0.26697060465812683,0.07217323780059814,0.16280238330364227
comments,0.34265339374542236,0.2902325391769409,0.24300244450569153,0.15545082092285156,0.04164452850818634,0.22226105630397797,0.17926956713199615,0.14760421216487885,0.3595547676086426
on,0.32655060291290283,0.2834896147251129,0.3635730445384979,0.15178346633911133,0.0026888418942689896,0.17984212934970856,0.46853652596473694,0.18445201218128204,0.2714994251728058
kenya,0.17591707408428192,0.08246253430843353,0.17591087520122528,0.27282416820526123,-0.02908705547451973,0.233047753572464,0.23621977865695953,1.0,0.17197901010513306
's,-0.026164190843701363,0.06731651723384857,0.02396530658006668,0.023593749850988388,0.9999999403953552,0.08797560632228851,-0.037580832839012146,-0.02908705547451973,-0.023395681753754616
capital,0.10716020315885544,0.16022329032421112,0.2849797308444977,0.20006442070007324,0.01144334115087986,0.28624966740608215,0.3233928978443146,0.1552572250366211,0.0907452180981636
fm,0.0836343839764595,0.12406986206769943,0.13060927391052246,0.08960205316543579,0.07825475931167603,0.07050146907567978,0.1521582156419754,0.07699646055698395,0.1004299446940422
website,0.11496911197900772,0.0844312310218811,0.2234804928302765,0.11054717749357224,0.007907068356871605,0.17322255671024323,0.18046747148036957,0.08884195238351822,0.2114749401807785
by,0.34370526671409607,0.24959969520568848,0.3899846076965332,0.15857630968093872,-0.010884488001465797,0.14785367250442505,0.370934396982193,0.1010202169418335,0.17966607213020325
liu,0.13550780713558197,0.13089852035045624,0.1798275262117386,0.48802924156188965,0.003594015259295702,0.16411425173282623,0.19450624287128448,0.16913604736328125,0.18724565207958221
guangyuan,0.17483137547969818,0.19451694190502167,0.26846227049827576,0.6686002612113953,0.025992197915911674,0.2624816298484802,0.26600855588912964,0.2758556008338928,0.12732663750648499
",",0.22659391164779663,0.36182254552841187,0.4691906273365021,0.27650898694992065,-0.0016132977325469255,0.2384718954563141,0.5201468467712402,0.23432263731956482,0.31091248989105225
china,0.1747840791940689,0.20538796484470367,0.1968986988067627,1.0000001192092896,0.023593749850988388,0.2734941244125366,0.267821341753006,0.27282416820526123,0.18007943034172058
's,-0.026164190843701363,0.06731651723384857,0.02396530658006668,0.023593749850988388,0.9999999403953552,0.08797560632228851,-0.037580832839012146,-0.02908705547451973,-0.023395681753754616
ambassador,0.1073950007557869,0.12736886739730835,0.15403807163238525,0.2456578016281128,-0.02365059033036232,0.2543284595012665,0.22258296608924866,0.23050367832183838,0.1611340492963791
to,0.44169697165489197,0.40610215067863464,0.42745086550712585,0.1938052773475647,0.03782717138528824,0.2513584792613983,0.45010748505592346,0.17769291996955872,0.29463258385658264
kenya,0.17591707408428192,0.08246253430843353,0.17591087520122528,0.27282416820526123,-0.02908705547451973,0.233047753572464,0.23621977865695953,1.0,0.17197901010513306
",",0.22659391164779663,0.36182254552841187,0.4691906273365021,0.27650898694992065,-0.0016132977325469255,0.2384718954563141,0.5201468467712402,0.23432263731956482,0.31091248989105225
at,0.2154216170310974,0.23158283531665802,0.25906258821487427,0.1485295444726944,-0.08481216430664062,0.13591277599334717,0.4374977946281433,0.21434974670410156,0.21978627145290375
the,0.33890387415885925,0.35023224353790283,0.5823672413825989,0.3110525608062744,-0.01540423184633255,0.20950904488563538,0.6662389636039734,0.21657514572143555,0.22068053483963013
time,0.35346719622612,0.3794040381908417,0.25187405943870544,0.23501361906528473,0.01301188487559557,0.21077893674373627,0.3431483507156372,0.12179288268089294,0.27391523122787476
of,0.2480744868516922,0.2671096920967102,0.4854315221309662,0.27699828147888184,-0.03817026689648628,0.24637944996356964,0.5696388483047485,0.22226637601852417,0.1826142966747284
president,0.1342112123966217,0.1096889078617096,0.15443938970565796,0.21044477820396423,-0.08566092699766159,0.3005093038082123,0.18811661005020142,0.2891511619091034,0.14148259162902832
kenyatta,0.11566143482923508,0.0665808841586113,0.20126809179782867,0.3258764445781708,-0.042272645980119705,0.30989933013916016,0.28018826246261597,0.7755836248397827,0.1456252485513687
's,-0.026164190843701363,0.06731651723384857,0.02396530658006668,0.023593749850988388,0.9999999403953552,0.08797560632228851,-0.037580832839012146,-0.02908705547451973,-0.023395681753754616
2013,-0.3374192416667938,-0.41492176055908203,-0.3365909159183502,-0.13706114888191223,-0.05552978441119194,-0.09215874969959259,-0.2606481909751892,-0.01667228899896145,-0.2969330847263336
trip,0.20737116038799286,0.1924014538526535,0.22472994029521942,0.18286821246147156,0.09064716845750809,0.16490675508975983,0.2560811936855316,0.18543627858161926,0.09162633121013641
to,0.44169697165489197,0.40610215067863464,0.42745086550712585,0.1938052773475647,0.03782717138528824,0.2513584792613983,0.45010748505592346,0.17769291996955872,0.29463258385658264
