,what,does,the,sieve,of,eratosthenes,do,?
the,0.42745697498321533,0.35928019881248474,1.0,0.236739844083786,0.733189046382904,0.3054516315460205,0.30239659547805786,0.22068053483963013
sieve,0.2748502194881439,0.2249418944120407,0.236739844083786,1.0,0.2222577929496765,0.38099363446235657,0.32422611117362976,0.14764533936977386
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2222577929496765,1.0,0.3415881097316742,0.26150479912757874,0.1826142966747284
eratosthenes,0.3025607466697693,0.16635830700397491,0.3054516315460205,0.38099363446235657,0.3415881097316742,1.0,0.19874107837677002,0.15444022417068481
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.17480798065662384,0.4946078956127167,0.26014038920402527,0.3283645510673523,0.31091248989105225
attributed,0.22667492926120758,0.15290957689285278,0.21220806241035461,0.20509032905101776,0.2709019184112549,0.34541141986846924,0.1557670533657074,0.20030178129673004
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.301832914352417,0.41548454761505127,0.28045928478240967,0.38876664638519287,0.29463258385658264
eratosthenes,0.3025607466697693,0.16635830700397491,0.3054516315460205,0.38099363446235657,0.3415881097316742,1.0,0.19874107837677002,0.15444022417068481
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.17480798065662384,0.4946078956127167,0.26014038920402527,0.3283645510673523,0.31091248989105225
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.23733966052532196,0.4854315221309662,0.23531992733478546,0.30895981192588806,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.211503267288208,0.5052502155303955,0.25966212153434753,0.26237669587135315,0.23916715383529663
simple,0.4218197166919708,0.35226041078567505,0.24738673865795135,0.3008405864238739,0.23205730319023132,0.22331371903419495,0.3700781464576721,0.4614735543727875
method,0.25476205348968506,0.22807583212852478,0.21624743938446045,0.2319515198469162,0.22896558046340942,0.367183119058609,0.2103593647480011,0.2194802314043045
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.301832914352417,0.41548454761505127,0.28045928478240967,0.38876664638519287,0.29463258385658264
compute,0.3069388270378113,0.23291164636611938,0.1901584267616272,0.3408842980861664,0.20833022892475128,0.45328953862190247,0.2601476013660431,0.2203136384487152
primes,0.2505246102809906,0.24454741179943085,0.22359657287597656,0.2874298393726349,0.22199293971061707,0.4766990542411804,0.2046166956424713,0.18851876258850098
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.17480798065662384,0.4946078956127167,0.26014038920402527,0.3283645510673523,0.31091248989105225
although,0.24844598770141602,0.3092105984687805,0.3265823423862457,0.17521370947360992,0.3024747669696808,0.16414697468280792,0.23230431973934174,0.15541206300258636
the,0.42745697498321533,0.35928019881248474,1.0,0.236739844083786,0.733189046382904,0.3054516315460205,0.30239659547805786,0.22068053483963013
large,0.2017821967601776,0.22553202509880066,0.3828733265399933,0.2963483929634094,0.3569655418395996,0.24902251362800598,0.22322134673595428,0.1355665624141693
primes,0.2505246102809906,0.24454741179943085,0.22359657287597656,0.2874298393726349,0.22199293971061707,0.4766990542411804,0.2046166956424713,0.18851876258850098
found,0.1796332150697708,0.13407401740550995,0.3452354073524475,0.18385371565818787,0.2982911467552185,0.23628850281238556,0.19611693918704987,0.16790300607681274
today,0.3814660608768463,0.23916853964328766,0.35740926861763,0.17252278327941895,0.3291318118572235,0.23472942411899567,0.3082462251186371,0.17338968813419342
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.24469417333602905,0.41827285289764404,0.1720443069934845,0.23744353652000427,0.2433311939239502
computers,0.3057560622692108,0.2260693609714508,0.19305875897407532,0.2785988748073578,0.16629000008106232,0.33160802721977234,0.3073336184024811,0.22440722584724426
are,0.29724663496017456,0.3126322329044342,0.40399202704429626,0.29851478338241577,0.39081433415412903,0.19397129118442535,0.41111594438552856,0.24591213464736938
not,0.5449194312095642,0.6355478763580322,0.4310511648654938,0.2772218585014343,0.3307090103626251,0.2124970704317093,0.6619802713394165,0.41942933201789856
generated,0.2341722995042801,0.26253339648246765,0.27684199810028076,0.16657675802707672,0.27549460530281067,0.27490171790122986,0.2677361071109772,0.28358349204063416
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.3053053021430969,0.45148900151252747,0.3023969531059265,0.34963881969451904,0.3155723512172699
way,0.4835909903049469,0.36389604210853577,0.36217406392097473,0.34111112356185913,0.266871839761734,0.2943878173828125,0.3526575565338135,0.31575819849967957
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.19560560584068298,0.5352458953857422,0.2864864468574524,0.3613996207714081,0.4130953550338745
