,cydippid,are,typically,what,shape,?
cydippid,1.0000001192092896,0.26190534234046936,0.3343173861503601,0.2701593041419983,0.33044108748435974,0.2854539453983307
ctenophores,0.5625914335250854,0.35426098108291626,0.3468061089515686,0.2505159080028534,0.35001644492149353,0.2054179310798645
have,0.3332151174545288,0.6577680706977844,0.3724619746208191,0.39808809757232666,0.3050958514213562,0.32991164922714233
bodies,0.3257797062397003,0.35380154848098755,0.25754547119140625,0.1688588559627533,0.3033822178840637,0.18285469710826874
that,0.3501744270324707,0.45265161991119385,0.34845292568206787,0.6297725439071655,0.32968640327453613,0.32716336846351624
are,0.26190534234046936,1.0,0.4610564708709717,0.29724663496017456,0.25119420886039734,0.24591213464736938
more,0.31427082419395447,0.4066504240036011,0.3908897936344147,0.3484537899494171,0.24168039858341217,0.27894994616508484
or,0.3065548837184906,0.5374364256858826,0.558444619178772,0.33867141604423523,0.29728466272354126,0.32389625906944275
less,0.31097593903541565,0.37797531485557556,0.43614354729652405,0.31119704246520996,0.23479796946048737,0.22418740391731262
rounded,0.2607520520687103,0.31822481751441956,0.3961002826690674,0.20986932516098022,0.4507570266723633,0.1535935252904892
",",0.24592694640159607,0.4062570035457611,0.18964512646198273,0.3087472915649414,0.224068284034729,0.31091248989105225
sometimes,0.33320802450180054,0.47411349415779114,0.5092028975486755,0.34229418635368347,0.3546161651611328,0.1751544177532196
nearly,0.25635573267936707,0.29865899682044983,0.3365541696548462,0.21304303407669067,0.2947618365287781,0.11670064926147461
spherical,0.3200896978378296,0.24994061887264252,0.2978607416152954,0.1481882929801941,0.45617902278900146,0.0753602683544159
and,0.2749423682689667,0.48576638102531433,0.3137528598308563,0.31309178471565247,0.2703090310096741,0.20544172823429108
other,0.279071569442749,0.5932393670082092,0.38911667466163635,0.341873437166214,0.2332415133714676,0.24682199954986572
times,0.24540315568447113,0.16137352585792542,0.16014181077480316,0.21414996683597565,0.14462637901306152,0.18880689144134521
more,0.31427082419395447,0.4066504240036011,0.3908897936344147,0.3484537899494171,0.24168039858341217,0.27894994616508484
cylindrical,0.4241398274898529,0.28967952728271484,0.3832888603210449,0.16798965632915497,0.48683401942253113,0.1266353279352188
or,0.3065548837184906,0.5374364256858826,0.558444619178772,0.33867141604423523,0.29728466272354126,0.32389625906944275
egg-shaped,0.40991657972335815,0.2641546428203583,0.3640386462211609,0.22149525582790375,0.6249552965164185,0.11325749009847641
;,0.03377305343747139,0.15315808355808258,0.036054808646440506,0.10986888408660889,0.020368635654449463,0.10349778085947037
the,0.3269699513912201,0.40399202704429626,0.33345210552215576,0.42745697498321533,0.29087939858436584,0.22068053483963013
common,0.274822860956192,0.3463647663593292,0.3504837453365326,0.19989867508411407,0.23788724839687347,0.20434872806072235
coastal,0.29262760281562805,0.24362002313137054,0.20011653006076813,0.18264484405517578,0.15647384524345398,0.13777320086956024
``,0.052125945687294006,0.12624181807041168,0.1426737904548645,0.008517155423760414,0.10151942819356918,0.0685480609536171
sea,0.34361013770103455,0.215116485953331,0.13024061918258667,0.19525039196014404,0.1425498127937317,0.15551945567131042
gooseberry,0.34672388434410095,0.3098420798778534,0.2525380551815033,0.21568390727043152,0.25974518060684204,0.13494670391082764
",",0.24592694640159607,0.4062570035457611,0.18964512646198273,0.3087472915649414,0.224068284034729,0.31091248989105225
'',0.013242856599390507,0.0263817198574543,-0.03433295339345932,0.08143015950918198,-0.050296735018491745,0.018684765323996544
pleurobrachia,0.5100585222244263,0.2870176434516907,0.2841171622276306,0.22535713016986847,0.2598423361778259,0.2196917086839676
",",0.24592694640159607,0.4062570035457611,0.18964512646198273,0.3087472915649414,0.224068284034729,0.31091248989105225
sometimes,0.33320802450180054,0.47411349415779114,0.5092028975486755,0.34229418635368347,0.3546161651611328,0.1751544177532196
has,0.20464648306369781,0.4313911199569702,0.24144868552684784,0.20338068902492523,0.2542473077774048,0.15994466841220856
an,0.2108069807291031,0.1556541919708252,0.2764771282672882,0.2821882665157318,0.21149155497550964,0.19793890416622162
egg-shaped,0.40991657972335815,0.2641546428203583,0.3640386462211609,0.22149525582790375,0.6249552965164185,0.11325749009847641
body,0.31088536977767944,0.2451179027557373,0.3026675879955292,0.2143840193748474,0.323769748210907,0.20136451721191406
with,0.23098008334636688,0.38996943831443787,0.3270100951194763,0.2464839518070221,0.23492549359798431,0.2433311939239502
the,0.3269699513912201,0.40399202704429626,0.33345210552215576,0.42745697498321533,0.29087939858436584,0.22068053483963013
mouth,0.23299285769462585,0.20501531660556793,0.13192827999591827,0.18337541818618774,0.2640613615512848,0.21761061251163483
at,0.22310864925384521,0.2074895054101944,0.19089747965335846,0.2838611304759979,0.13078007102012634,0.21978627145290375
the,0.3269699513912201,0.40399202704429626,0.33345210552215576,0.42745697498321533,0.29087939858436584,0.22068053483963013
narrow,0.2603239119052887,0.2837330996990204,0.27596181631088257,0.21173065900802612,0.3723383843898773,0.1023377925157547
end,0.23259341716766357,0.18067817389965057,0.19638298451900482,0.29234179854393005,0.23690153658390045,0.12543344497680664
",",0.24592694640159607,0.4062570035457611,0.18964512646198273,0.3087472915649414,0.224068284034729,0.31091248989105225
although,0.28119537234306335,0.30740880966186523,0.3294583857059479,0.24844598770141602,0.21346771717071533,0.15541206300258636
some,0.34959766268730164,0.6331475377082825,0.47280338406562805,0.4491020441055298,0.2985425889492035,0.2562315762042999
