,how,do,chloroplasts,reproduce,?
chloroplasts,0.2384049892425537,0.2621478736400604,0.9999999403953552,0.4978836178779602,0.13049766421318054
are,0.311818927526474,0.41111594438552856,0.3103833794593811,0.3300829231739044,0.24591213464736938
highly,0.24683108925819397,0.21016843616962433,0.30029186606407166,0.24748095870018005,0.1542806625366211
dynamic—they,0.3478606641292572,0.25392934679985046,0.3129255175590515,0.27038654685020447,0.34933894872665405
circulate,0.2452174872159958,0.19782306253910065,0.3401719331741333,0.32193684577941895,0.12991079688072205
and,0.33647966384887695,0.276123583316803,0.21511349081993103,0.26401931047439575,0.20544172823429108
are,0.311818927526474,0.41111594438552856,0.3103833794593811,0.3300829231739044,0.24591213464736938
moved,0.17376862466335297,0.12177715450525284,0.09278196096420288,0.1107201874256134,0.15112607181072235
around,0.3297552764415741,0.2358471304178238,0.23327584564685822,0.1995842158794403,0.14729668200016022
within,0.24755704402923584,0.21291908621788025,0.2532651722431183,0.2241361439228058,0.1870293766260147
plant,0.24431802332401276,0.19011136889457703,0.5019698739051819,0.4344874620437622,0.16613075137138367
cells,0.24193938076496124,0.2676107585430145,0.6158713102340698,0.5117670297622681,0.1898086667060852
",",0.22659391164779663,0.3283645510673523,0.20794041454792023,0.1640341728925705,0.31091248989105225
and,0.33647966384887695,0.276123583316803,0.21511349081993103,0.26401931047439575,0.20544172823429108
occasionally,0.2539796233177185,0.27040165662765503,0.2657855451107025,0.2549121677875519,0.13541953265666962
pinch,0.2796320915222168,0.2777559459209442,0.2691318392753601,0.17101414501667023,0.2200046181678772
in,0.2601168751716614,0.23402775824069977,0.21141497790813446,0.20055049657821655,0.20430970191955566
two,0.2499001920223236,0.22086432576179504,0.2635502219200134,0.24210520088672638,0.19645625352859497
to,0.44169697165489197,0.38876664638519287,0.23370109498500824,0.2906728982925415,0.29463258385658264
reproduce,0.2607755661010742,0.3390170931816101,0.4978836178779602,0.9999999403953552,0.2522563636302948
.,0.3287222981452942,0.3613996207714081,0.23868323862552643,0.27828001976013184,0.4130953550338745
