,what,did,the,18th,century,huguenot,group,call,themselves,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.19408075511455536,0.3174034655094147,0.26198551058769226,0.2304753065109253,0.2520289719104767,0.17596714198589325,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.2844390869140625,0.3617299497127533,0.29557526111602783,0.30795547366142273,0.26640447974205017,0.3444426357746124,0.22068053483963013
early,0.2454567849636078,0.32047218084335327,0.34442198276519775,0.17677438259124756,0.4336492121219635,0.21533438563346863,0.2605319023132324,0.25495675206184387,0.2036314755678177,0.15272949635982513
18th,0.173826202750206,0.14576448500156403,0.2844390869140625,1.0000001192092896,0.25759825110435486,0.05490914359688759,0.10532920807600021,0.10410762578248978,0.03434418514370918,0.11879357695579529
century,0.20422613620758057,0.2333737462759018,0.3617299497127533,0.25759825110435486,1.0,0.30558452010154724,0.1627291738986969,0.10244351625442505,0.1936158686876297,0.1026201918721199
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.20852045714855194,0.24487493932247162,0.24752236902713776,0.2809832692146301,0.2670435905456543,0.19974499940872192,0.31091248989105225
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.2213495373725891,0.19417014718055725,0.22502337396144867,0.2594761848449707,0.2774817645549774,0.19371497631072998,0.23916715383529663
regional,0.1532609760761261,0.15632236003875732,0.3125704526901245,0.007931539788842201,0.11280659586191177,0.15070657432079315,0.19701223075389862,0.18519899249076843,0.1373245120048523,0.09246466308832169
group,0.2114069163799286,0.13719572126865387,0.30795547366142273,0.10532920807600021,0.1627291738986969,0.1790638267993927,0.9999999403953552,0.23165766894817352,0.3501286208629608,0.13827809691429138
known,0.20381177961826324,0.25943970680236816,0.3624623417854309,0.15690885484218597,0.2454954832792282,0.16688741743564606,0.24512334167957306,0.240574911236763,0.20754823088645935,0.18314571678638458
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.20181994140148163,0.24608509242534637,0.15821954607963562,0.2519444227218628,0.2785561680793762,0.28746727108955383,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,1.0,0.2844390869140625,0.3617299497127533,0.29557526111602783,0.30795547366142273,0.26640447974205017,0.3444426357746124,0.22068053483963013
camisards,0.278313010931015,0.26769882440567017,0.3797358274459839,0.1441720426082611,0.2853311002254486,0.4200077950954437,0.1522187739610672,0.19677846133708954,0.2301356941461563,0.24442410469055176
who,0.40942975878715515,0.34038686752319336,0.3733934462070465,0.14225491881370544,0.2990973889827728,0.32233482599258423,0.33690139651298523,0.2639438807964325,0.42025554180145264,0.26220351457595825
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.09947817772626877,0.34997639060020447,0.23719102144241333,0.2810588777065277,0.15069875121116638,0.4153209924697876,0.17890112102031708
huguenots,0.22128188610076904,0.2420482039451599,0.30745792388916016,0.04273581504821777,0.290620356798172,0.9459913372993469,0.16665033996105194,0.14547491073608398,0.26021808385849,0.16010338068008423
rioted,0.1634100079536438,0.2764565348625183,0.30941373109817505,0.09221747517585754,0.25354281067848206,0.3550485372543335,0.22420716285705566,0.20160838961601257,0.3100229501724243,0.13206550478935242
against,0.24561616778373718,0.22514554858207703,0.3090755045413971,0.11507833749055862,0.127406507730484,0.2263410985469818,0.2582053244113922,0.20915785431861877,0.2692209780216217,0.18095137178897858
the,0.42745697498321533,0.34736719727516174,1.0,0.2844390869140625,0.3617299497127533,0.29557526111602783,0.30795547366142273,0.26640447974205017,0.3444426357746124,0.22068053483963013
catholic,0.1882777214050293,0.16203826665878296,0.26391419768333435,0.05210502818226814,0.26456788182258606,0.44785669445991516,0.08744741231203079,0.13625428080558777,0.17978700995445251,0.16609853506088257
church,0.1944202184677124,0.16781097650527954,0.23846197128295898,0.08625750988721848,0.3047577142715454,0.3685069978237152,0.14028063416481018,0.14745277166366577,0.12229454517364502,0.18081501126289368
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.19408075511455536,0.3174034655094147,0.26198551058769226,0.2304753065109253,0.2520289719104767,0.17596714198589325,0.20430970191955566
