,when,was,the,st.,bartholomew,'s,day,massacre,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.15931649506092072,0.2546539306640625,-0.037580832839012146,0.2671984136104584,0.223619282245636,0.20430970191955566
what,0.4700249433517456,0.22111038863658905,0.42745697498321533,0.10219959169626236,0.212022602558136,0.02692362666130066,0.2990210950374603,0.16681800782680511,0.5051238536834717
became,0.32363733649253845,0.6575068235397339,0.36325156688690186,0.11429908126592636,0.21235968172550201,0.0067522358149290085,0.24806120991706848,0.13583946228027344,0.11374033987522125
known,0.1836930811405182,0.35203275084495544,0.3624623417854309,0.11387830227613449,0.22931501269340515,0.008368984796106815,0.16314662992954254,0.14261606335639954,0.18314571678638458
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.14462272822856903,0.23835712671279907,-0.05775856226682663,0.23300392925739288,0.14203092455863953,0.27043893933296204
the,0.5091903209686279,0.48711544275283813,1.0,0.18141359090805054,0.31120938062667847,-0.01540423184633255,0.3062323033809662,0.23870180547237396,0.22068053483963013
st.,0.1389591246843338,0.17142929136753082,0.18141359090805054,1.0000001192092896,0.29490673542022705,0.045316148549318314,0.15536078810691833,0.18038561940193176,0.13592876493930817
bartholomew,0.24687500298023224,0.2436167597770691,0.31120938062667847,0.29490673542022705,0.9999998807907104,-0.021434513852000237,0.3009963631629944,0.3315086364746094,0.1647033840417862
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.045316148549318314,-0.021434513852000237,0.9999999403953552,0.03448042273521423,-0.0143845584243536,-0.023395681753754616
day,0.30730122327804565,0.24314451217651367,0.3062323033809662,0.15536078810691833,0.3009963631629944,0.03448042273521423,1.0,0.2912667393684387,0.2141837179660797
massacre,0.12145557999610901,0.2228357344865799,0.23870180547237396,0.18038561940193176,0.3315086364746094,-0.0143845584243536,0.2912667393684387,1.0,0.17941462993621826
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.19887582957744598,0.2951948940753937,-0.03817026689648628,0.2934032380580902,0.20526865124702454,0.1826142966747284
24,-0.04070616886019707,-0.06428006291389465,0.009148004464805126,-0.07194782048463821,-0.10076355934143066,-0.03981027007102966,-0.0809091106057167,-0.03228414058685303,0.016154835000634193
august,0.2603156566619873,0.42620858550071716,0.22689028084278107,0.14976468682289124,0.17459256947040558,-0.05140150338411331,0.3063473105430603,0.20856794714927673,0.3006744682788849
–,0.20347917079925537,0.30754852294921875,0.2607575058937073,0.26521146297454834,0.2576603889465332,0.02811010740697384,0.23835064470767975,0.17533805966377258,0.2714554965496063
3,0.06927181035280228,0.06170157715678215,0.06283142417669296,-0.007285587955266237,0.04279360920190811,-0.06116730347275734,0.053642310202121735,0.08267083019018173,0.005975271109491587
october,0.273419588804245,0.4627581834793091,0.2621108889579773,0.12383471429347992,0.21798184514045715,-0.06886140257120132,0.27384188771247864,0.18834726512432098,0.29706719517707825
1572,-0.1503494530916214,-0.21089988946914673,-0.14262524247169495,0.11106370389461517,-0.129551500082016,-0.014855321496725082,-0.08107782900333405,0.037432968616485596,-0.02011251635849476
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.26603782176971436,0.2513362765312195,-0.0016132977325469255,0.30821847915649414,0.22544804215431213,0.31091248989105225
catholics,0.23452122509479523,0.2618641257286072,0.27357813715934753,0.14891543984413147,0.39499980211257935,0.09235575050115585,0.2531879246234894,0.28757330775260925,0.17714823782444
killed,0.2550056278705597,0.31229376792907715,0.23115427792072296,0.17562158405780792,0.24817606806755066,-0.004342961125075817,0.25618505477905273,0.47948741912841797,0.17928971350193024
thousands,0.2730526328086853,0.12934128940105438,0.2934577763080597,0.10855915397405624,0.24393883347511292,0.03356398269534111,0.2698172330856323,0.35882148146629333,0.15520451962947845
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.19887582957744598,0.2951948940753937,-0.03817026689648628,0.2934032380580902,0.20526865124702454,0.1826142966747284
huguenots,0.21745723485946655,0.20650696754455566,0.30745792388916016,0.18535855412483215,0.41406622529029846,-0.00021272523736115545,0.22473984956741333,0.3301491439342499,0.16010338068008423
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.15931649506092072,0.2546539306640625,-0.037580832839012146,0.2671984136104584,0.223619282245636,0.20430970191955566
paris,0.23232801258563995,0.31941550970077515,0.24946041405200958,0.1452501267194748,0.2211976945400238,0.07045914977788925,0.1874237358570099,0.19046315550804138,0.1491217315196991
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2214197814464569,0.25176355242729187,-0.003708066651597619,0.24232520163059235,0.17124898731708527,0.4130953550338745
