,in,which,year,did,the,gallery,devoted,to,chinese,art,open,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.19251246750354767,0.19689401984214783,0.535392165184021,0.2785343527793884,0.20297785103321075,0.2764171361923218,0.22068053483963013
t.,0.0679468959569931,-0.07651621848344803,0.09525813907384872,-0.074932761490345,-0.07556280493736267,-0.07898116111755371,0.11426862329244614,-0.01181630790233612,-0.05422141030430794,-0.13968832790851593,-0.06441530585289001,0.025474894791841507
t.,0.0679468959569931,-0.07651621848344803,0.09525813907384872,-0.074932761490345,-0.07556280493736267,-0.07898116111755371,0.11426862329244614,-0.01181630790233612,-0.05422141030430794,-0.13968832790851593,-0.06441530585289001,0.025474894791841507
tsui,0.1462259739637375,0.18703922629356384,0.15356923639774323,0.10674592107534409,0.18988852202892303,0.15862520039081573,0.12974531948566437,0.12405607849359512,0.4424275755882263,0.14324834942817688,0.16588100790977478,0.2259218692779541
gallery,0.21665531396865845,0.19994710385799408,0.11597850918769836,0.10746263712644577,0.19251246750354767,1.0,0.14333641529083252,0.19736915826797485,0.075161412358284,0.5883238911628723,0.18392328917980194,0.18202216923236847
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.1971534639596939,0.2848767340183258,0.41548454761505127,0.24275560677051544,0.22648051381111145,0.17970167100429535,0.1826142966747284
chinese,0.20821347832679749,0.21241894364356995,0.21294957399368286,0.19065357744693756,0.2785343527793884,0.075161412358284,0.10714461654424667,0.17416036128997803,1.0000001192092896,0.17483416199684143,0.1607358306646347,0.20843194425106049
art,0.2282189577817917,0.19862167537212372,0.15209953486919403,0.1711656004190445,0.20297785103321075,0.5883238911628723,0.19072315096855164,0.22068513929843903,0.17483416199684143,1.0,0.10640907287597656,0.138971745967865
opened,0.2972770035266876,0.24361629784107208,0.17148488759994507,0.2014526128768921,0.28544309735298157,0.249263733625412,0.20428098738193512,0.18903055787086487,0.1149650365114212,0.15857157111167908,0.39371490478515625,0.1934700310230255
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.21665531396865845,0.21890759468078613,0.45010748505592346,0.20821347832679749,0.2282189577817917,0.27347445487976074,0.20430970191955566
