,where,does,two,thirds,of,the,rhine,flow,outside,of,germany,?
two,0.32765963673591614,0.2100418359041214,1.0000001192092896,0.4151166081428528,0.37726253271102905,0.43858039379119873,0.18329967558383942,0.17720970511436462,0.22058306634426117,0.37726253271102905,0.21959294378757477,0.19645625352859497
thirds,0.23070082068443298,0.24664737284183502,0.4151166081428528,0.9999998807907104,0.3725324273109436,0.39219605922698975,0.2155713587999344,0.18945473432540894,0.24973279237747192,0.3725324273109436,0.2086448222398758,0.10387840867042542
of,0.38066378235816956,0.3119818866252899,0.37726253271102905,0.3725324273109436,1.0,0.733189046382904,0.2548927664756775,0.2407451719045639,0.2973117530345917,1.0,0.2942050099372864,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,0.43858039379119873,0.39219605922698975,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
water,0.2081080675125122,0.29202038049697876,0.20420964062213898,0.29542580246925354,0.2741255462169647,0.297396719455719,0.18943050503730774,0.4377398192882538,0.2195296287536621,0.2741255462169647,0.13318182528018951,0.14731885492801666
flow,0.18037010729312897,0.21734505891799927,0.17720970511436462,0.18945473432540894,0.2407451719045639,0.314039409160614,0.20253489911556244,0.9999999403953552,0.14047446846961975,0.2407451719045639,0.13414667546749115,0.10458291321992874
volume,0.13641157746315002,0.1341913491487503,0.14402879774570465,0.305665522813797,0.27775493264198303,0.2396446168422699,0.05451172590255737,0.3078576624393463,0.19398173689842224,0.27775493264198303,0.08288228511810303,0.1651400327682495
of,0.38066378235816956,0.3119818866252899,0.37726253271102905,0.3725324273109436,1.0,0.733189046382904,0.2548927664756775,0.2407451719045639,0.2973117530345917,1.0,0.2942050099372864,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,0.43858039379119873,0.39219605922698975,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
rhine,0.2007746696472168,0.13532963395118713,0.18329967558383942,0.2155713587999344,0.2548927664756775,0.30735138058662415,1.0,0.20253489911556244,0.07718619704246521,0.2548927664756775,0.5801170468330383,0.13754533231258392
flows,0.23452386260032654,0.23165354132652283,0.1489696204662323,0.22187849879264832,0.25574392080307007,0.32405155897140503,0.2871347963809967,0.6895013451576233,0.19653251767158508,0.25574392080307007,0.14617419242858887,0.11636040359735489
farther,0.3719709813594818,0.19565676152706146,0.2940739095211029,0.2700975835323334,0.23227694630622864,0.34515607357025146,0.3008689880371094,0.20744821429252625,0.3024996519088745,0.23227694630622864,0.1880330741405487,0.08294608443975449
west,0.22786299884319305,0.14011532068252563,0.24983730912208557,0.24414633214473724,0.2891985774040222,0.32918402552604675,0.3360097110271454,0.19337786734104156,0.2354571372270584,0.2891985774040222,0.3368600606918335,0.12088293582201004
",",0.3149496018886566,0.28617382049560547,0.35859420895576477,0.25459006428718567,0.4946078956127167,0.4933079481124878,0.167837992310524,0.23027558624744415,0.2726076543331146,0.4946078956127167,0.2898865044116974,0.31091248989105225
through,0.331196665763855,0.21495459973812103,0.24710188806056976,0.2649146020412445,0.3647414743900299,0.44071322679519653,0.23343999683856964,0.3991040587425232,0.31958580017089844,0.3647414743900299,0.17170296609401703,0.16913433372974396
the,0.5003893971443176,0.35928019881248474,0.43858039379119873,0.39219605922698975,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.3879719078540802,0.733189046382904,0.3181285262107849,0.22068053483963013
waal,0.20421674847602844,0.11804382503032684,0.1673509180545807,0.1553722470998764,0.18245531618595123,0.14903073012828827,0.3682439625263214,0.22669056057929993,0.1055341586470604,0.18245531618595123,0.2607516646385193,0.11904393881559372
and,0.43859338760375977,0.3461615741252899,0.4671151638031006,0.36736127734184265,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2773895561695099,0.31803378462791443,0.5116966962814331,0.29381805658340454,0.20544172823429108
then,0.5403340458869934,0.2951544523239136,0.37277984619140625,0.25806742906570435,0.2937326431274414,0.4297412931919098,0.18961727619171143,0.22673380374908447,0.27379512786865234,0.2937326431274414,0.1967308223247528,0.2884598970413208
