,what,does,increasing,inequality,harm,?
according,0.2776208221912384,0.22564846277236938,0.23184899985790253,0.26491740345954895,0.16871052980422974,0.21173474192619324
to,0.455847829580307,0.4391997456550598,0.35017409920692444,0.24361056089401245,0.31627681851387024,0.29463258385658264
economists,0.26094529032707214,0.217331200838089,0.24611547589302063,0.42708247900009155,0.22845473885536194,0.1671878695487976
david,0.1299152821302414,9.746047726366669e-05,0.06340409815311432,0.15412749350070953,0.0732554942369461,0.04158485680818558
castells-quintana,0.25345975160598755,0.14608068764209747,0.10702268034219742,0.1745661199092865,0.1400240659713745,0.22044909000396729
and,0.31309178471565247,0.3461615741252899,0.30800607800483704,0.2590520679950714,0.3120495676994324,0.20544172823429108
vicente,0.14900168776512146,0.11307203769683838,0.08713742345571518,0.1653778851032257,0.09015139192342758,0.1548120677471161
royuela,0.1645551323890686,0.12384167313575745,0.16656287014484406,0.17760704457759857,0.09262131154537201,0.15266481041908264
",",0.3087472915649414,0.28617382049560547,0.17428427934646606,0.21822890639305115,0.3135842978954315,0.31091248989105225
increasing,0.2066856026649475,0.2398691326379776,1.0,0.4020375907421112,0.22999826073646545,0.0681626945734024
inequality,0.30072227120399475,0.24271976947784424,0.4020375907421112,1.0000001192092896,0.2853837311267853,0.23619021475315094
harms,0.29550132155418396,0.36896073818206787,0.2867079973220825,0.3019997179508209,0.7163320779800415,0.31347382068634033
economic,0.18082544207572937,0.14175917208194733,0.3295663297176361,0.4401332437992096,0.19847361743450165,0.1206481084227562
growth,0.1739405393600464,0.18474416434764862,0.46367576718330383,0.3248327970504761,0.22472123801708221,0.07547862827777863
.,0.3567904531955719,0.3022993505001068,0.20223422348499298,0.22563500702381134,0.3127097487449646,0.4130953550338745
