,the,center,in,paris,is,located,near,what,river,?
the,1.0,0.29064592719078064,0.6662389636039734,0.24946041405200958,0.5823672413825989,0.407527357339859,0.2879819869995117,0.42745697498321533,0.2894456386566162,0.22068053483963013
center,0.29064592719078064,0.9999999403953552,0.27253323793411255,0.18025243282318115,0.24782158434391022,0.33815571665763855,0.26069921255111694,0.1908310204744339,0.16204725205898285,0.12538520991802216
in,0.6662389636039734,0.27253323793411255,1.0,0.29171380400657654,0.5394441485404968,0.35149815678596497,0.40211278200149536,0.30808621644973755,0.2149806171655655,0.20430970191955566
paris,0.24946041405200958,0.18025243282318115,0.29171380400657654,1.0,0.1490069329738617,0.16429179906845093,0.16439485549926758,0.12914370000362396,0.1546662300825119,0.1491217315196991
",",0.4933079481124878,0.1905742734670639,0.5201468467712402,0.25794950127601624,0.4691906273365021,0.2678719460964203,0.3141826391220093,0.3087472915649414,0.26637205481529236,0.31091248989105225
a,0.5829201340675354,0.2640431225299835,0.539380669593811,0.2185223400592804,0.658733606338501,0.2605401277542114,0.25033900141716003,0.3320399522781372,0.20514865219593048,0.23916715383529663
campus,0.20087170600891113,0.2788240909576416,0.2525809109210968,0.30814027786254883,0.2408183068037033,0.42575085163116455,0.2661547362804413,0.13670016825199127,0.23446616530418396,0.06952692568302155
located,0.407527357339859,0.33815571665763855,0.35149815678596497,0.16429179906845093,0.35717159509658813,1.0,0.4311690628528595,0.2034616470336914,0.29117700457572937,0.08983194828033447
on,0.5107308030128479,0.23809784650802612,0.46853652596473694,0.23353494703769684,0.3635730445384979,0.22447186708450317,0.3508072793483734,0.34226128458976746,0.2033996731042862,0.2714994251728058
the,1.0,0.29064592719078064,0.6662389636039734,0.24946041405200958,0.5823672413825989,0.407527357339859,0.2879819869995117,0.42745697498321533,0.2894456386566162,0.22068053483963013
left,0.33113980293273926,0.33006635308265686,0.21139952540397644,0.1655222773551941,0.15889094769954681,0.18601800501346588,0.16296936571598053,0.2442072629928589,0.19644695520401,0.13251960277557373
bank,0.3216422498226166,0.16988010704517365,0.2690856158733368,0.18014441430568695,0.21801011264324188,0.2756475508213043,0.22692596912384033,0.13934029638767242,0.35792845487594604,0.09656643867492676
of,0.733189046382904,0.24526838958263397,0.5696388483047485,0.19470684230327606,0.4854315221309662,0.32520920038223267,0.2651676535606384,0.33290785551071167,0.19903257489204407,0.1826142966747284
the,1.0,0.29064592719078064,0.6662389636039734,0.24946041405200958,0.5823672413825989,0.407527357339859,0.2879819869995117,0.42745697498321533,0.2894456386566162,0.22068053483963013
seine,0.26906487345695496,0.25120460987091064,0.2510647773742676,0.4600682258605957,0.18599633872509003,0.20429393649101257,0.292016863822937,0.22643093764781952,0.3844311237335205,0.23166798055171967
in,0.6662389636039734,0.27253323793411255,1.0,0.29171380400657654,0.5394441485404968,0.35149815678596497,0.40211278200149536,0.30808621644973755,0.2149806171655655,0.20430970191955566
paris,0.24946041405200958,0.18025243282318115,0.29171380400657654,1.0,0.1490069329738617,0.16429179906845093,0.16439485549926758,0.12914370000362396,0.1546662300825119,0.1491217315196991
",",0.4933079481124878,0.1905742734670639,0.5201468467712402,0.25794950127601624,0.4691906273365021,0.2678719460964203,0.3141826391220093,0.3087472915649414,0.26637205481529236,0.31091248989105225
hosts,0.31077179312705994,0.14709387719631195,0.24568505585193634,0.17945796251296997,0.2958720028400421,0.22044093906879425,0.16524548828601837,0.07549575716257095,0.1199304386973381,0.0862068235874176
various,0.3235042691230774,0.12139890342950821,0.266343355178833,0.16486260294914246,0.13601526618003845,0.10222098976373672,0.05511084571480751,0.26045072078704834,0.06604696065187454,0.12823495268821716
undergraduate,0.20609073340892792,0.24640706181526184,0.2541961967945099,0.23347020149230957,0.19982028007507324,0.23318490386009216,0.08857941627502441,0.1996101438999176,0.16753195226192474,0.1531745046377182
and,0.5171257257461548,0.28670641779899597,0.4954058527946472,0.2769920825958252,0.3859752118587494,0.24183952808380127,0.25046437978744507,0.31309178471565247,0.19898422062397003,0.20544172823429108
graduate,0.1983441710472107,0.2138981819152832,0.2576194703578949,0.2891407608985901,0.19379109144210815,0.2063748985528946,0.13205361366271973,0.19785571098327637,0.16365981101989746,0.13230688869953156
study,0.2533665597438812,0.22442597150802612,0.2875489294528961,0.2694143056869507,0.20457550883293152,0.13854125142097473,0.15944243967533112,0.3123835027217865,0.105671226978302,0.15902167558670044
programs,0.21757709980010986,0.20160479843616486,0.2276356965303421,0.1208215281367302,0.18660567700862885,0.08036279678344727,0.05166807025671005,0.23178155720233917,0.09529735147953033,0.16452431678771973
.,0.5934505462646484,0.29649654030799866,0.5591574311256409,0.2676265835762024,0.4569662809371948,0.28226932883262634,0.2532462477684021,0.3567904531955719,0.21443960070610046,0.4130953550338745
