,on,what,english,calendar,is,luther,commemorated,?
in,0.46853652596473694,0.30808621644973755,0.19623121619224548,0.16943912208080292,0.5394441485404968,0.20523880422115326,0.35010388493537903,0.20430970191955566
the,0.5107308030128479,0.42745697498321533,0.23982001841068268,0.21427585184574127,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.22068053483963013
church,0.1726921796798706,0.1944202184677124,0.18600057065486908,0.21194778382778168,0.203276589512825,0.379041463136673,0.279051274061203,0.18081501126289368
of,0.3966929316520691,0.33290785551071167,0.17198967933654785,0.15737932920455933,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.1826142966747284
england,0.2161867767572403,0.21399550139904022,0.41711461544036865,0.16843381524085999,0.19271282851696014,0.17883558571338654,0.2563880681991577,0.13436897099018097
's,0.0026888418942689896,0.02692362666130066,0.04063878208398819,0.04485815763473511,0.02396530658006668,-0.009990512393414974,0.07070214301347733,-0.023395681753754616
calendar,0.17993581295013428,0.17026786506175995,0.12031440436840057,1.0,0.139500692486763,0.17284812033176422,0.24385449290275574,0.16766934096813202
of,0.3966929316520691,0.33290785551071167,0.17198967933654785,0.15737932920455933,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.1826142966747284
saints,0.17417308688163757,0.20729289948940277,0.1501993089914322,0.23865829408168793,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.1782425343990326
he,0.32403138279914856,0.3114890456199646,0.20080511271953583,0.15941697359085083,0.36230841279029846,0.2454872578382492,0.1808748096227646,0.2089974731206894
is,0.3635730445384979,0.28837618231773376,0.24613474309444427,0.139500692486763,1.0,0.08282390236854553,0.21623633801937103,0.22961433231830597
commemorated,0.231469988822937,0.05664262920618057,0.14910107851028442,0.24385449290275574,0.21623633801937103,0.18452680110931396,1.0,0.08633194863796234
on,0.9999999403953552,0.34226128458976746,0.20717674493789673,0.17993581295013428,0.3635730445384979,0.19090485572814941,0.231469988822937,0.2714994251728058
31,0.09168531000614166,0.04987277463078499,0.052247680723667145,-0.003628903767094016,0.13722816109657288,-0.08790630102157593,0.03236811235547066,-0.017570214346051216
october,0.3742676079273224,0.24927909672260284,0.30574631690979004,0.2195359766483307,0.24397309124469757,0.1806728094816208,0.19807381927967072,0.29706719517707825
.,0.49257001280784607,0.3567904531955719,0.2881386876106262,0.16474001109600067,0.4569662809371948,0.24907569587230682,0.21241223812103271,0.4130953550338745
