,when,did,great,britain,lose,its,colonies,in,north,america,?
its,0.34032323956489563,0.19922670722007751,0.16369754076004028,0.2206818163394928,0.26758426427841187,1.0,0.25972941517829895,0.3793783485889435,0.25565099716186523,0.2869555354118347,0.15103481709957123
growth,0.2527426779270172,0.09287795424461365,0.17479240894317627,0.18520665168762207,0.21345210075378418,0.33330482244491577,0.3621021807193756,0.2819603681564331,0.16610796749591827,0.14357468485832214,0.07547862827777863
was,0.37326499819755554,0.41399896144866943,0.19652196764945984,0.27792006731033325,0.1366295963525772,0.3518870174884796,0.21739500761032104,0.45514053106307983,0.29020047187805176,0.2850865423679352,0.18412111699581146
reversed,0.3122202157974243,0.2684357762336731,0.12741754949092865,0.08175140619277954,0.2777045965194702,0.20958790183067322,0.12088628113269806,0.2258351743221283,0.19244733452796936,0.11998916417360306,0.17802467942237854
by,0.4376842677593231,0.18574509024620056,0.1775381863117218,0.20873384177684784,0.17851653695106506,0.24398943781852722,0.14753642678260803,0.370934396982193,0.22664140164852142,0.20156630873680115,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.2822027802467346,0.29784059524536133,0.29030492901802063,0.559237003326416,0.30451729893684387,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.22068053483963013
loss,0.2679787576198578,0.17676638066768646,0.15357984602451324,0.17406272888183594,0.5263115763664246,0.1874016374349594,0.10786689817905426,0.21028298139572144,0.1360565721988678,0.1445053070783615,0.1312553584575653
of,0.3757161796092987,0.2513895630836487,0.3168134391307831,0.28899943828582764,0.2904243767261505,0.48690423369407654,0.2890703082084656,0.5696388483047485,0.3604778051376343,0.28803038597106934,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.2822027802467346,0.29784059524536133,0.29030492901802063,0.559237003326416,0.30451729893684387,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.22068053483963013
american,0.19090662896633148,0.21486236155033112,0.13104276359081268,0.2377658486366272,0.1726977676153183,0.14820368587970734,0.1589435338973999,0.22871561348438263,0.2107747346162796,0.3915616571903229,0.18877598643302917
colonies,0.25325432419776917,0.23126882314682007,0.22359833121299744,0.41908612847328186,0.182042196393013,0.25972941517829895,1.0,0.28602269291877747,0.2843923270702362,0.3768984079360962,0.07886616140604019
in,0.4431333839893341,0.2593238651752472,0.23348836600780487,0.26246872544288635,0.26334479451179504,0.3793783485889435,0.28602269291877747,1.0,0.39050599932670593,0.3098583221435547,0.20430970191955566
1776,-0.020200513303279877,-0.016823209822177887,-0.06711246818304062,-0.05980396643280983,0.014125884510576725,0.0914621502161026,0.024115359410643578,0.029474180191755295,0.03945842757821083,-0.12344948947429657,0.06503069400787354
.,0.475719153881073,0.35288307070732117,0.2178412526845932,0.25750598311424255,0.28971824049949646,0.3566088080406189,0.27309566736221313,0.5591574311256409,0.3171539604663849,0.29180291295051575,0.4130953550338745
