,in,the,range,between,1980,and,1990,",",what,did,demand,for,grow,?
throughout,0.46596065163612366,0.4158564507961273,0.2337307333946228,0.30760687589645386,0.05902411416172981,0.36296960711479187,-0.11200809478759766,0.22385434806346893,0.2130906730890274,0.194510817527771,0.25418969988822937,0.31491008400917053,0.24279560148715973,0.12665234506130219
the,0.6662389636039734,1.0,0.2311336100101471,0.39067012071609497,0.020048053935170174,0.5171257257461548,-0.0810435339808464,0.4933079481124878,0.42745697498321533,0.34736719727516174,0.27194610238075256,0.4739971458911896,0.2652076482772827,0.22068053483963013
1980s,0.03401865437626839,0.07890266180038452,0.1632223129272461,0.09908812493085861,0.4190566837787628,0.016964120790362358,-0.2826138436794281,0.012025163508951664,-0.06585196405649185,-0.09640773385763168,0.041298769414424896,0.01433656644076109,0.1362813115119934,-0.0718669518828392
and,0.4954058527946472,0.5171257257461548,0.27470090985298157,0.40645647048950195,0.011456938460469246,1.0,-0.038070183247327805,0.6633074283599854,0.31309178471565247,0.34479495882987976,0.3240898847579956,0.5064792633056641,0.3117977976799011,0.20544172823429108
1990s,-0.1172933429479599,-0.09473290294408798,-0.19917941093444824,-0.0805111899971962,-0.28247275948524475,-0.1066596508026123,0.5499734878540039,0.026489561423659325,0.05660831928253174,0.1284751147031784,0.032119087874889374,0.0328381322324276,-0.2435011863708496,0.11282819509506226
",",0.5201468467712402,0.4933079481124878,0.2808356285095215,0.27714940905570984,-0.002026396105065942,0.6633074283599854,0.0030314233154058456,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.25499746203422546,0.4464869201183319,0.2585790455341339,0.31091248989105225
demand,0.22946900129318237,0.27194610238075256,0.24410633742809296,0.20498093962669373,0.03431810811161995,0.3240898847579956,-0.05362619459629059,0.25499746203422546,0.2007312774658203,0.26737719774246216,1.0,0.3395264446735382,0.19700665771961212,0.13359291851520538
for,0.4322226941585541,0.4739971458911896,0.2565288841724396,0.24671313166618347,0.026947280392050743,0.5064792633056641,-0.06792524456977844,0.4464869201183319,0.3017193675041199,0.318512886762619,0.3395264446735382,0.9999999403953552,0.16215160489082336,0.264628142118454
a,0.539380669593811,0.5829201340675354,0.23913569748401642,0.29385313391685486,0.07698068022727966,0.3739250600337982,-0.036849427968263626,0.427140474319458,0.3320399522781372,0.2552328109741211,0.2180943340063095,0.44038116931915283,0.20655770599842072,0.23916715383529663
scottish,0.16512006521224976,0.21724988520145416,0.06701915711164474,0.1397225707769394,0.14221824705600739,0.2972351908683777,-0.04620174691081047,0.21369139850139618,0.13777151703834534,0.1726994663476944,0.127549946308136,0.15676887333393097,0.06134319305419922,0.06442669779062271
parliament,0.2323146015405655,0.26521381735801697,0.07967298477888107,0.14072173833847046,0.0485113151371479,0.26227831840515137,0.042534030973911285,0.25442883372306824,0.21650300920009613,0.20460043847560883,0.22604183852672577,0.23382046818733215,0.10222740471363068,0.1586504578590393
grew,0.2749199867248535,0.226883202791214,0.046227145940065384,0.19680361449718475,0.0021761145908385515,0.315117746591568,0.016861965879797935,0.26807159185409546,0.11968503892421722,0.28116604685783386,0.1964704841375351,0.19393101334571838,0.4499439299106598,0.05505307391285896
",",0.5201468467712402,0.4933079481124878,0.2808356285095215,0.27714940905570984,-0.002026396105065942,0.6633074283599854,0.0030314233154058456,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.25499746203422546,0.4464869201183319,0.2585790455341339,0.31091248989105225
in,1.0,0.6662389636039734,0.2084861844778061,0.41100412607192993,-0.03510594367980957,0.4954058527946472,-0.012069408781826496,0.5201468467712402,0.30808621644973755,0.2593238651752472,0.22946900129318237,0.4322226941585541,0.2526702880859375,0.20430970191955566
part,0.4499994218349457,0.527681291103363,0.28296032547950745,0.3291641175746918,-0.0547296442091465,0.35301485657691956,-0.04039441794157028,0.3376222252845764,0.3476244807243347,0.23558001220226288,0.19451238214969635,0.250704288482666,0.21031711995601654,0.08557961881160736
because,0.37423941493034363,0.44596394896507263,0.1989654153585434,0.3145020008087158,0.08028073608875275,0.5069696307182312,0.008674750104546547,0.372031033039093,0.46729007363319397,0.45674043893814087,0.29723283648490906,0.4676002562046051,0.3482867181301117,0.2528740465641022
the,0.6662389636039734,1.0,0.2311336100101471,0.39067012071609497,0.020048053935170174,0.5171257257461548,-0.0810435339808464,0.4933079481124878,0.42745697498321533,0.34736719727516174,0.27194610238075256,0.4739971458911896,0.2652076482772827,0.22068053483963013
government,0.3066793978214264,0.31798112392425537,0.12685921788215637,0.2022634893655777,-0.06197798252105713,0.2859337627887726,0.0815674215555191,0.27344048023223877,0.28074538707733154,0.2792121469974518,0.3500652611255646,0.23902073502540588,0.15327799320220947,0.18851417303085327
of,0.5696388483047485,0.733189046382904,0.234999418258667,0.3737983703613281,-0.016648683696985245,0.5116966962814331,-0.07900239527225494,0.4946078956127167,0.33290785551071167,0.2513895630836487,0.2345065176486969,0.4185989499092102,0.2535724341869354,0.1826142966747284
the,0.6662389636039734,1.0,0.2311336100101471,0.39067012071609497,0.020048053935170174,0.5171257257461548,-0.0810435339808464,0.4933079481124878,0.42745697498321533,0.34736719727516174,0.27194610238075256,0.4739971458911896,0.2652076482772827,0.22068053483963013
united,0.3938477039337158,0.34367692470550537,0.18161170184612274,0.18943358957767487,0.02707234025001526,0.28213179111480713,-0.05864281579852104,0.3053959608078003,0.20036718249320984,0.21137088537216187,0.15788845717906952,0.30487096309661865,0.16276465356349945,0.17266890406608582
kingdom,0.28265801072120667,0.3143408000469208,0.10161074995994568,0.19385892152786255,0.05447114631533623,0.3048160970211029,-0.009988825768232346,0.2585166394710541,0.17826133966445923,0.15448923408985138,0.13033682107925415,0.19669248163700104,0.1402384489774704,0.12927088141441345
was,0.45514053106307983,0.48711544275283813,0.1336074322462082,0.24048170447349548,-0.1616545468568802,0.3740963041782379,0.0701504573225975,0.45456063747406006,0.22111038863658905,0.41399896144866943,0.19385457038879395,0.3863949179649353,0.12265907227993011,0.18412111699581146
