,how,much,of,victoria,'s,farmland,grows,hay,?
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.15216270089149475,0.04866964742541313,0.25785213708877563,0.25988855957984924,0.10537625104188919,0.23916715383529663
further,0.3163740038871765,0.32079142332077026,0.24797867238521576,0.1552596092224121,-0.0077023254707455635,0.22791388630867004,0.14925193786621094,0.14300677180290222,0.20960763096809387
"6,000",-0.012221263721585274,-0.020161939784884453,0.006393240299075842,0.017211738973855972,0.06828741729259491,-0.05425964295864105,0.011339322663843632,-0.07404933869838715,-0.0020837632473558187
square,0.0836852416396141,0.13774795830249786,0.2585134208202362,0.18856817483901978,0.001511616283096373,0.22783710062503815,0.17093215882778168,0.0772182047367096,0.1201515942811966
kilometres,0.09419187903404236,0.17430636286735535,0.2594377398490906,0.24979925155639648,0.035597555339336395,0.30732497572898865,0.20966853201389313,0.08665207773447037,0.09185487031936646
(,0.1676948219537735,0.21788647770881653,0.35032153129577637,0.14948904514312744,0.0012731997994706035,0.12133264541625977,0.19588956236839294,0.18186703324317932,0.40561532974243164
"2,300",-0.2276526689529419,-0.26373350620269775,-0.0313810296356678,0.09419877827167511,0.021000869572162628,-0.08810053020715714,-0.17550091445446014,0.047249410301446915,-0.028899235650897026
sq,0.10252654552459717,0.1848931461572647,0.21430401504039764,0.16450224816799164,0.06650567799806595,0.3521513044834137,0.2300289124250412,0.125205397605896,0.18786261975765228
mi,0.0639447420835495,0.13306929171085358,0.13784633576869965,0.19378556311130524,0.09089425206184387,0.1697307527065277,0.051754772663116455,0.16842390596866608,0.10264865309000015
),0.17939934134483337,0.22256317734718323,0.3680361211299896,0.17964273691177368,0.021107977256178856,0.10688448697328568,0.19850076735019684,0.17175693809986115,0.42300865054130554
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.1633591204881668,0.02396530658006668,0.2782813310623169,0.3417322039604187,0.1257832795381546,0.22961433231830597
sown,0.1631537526845932,0.2146277278661728,0.25501880049705505,0.2621401846408844,0.005506190005689859,0.46675512194633484,0.34374383091926575,0.2564583122730255,0.20199811458587646
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.18287640810012817,-0.07241261005401611,0.23387053608894348,0.1483243852853775,0.1601725071668625,0.264628142118454
hay,0.16735410690307617,0.20051556825637817,0.19005227088928223,0.23372705280780792,-0.017468690872192383,0.28586268424987793,0.12283467501401901,1.0000001192092896,0.164826899766922
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.23069117963314056,-0.003708066651597619,0.29180845618247986,0.25869759917259216,0.20342394709587097,0.4130953550338745
