,who,sacked,newton,a,few,plays,after,the,challenge,?
a,0.36608949303627014,0.10977210849523544,0.1884482353925705,1.0,0.2765968441963196,0.2085086703300476,0.3831600844860077,0.5829201340675354,0.2467266321182251,0.23916715383529663
few,0.3378944993019104,0.18955983221530914,0.11871075630187988,0.2765968441963196,1.0,0.12484864890575409,0.35943305492401123,0.34660017490386963,0.2075253427028656,0.2334265559911728
plays,0.24272681772708893,0.1513654887676239,0.14049376547336578,0.2085086703300476,0.12484864890575409,1.0,0.12643902003765106,0.1760704517364502,0.15506477653980255,0.14138242602348328
later,0.35185644030570984,0.34171974658966064,0.2175983041524887,0.34254932403564453,0.3511977195739746,0.14619876444339752,0.5807580947875977,0.4060266613960266,0.16724945604801178,0.1417175978422165
",",0.3365725874900818,0.2514380216598511,0.2648763358592987,0.427140474319458,0.32531002163887024,0.24874751269817352,0.38860568404197693,0.4933079481124878,0.23062120378017426,0.31091248989105225
on,0.2340552806854248,0.17669931054115295,0.14340966939926147,0.3848365545272827,0.3005446493625641,0.18588706851005554,0.39330315589904785,0.5107308030128479,0.2173505574464798,0.2714994251728058
3rd-and-10,0.29338204860687256,0.22384141385555267,0.12724831700325012,0.2929282486438751,0.2229757010936737,0.1511297971010208,0.22378845512866974,0.33422017097473145,0.0899103432893753,0.12372670322656631
from,0.27839982509613037,0.2007664293050766,0.12768514454364777,0.322764128446579,0.30187293887138367,0.13460281491279602,0.4051513373851776,0.40150508284568787,0.1332246959209442,0.19969791173934937
the,0.3733934462070465,0.23815631866455078,0.1876603662967682,0.5829201340675354,0.34660017490386963,0.1760704517364502,0.4565047025680542,1.0,0.28209173679351807,0.22068053483963013
15-yard,0.28564170002937317,0.31015631556510925,0.3043619990348816,0.2976670563220978,0.23393191397190094,0.2252635657787323,0.28436994552612305,0.3201746642589569,0.16543641686439514,0.14087530970573425
line,0.1774713397026062,0.09194454550743103,0.0773603692650795,0.23499317467212677,0.17014652490615845,0.09421361982822418,0.16880643367767334,0.29789501428604126,0.11173207312822342,0.16271452605724335
",",0.3365725874900818,0.2514380216598511,0.2648763358592987,0.427140474319458,0.32531002163887024,0.24874751269817352,0.38860568404197693,0.4933079481124878,0.23062120378017426,0.31091248989105225
linebacker,0.18917565047740936,0.33170434832572937,0.19840943813323975,0.20977157354354858,0.15838401019573212,0.30660751461982727,0.15671633183956146,0.19719967246055603,0.16490794718265533,0.15540370345115662
von,0.1834137886762619,0.17340917885303497,0.10536926984786987,0.18142175674438477,0.0872628465294838,0.029682191088795662,0.13980841636657715,0.21817399561405182,0.11500287055969238,0.13907472789287567
miller,0.2093905359506607,0.17387078702449799,0.2466008961200714,0.21294589340686798,0.1452472060918808,0.23094139993190765,0.1799667477607727,0.21601076424121857,0.16339702904224396,0.1295081228017807
