,what,country,boarders,the,south,of,kenya,?
it,0.45803478360176086,0.2677888870239258,0.17513634264469147,0.6251175999641418,0.28465771675109863,0.38761502504348755,0.11538690328598022,0.25732165575027466
is,0.28837618231773376,0.24409033358097076,0.19438554346561432,0.5823672413825989,0.27680471539497375,0.4854315221309662,0.17591087520122528,0.22961433231830597
bordered,0.2239498347043991,0.2961798906326294,0.19066689908504486,0.31512969732284546,0.4612264037132263,0.3377665579319,0.166866734623909,0.10068123042583466
by,0.2455483376979828,0.24224938452243805,0.18707197904586792,0.4408751428127289,0.23838843405246735,0.3646814823150635,0.1010202169418335,0.17966607213020325
tanzania,0.21626387536525726,0.27521875500679016,0.23798556625843048,0.17266319692134857,0.30857545137405396,0.18640244007110596,0.6137129068374634,0.18355807662010193
to,0.455847829580307,0.31281599402427673,0.29369914531707764,0.535392165184021,0.25657615065574646,0.41548454761505127,0.17769291996955872,0.29463258385658264
the,0.42745697498321533,0.30432501435279846,0.23216836154460907,1.0,0.3129390776157379,0.733189046382904,0.21657514572143555,0.22068053483963013
south,0.15388517081737518,0.3392798602581024,0.2552492618560791,0.3129390776157379,1.0000001192092896,0.33382371068000793,0.30775710940361023,0.12336621433496475
",",0.3087472915649414,0.27878350019454956,0.3284558057785034,0.4933079481124878,0.3256652057170868,0.4946078956127167,0.23432263731956482,0.31091248989105225
uganda,0.20343343913555145,0.33137768507003784,0.23661838471889496,0.2260068655014038,0.2718985080718994,0.17741093039512634,0.5122107863426208,0.14235436916351318
to,0.455847829580307,0.31281599402427673,0.29369914531707764,0.535392165184021,0.25657615065574646,0.41548454761505127,0.17769291996955872,0.29463258385658264
the,0.42745697498321533,0.30432501435279846,0.23216836154460907,1.0,0.3129390776157379,0.733189046382904,0.21657514572143555,0.22068053483963013
west,0.1946573108434677,0.201873317360878,0.2392534613609314,0.32918402552604675,0.6137221455574036,0.2891985774040222,0.22446927428245544,0.12088293582201004
",",0.3087472915649414,0.27878350019454956,0.3284558057785034,0.4933079481124878,0.3256652057170868,0.4946078956127167,0.23432263731956482,0.31091248989105225
south,0.15388517081737518,0.3392798602581024,0.2552492618560791,0.3129390776157379,1.0000001192092896,0.33382371068000793,0.30775710940361023,0.12336621433496475
sudan,0.21907010674476624,0.2990076541900635,0.19277063012123108,0.25359854102134705,0.3324246406555176,0.2110167294740677,0.5166316628456116,0.1607031673192978
to,0.455847829580307,0.31281599402427673,0.29369914531707764,0.535392165184021,0.25657615065574646,0.41548454761505127,0.17769291996955872,0.29463258385658264
the,0.42745697498321533,0.30432501435279846,0.23216836154460907,1.0,0.3129390776157379,0.733189046382904,0.21657514572143555,0.22068053483963013
north-west,0.19472050666809082,0.21965831518173218,0.3194398283958435,0.3686555027961731,0.6574634909629822,0.3335501551628113,0.252494215965271,0.15649554133415222
",",0.3087472915649414,0.27878350019454956,0.3284558057785034,0.4933079481124878,0.3256652057170868,0.4946078956127167,0.23432263731956482,0.31091248989105225
ethiopia,0.21010032296180725,0.25308656692504883,0.1332089900970459,0.24095019698143005,0.23258934915065765,0.23328284919261932,0.5040618181228638,0.12341149896383286
to,0.455847829580307,0.31281599402427673,0.29369914531707764,0.535392165184021,0.25657615065574646,0.41548454761505127,0.17769291996955872,0.29463258385658264
the,0.42745697498321533,0.30432501435279846,0.23216836154460907,1.0,0.3129390776157379,0.733189046382904,0.21657514572143555,0.22068053483963013
north,0.18673177063465118,0.2221440225839615,0.25434014201164246,0.36298373341560364,0.750363826751709,0.3604778051376343,0.2282857745885849,0.11829731613397598
and,0.31309178471565247,0.30884742736816406,0.3167741894721985,0.5171257257461548,0.3140619993209839,0.5116966962814331,0.20742860436439514,0.20544172823429108
somalia,0.24037028849124908,0.3328147828578949,0.19630229473114014,0.2539450526237488,0.2922767400741577,0.22592215240001678,0.4796607792377472,0.18363796174526215
to,0.455847829580307,0.31281599402427673,0.29369914531707764,0.535392165184021,0.25657615065574646,0.41548454761505127,0.17769291996955872,0.29463258385658264
the,0.42745697498321533,0.30432501435279846,0.23216836154460907,1.0,0.3129390776157379,0.733189046382904,0.21657514572143555,0.22068053483963013
north-east,0.29729992151260376,0.21012793481349945,0.3070281147956848,0.3786655068397522,0.6160212159156799,0.36312127113342285,0.2569643259048462,0.26477059721946716
.,0.3567904531955719,0.26130348443984985,0.2558661997318268,0.5934505462646484,0.2798699140548706,0.5352458953857422,0.24234211444854736,0.4130953550338745
