,what,was,the,resulting,channel,of,the,arts,merger,called,?
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3038327991962433,0.20735839009284973,0.41498205065727234,0.5473989248275757,0.21131686866283417,0.156309574842453,0.41604554653167725,0.32716336846351624
year,0.15184831619262695,0.3209837079048157,0.3609684407711029,0.1918361634016037,0.14741797745227814,0.2578314542770386,0.3609684407711029,0.14258131384849548,0.13849708437919617,0.15425430238246918,0.18315006792545319
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24877792596817017,0.18730267882347107,0.4946078956127167,0.4933079481124878,0.2528577744960785,0.25569602847099304,0.26549121737480164,0.31091248989105225
abc,0.1317344456911087,0.21565799415111542,0.2068762183189392,0.14861378073692322,0.4020179808139801,0.14607268571853638,0.2068762183189392,0.1073722392320633,0.07602907717227936,0.16562479734420776,0.19065172970294952
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.33249855041503906,0.24836963415145874,0.5116966962814331,0.5171257257461548,0.3013502061367035,0.16802267730236053,0.3251761794090271,0.20544172823429108
hearst,0.29364898800849915,0.33547696471214294,0.28846439719200134,0.13199444115161896,0.1944756656885147,0.27715030312538147,0.28846439719200134,0.18849167227745056,0.2246824949979782,0.19022968411445618,0.15023791790008545
reached,0.20202487707138062,0.3110939562320709,0.29860952496528625,0.2606621980667114,0.13219784200191498,0.18604008853435516,0.29860952496528625,0.007371587213128805,0.1322336196899414,0.18348799645900726,0.1518019139766693
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.23642291128635406,0.15965904295444489,0.32280945777893066,0.4207492768764496,0.14125724136829376,0.1309438943862915,0.2858632802963257,0.19793890416622162
agreement,0.2851087749004364,0.23975293338298798,0.2490699142217636,0.2439335137605667,0.1598290354013443,0.21259461343288422,0.2490699142217636,0.1042754203081131,0.33984699845314026,0.1742948442697525,0.15830197930335999
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.3180278241634369,0.17526158690452576,0.41827285289764404,0.4223487675189972,0.19973041117191315,0.19741658866405487,0.3139074146747589,0.2433311939239502
rca,0.14200295507907867,0.2589319050312042,0.12673714756965637,0.16145843267440796,0.15295717120170593,0.09828570485115051,0.12673714756965637,0.15559571981430054,0.22432683408260345,0.15721440315246582,0.07305777072906494
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.26808956265449524,0.21299093961715698,0.41548454761505127,0.535392165184021,0.2388276606798172,0.11012744158506393,0.2987143397331238,0.29463258385658264
merge,0.3021048903465271,0.1576647013425827,0.26616451144218445,0.15103556215763092,0.18809163570404053,0.19220814108848572,0.26616451144218445,0.11467675864696503,0.724096953868866,0.14899232983589172,0.2821604013442993
arts,0.15975245833396912,0.25444865226745605,0.23374557495117188,0.06881870329380035,0.10908431559801102,0.29211288690567017,0.23374557495117188,1.0000001192092896,0.18404237926006317,0.17035195231437683,0.09471383690834045
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.33249855041503906,0.24836963415145874,0.5116966962814331,0.5171257257461548,0.3013502061367035,0.16802267730236053,0.3251761794090271,0.20544172823429108
competing,0.24616995453834534,0.23055243492126465,0.25845134258270264,0.1807629019021988,0.1650046557188034,0.19861507415771484,0.25845134258270264,0.23061618208885193,0.22671373188495636,0.17658378183841705,0.1428171843290329
arts,0.15975245833396912,0.25444865226745605,0.23374557495117188,0.06881870329380035,0.10908431559801102,0.29211288690567017,0.23374557495117188,1.0000001192092896,0.18404237926006317,0.17035195231437683,0.09471383690834045
service,0.16857224702835083,0.22689001262187958,0.22661015391349792,0.0874691754579544,0.3074278235435486,0.18425606191158295,0.22661015391349792,0.2343195527791977,0.2046823352575302,0.17257089912891388,0.1676298975944519
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24877792596817017,0.18730267882347107,0.4946078956127167,0.4933079481124878,0.2528577744960785,0.25569602847099304,0.26549121737480164,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.3905409574508667,0.2860044836997986,0.733189046382904,1.0,0.23374557495117188,0.2557354271411896,0.489897221326828,0.22068053483963013
entertainment,0.21648827195167542,0.21684704720973969,0.19077853858470917,0.10783279687166214,0.25154921412467957,0.1392667293548584,0.19077853858470917,0.2809528410434723,0.18284012377262115,0.1924290657043457,0.11855241656303406
channel,0.20295917987823486,0.15624403953552246,0.2860044836997986,0.1948932260274887,0.9999999403953552,0.1671900898218155,0.2860044836997986,0.10908431559801102,0.1465742588043213,0.2169238179922104,0.20176179707050323
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24877792596817017,0.18730267882347107,0.4946078956127167,0.4933079481124878,0.2528577744960785,0.25569602847099304,0.26549121737480164,0.31091248989105225
into,0.2180619090795517,0.2322220653295517,0.39493247866630554,0.28847676515579224,0.1659483164548874,0.32255905866622925,0.39493247866630554,0.08377251029014587,0.28234297037124634,0.3495192527770996,0.15662476420402527
