,what,is,the,atmosphere,in,a,school,using,popularly,based,authority,?
primarily,0.23722688853740692,0.2883922755718231,0.34785038232803345,0.18202835321426392,0.32119396328926086,0.25209537148475647,0.18877242505550385,0.2623993158340454,0.2606792747974396,0.3109230101108551,0.19551672041416168,0.06029784679412842
because,0.46729007363319397,0.4047735333442688,0.44596394896507263,0.24319368600845337,0.37423941493034363,0.42230045795440674,0.1697605699300766,0.3691421151161194,0.2629740834236145,0.2544741928577423,0.2266022264957428,0.2528740465641022
rules,0.3341682255268097,0.1963796466588974,0.27022838592529297,0.13709476590156555,0.2252369076013565,0.20817093551158905,0.17587077617645264,0.2668816149234772,0.1262209713459015,0.25904664397239685,0.24904640018939972,0.22111085057258606
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.273572713136673,0.4954058527946472,0.3739250600337982,0.2752758264541626,0.33157408237457275,0.2876293361186981,0.2660958170890808,0.22905389964580536,0.20544172823429108
regulations,0.21871556341648102,0.17368967831134796,0.31027951836586,0.21065056324005127,0.24893879890441895,0.2106267213821411,0.18873782455921173,0.2485412359237671,0.08944915980100632,0.24104776978492737,0.32647138833999634,0.17806588113307953
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.21669556200504303,0.3841303884983063,0.265255331993103,0.17021894454956055,0.3385874032974243,0.2650604546070099,0.3002447783946991,0.15189868211746216,0.24591213464736938
made,0.23419176042079926,0.29543453454971313,0.3885267674922943,0.15892726182937622,0.25271502137184143,0.3180864453315735,0.14088375866413116,0.24982419610023499,0.1830163449048996,0.3004448413848877,0.08279933780431747,0.17218779027462006
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.1558297872543335,0.370934396982193,0.32094135880470276,0.1477794349193573,0.349493145942688,0.23603248596191406,0.3462308943271637,0.22356168925762177,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,1.0,0.24429655075073242,0.6662389636039734,0.5829201340675354,0.22953221201896667,0.28364112973213196,0.2381468266248703,0.29860720038414,0.2645063102245331,0.22068053483963013
community,0.29032719135284424,0.26023760437965393,0.2601400911808014,0.14093321561813354,0.21838891506195068,0.2694961726665497,0.20976486802101135,0.13085485994815826,0.1733383983373642,0.22683727741241455,0.30959925055503845,0.2380419820547104
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.20602615177631378,0.3887844979763031,0.39550232887268066,0.2065676748752594,0.31195345520973206,0.35629820823669434,0.2264380156993866,0.25263646245002747,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.17583811283111572,0.539380669593811,1.0,0.2245093584060669,0.32226553559303284,0.23215024173259735,0.2977409064769745,0.21713398396968842,0.23916715383529663
whole,0.38441845774650574,0.32541996240615845,0.4517841339111328,0.22984157502651215,0.30267009139060974,0.4061710238456726,0.14827856421470642,0.1820174902677536,0.11518404632806778,0.24430721998214722,0.217691570520401,0.21052291989326477
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26560261845588684,0.5201468467712402,0.427140474319458,0.27141863107681274,0.27050045132637024,0.32701754570007324,0.27976205945014954,0.22133024036884308,0.31091248989105225
thence,0.37837934494018555,0.35646697878837585,0.49036505818367004,0.20129436254501343,0.35290759801864624,0.3734613060951233,0.20317116379737854,0.22401556372642517,0.227915957570076,0.17571353912353516,0.26844578981399536,0.20075005292892456
the,0.42745697498321533,0.5823672413825989,1.0,0.24429655075073242,0.6662389636039734,0.5829201340675354,0.22953221201896667,0.28364112973213196,0.2381468266248703,0.29860720038414,0.2645063102245331,0.22068053483963013
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.16376258432865143,0.26157811284065247,0.2245093584060669,1.0,0.13408270478248596,0.12124127149581909,0.15366153419017792,0.19649715721607208,0.15091250836849213
atmosphere,0.2530241310596466,0.1850086748600006,0.24429655075073242,1.0,0.20898397266864777,0.17583811283111572,0.16376258432865143,0.24218958616256714,0.15757250785827637,0.15026451647281647,0.1039249375462532,0.15636961162090302
is,0.28837618231773376,1.0,0.5823672413825989,0.1850086748600006,0.5394441485404968,0.658733606338501,0.19488026201725006,0.26543745398521423,0.31121397018432617,0.3248139023780823,0.20664075016975403,0.22961433231830597
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.18509560823440552,0.4129433035850525,0.4910551905632019,0.20067162811756134,0.28867876529693604,0.24300047755241394,0.2498788684606552,0.19486016035079956,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1981431096792221,0.5696388483047485,0.5052502155303955,0.2391800880432129,0.24298200011253357,0.22144168615341187,0.3033197224140167,0.28063252568244934,0.1826142966747284
persuasion,0.3197644054889679,0.23193833231925964,0.2438281774520874,0.23147855699062347,0.22950294613838196,0.27843913435935974,0.26198720932006836,0.23668915033340454,0.14090126752853394,0.2765222191810608,0.32198911905288696,0.23870232701301575
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.273572713136673,0.4954058527946472,0.3739250600337982,0.2752758264541626,0.33157408237457275,0.2876293361186981,0.2660958170890808,0.22905389964580536,0.20544172823429108
negotiation,0.1473013460636139,0.1465674638748169,0.28665730357170105,0.1081056147813797,0.2757956087589264,0.23398417234420776,0.1578802615404129,0.11316372454166412,0.15501028299331665,0.06779037415981293,0.2767447829246521,0.12353809177875519
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26560261845588684,0.5201468467712402,0.427140474319458,0.27141863107681274,0.27050045132637024,0.32701754570007324,0.27976205945014954,0.22133024036884308,0.31091248989105225
rather,0.3923804461956024,0.2886356711387634,0.31983619928359985,0.2756223976612091,0.26646825671195984,0.4061340093612671,0.09663839638233185,0.37380820512771606,0.16048838198184967,0.2979939877986908,0.2831159234046936,0.3053998053073883
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.2569263279438019,0.3270052373409271,0.3126874566078186,0.08622075617313385,0.3075134754180908,0.1684545874595642,0.23088355362415314,0.19159960746765137,0.24917294085025787
confrontation,0.2746059000492096,0.14763709902763367,0.26917076110839844,0.16978533565998077,0.19353611767292023,0.2359991818666458,0.10965666174888611,0.18709298968315125,0.13883519172668457,0.11662134528160095,0.1703389436006546,0.15501664578914642
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.19356757402420044,0.4325680434703827,0.3303585946559906,0.19642391800880432,0.27518513798713684,0.3396131694316864,0.18804004788398743,0.17128422856330872,0.2876587212085724
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.1976405680179596,0.5361666083335876,0.4214206337928772,0.2183125615119934,0.2854459285736084,0.168112114071846,0.24853180348873138,0.18416956067085266,0.29405656456947327
is,0.28837618231773376,1.0,0.5823672413825989,0.1850086748600006,0.5394441485404968,0.658733606338501,0.19488026201725006,0.26543745398521423,0.31121397018432617,0.3248139023780823,0.20664075016975403,0.22961433231830597
no,0.339326947927475,0.19581134617328644,0.3461136817932129,0.15984666347503662,0.24372287094593048,0.26280897855758667,0.10638468712568283,0.18604721128940582,0.07166079431772232,0.17134854197502136,0.24163968861103058,0.32165053486824036
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.18509560823440552,0.4129433035850525,0.4910551905632019,0.20067162811756134,0.28867876529693604,0.24300047755241394,0.2498788684606552,0.19486016035079956,0.2673267424106598
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.24801792204380035,0.45010748505592346,0.45503583550453186,0.24496325850486755,0.3678804934024811,0.18090280890464783,0.19629007577896118,0.2155669927597046,0.29463258385658264
confront,0.23989395797252655,0.12264663726091385,0.24391567707061768,0.05081016942858696,0.1782691776752472,0.16718359291553497,0.09202514588832855,0.11448587477207184,0.11757583171129227,0.05688504874706268,0.16846977174282074,0.18365558981895447
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.202870711684227,0.5591574311256409,0.50484299659729,0.24214158952236176,0.3629456162452698,0.2654256820678711,0.29699069261550903,0.19641262292861938,0.4130953550338745
