,what,was,another,use,for,the,weapon,?
tesla,0.23221199214458466,0.16455206274986267,0.1668986827135086,0.2487000823020935,0.13983871042728424,0.1324402391910553,0.2157144993543625,0.10250775516033173
described,0.22590412199497223,0.2883506715297699,0.22384949028491974,0.16795092821121216,0.20229990780353546,0.2878154516220093,0.1703224927186966,0.1374269425868988
the,0.42745697498321533,0.48711544275283813,0.5019711852073669,0.34342584013938904,0.4739971458911896,1.0,0.23810851573944092,0.22068053483963013
weapon,0.2293834388256073,0.21395646035671234,0.1706758439540863,0.33077868819236755,0.20061928033828735,0.23810851573944092,1.0,0.1571889966726303
as,0.31749409437179565,0.3677520453929901,0.3282026946544647,0.3453201949596405,0.44774648547172546,0.48381632566452026,0.24591055512428284,0.27043893933296204
capable,0.24030843377113342,0.1653473675251007,0.22682492434978485,0.29209837317466736,0.31242474913597107,0.18860051035881042,0.2523433566093445,0.18388573825359344
of,0.33290785551071167,0.4069072902202606,0.38147079944610596,0.2750902473926544,0.4185989499092102,0.733189046382904,0.16065262258052826,0.1826142966747284
being,0.3760843276977539,0.5201660394668579,0.4214536249637604,0.307609498500824,0.41687241196632385,0.419739305973053,0.19939804077148438,0.26743772625923157
used,0.27546408772468567,0.23679393529891968,0.2980952560901642,0.7127541303634644,0.4236139953136444,0.3718377649784088,0.34282970428466797,0.22430120408535004
against,0.24561616778373718,0.22972732782363892,0.2663949429988861,0.18940001726150513,0.3262052536010742,0.3090755045413971,0.274715393781662,0.18095137178897858
ground-based,0.2882377803325653,0.3248080611228943,0.2951892912387848,0.24724853038787842,0.3274078071117401,0.3268333375453949,0.170588880777359,0.18774951994419098
infantry,0.1881944090127945,0.23465180397033691,0.10059821605682373,0.19359001517295837,0.15862403810024261,0.2044236660003662,0.363403856754303,0.1511765420436859
or,0.33867141604423523,0.2330796718597412,0.4401204288005829,0.44579923152923584,0.4111599624156952,0.4174870550632477,0.18494582176208496,0.32389625906944275
for,0.3017193675041199,0.3863949179649353,0.36770403385162354,0.47655582427978516,0.9999999403953552,0.4739971458911896,0.20061928033828735,0.264628142118454
anti-aircraft,0.20661944150924683,0.24240563809871674,0.2185022085905075,0.2621374726295471,0.22442221641540527,0.26266059279441833,0.46767741441726685,0.19863799214363098
purposes,0.2370537966489792,0.18800880014896393,0.24444188177585602,0.5230836272239685,0.43634605407714844,0.27476897835731506,0.2540087103843689,0.15262550115585327
.,0.3567904531955719,0.40146201848983765,0.3817248046398163,0.3711656630039215,0.4726039469242096,0.5934505462646484,0.1875409632921219,0.4130953550338745
