,in,what,process,is,singlet,oxygen,usually,formed,?
in,1.0,0.30808621644973755,0.19851736724376678,0.5394441485404968,0.1821850836277008,0.1672476977109909,0.28848564624786377,0.27325257658958435,0.20430970191955566
nature,0.22229793667793274,0.2566179633140564,0.2567628026008606,0.27106931805610657,0.2322894185781479,0.22721049189567566,0.23177646100521088,0.13949942588806152,0.17397694289684296
",",0.5201468467712402,0.3087472915649414,0.2061346471309662,0.4691906273365021,0.25703805685043335,0.21812842786312103,0.21946179866790771,0.2636634409427643,0.31091248989105225
singlet,0.1821850836277008,0.20141500234603882,0.17017412185668945,0.24867701530456543,1.0,0.21857549250125885,0.16821390390396118,0.23497575521469116,0.22683241963386536
oxygen,0.1672476977109909,0.16781960427761078,0.3080802857875824,0.21825239062309265,0.21857549250125885,0.9999999403953552,0.27663707733154297,0.18376335501670837,0.16786395013332367
is,0.5394441485404968,0.28837618231773376,0.21762968599796295,1.0,0.24867701530456543,0.21825239062309265,0.4230746626853943,0.22319979965686798,0.22961433231830597
commonly,0.2769457697868347,0.18122613430023193,0.1785045862197876,0.3994327187538147,0.11598832160234451,0.23920966684818268,0.48629525303840637,0.08951646089553833,0.13546277582645416
formed,0.27325257658958435,0.15451857447624207,0.19476965069770813,0.22319979965686798,0.23497575521469116,0.18376335501670837,0.16171276569366455,1.0000001192092896,0.09686966985464096
from,0.4274188280105591,0.2737620174884796,0.21066352725028992,0.27355384826660156,0.05978554114699364,0.23457925021648407,0.25971752405166626,0.26482728123664856,0.19969791173934937
water,0.23966141045093536,0.17456887662410736,0.21747305989265442,0.2879090905189514,0.1227378398180008,0.4692627191543579,0.3307037055492401,0.16529519855976105,0.14731885492801666
during,0.4627237319946289,0.24137552082538605,0.26115119457244873,0.2240111529827118,0.09307168424129486,0.18351154029369354,0.2858264446258545,0.2508120536804199,0.1325719803571701
photosynthesis,0.2557604908943176,0.261831134557724,0.4415677785873413,0.22769613564014435,0.2206876277923584,0.5679547190666199,0.2791988253593445,0.210860475897789,0.1871609091758728
",",0.5201468467712402,0.3087472915649414,0.2061346471309662,0.4691906273365021,0.25703805685043335,0.21812842786312103,0.21946179866790771,0.2636634409427643,0.31091248989105225
using,0.2717311978340149,0.27984681725502014,0.3079608380794525,0.26543745398521423,0.14637340605258942,0.20990879833698273,0.398033082485199,0.10877478867769241,0.2804589569568634
the,0.6662389636039734,0.42745697498321533,0.264274537563324,0.5823672413825989,0.2022450864315033,0.20428593456745148,0.36782920360565186,0.28813210129737854,0.22068053483963013
energy,0.17693158984184265,0.190252885222435,0.2869214713573456,0.2171693742275238,0.22473512589931488,0.4261608421802521,0.23741695284843445,0.1544675976037979,0.14860127866268158
of,0.5696388483047485,0.33290785551071167,0.23962904512882233,0.4854315221309662,0.16668915748596191,0.16848602890968323,0.33931583166122437,0.2871689796447754,0.1826142966747284
sunlight,0.19265112280845642,0.21599051356315613,0.31065043807029724,0.23021580278873444,0.21100831031799316,0.4877612292766571,0.33509981632232666,0.11120899766683578,0.17698515951633453
.,0.5591574311256409,0.3567904531955719,0.23766504228115082,0.4569662809371948,0.2575233280658722,0.2554275095462799,0.28580138087272644,0.2737641930580139,0.4130953550338745
