,the,oil,crisis,caused,oil,companies,to,increase,oil,supplies,in,which,area,?
the,1.0,0.21849922835826874,0.263981431722641,0.24990202486515045,0.21849922835826874,0.26917189359664917,0.535392165184021,0.32049667835235596,0.21849922835826874,0.31027752161026,0.6662389636039734,0.6521818041801453,0.37834644317626953,0.22068053483963013
embargo,0.2032013237476349,0.316433310508728,0.4160068929195404,0.15110433101654053,0.316433310508728,0.24265819787979126,0.24951419234275818,0.274183988571167,0.316433310508728,0.32134783267974854,0.171186164021492,0.19882206618785858,0.11927148699760437,0.21724076569080353
left,0.33113980293273926,0.1354278326034546,0.14735090732574463,0.24472028017044067,0.1354278326034546,0.10743393748998642,0.2724500000476837,0.10059244185686111,0.1354278326034546,0.23291543126106262,0.21139952540397644,0.22905652225017548,0.16228678822517395,0.13251960277557373
oil,0.21849922835826874,1.0,0.2694509029388428,0.1656581610441208,1.0,0.22272691130638123,0.1619214415550232,0.24082042276859283,1.0,0.2519368827342987,0.21800900995731354,0.20154443383216858,0.19075989723205566,0.14867261052131653
companies,0.26917189359664917,0.22272691130638123,0.21355704963207245,0.18574434518814087,0.22272691130638123,1.0000001192092896,0.2619103491306305,0.2257760614156723,0.22272691130638123,0.32207658886909485,0.2321794629096985,0.2652827203273773,0.16993579268455505,0.14365637302398682
searching,0.26388484239578247,0.10825785994529724,0.09435898065567017,0.1367545872926712,0.10825785994529724,0.15044532716274261,0.3059254288673401,0.13067561388015747,0.10825785994529724,0.30982208251953125,0.20772281289100647,0.2868046462535858,0.1648695468902588,0.25871166586875916
for,0.4739971458911896,0.19440194964408875,0.18574024736881256,0.1862620860338211,0.19440194964408875,0.2787042260169983,0.4451248347759247,0.26647913455963135,0.19440194964408875,0.28379538655281067,0.4322226941585541,0.44095608592033386,0.20941852033138275,0.264628142118454
new,0.3845241069793701,0.1310664713382721,0.13646309077739716,0.16989189386367798,0.1310664713382721,0.17638935148715973,0.33159172534942627,0.1888463795185089,0.1310664713382721,0.16766127943992615,0.3758552670478821,0.33739399909973145,0.16119444370269775,0.14782847464084625
ways,0.25153350830078125,0.18382327258586884,0.19362439215183258,0.23732063174247742,0.18382327258586884,0.2570935785770416,0.3916551172733307,0.29256847500801086,0.18382327258586884,0.2107391506433487,0.1954887956380844,0.3612422049045563,0.14514873921871185,0.2710120975971222
to,0.535392165184021,0.1619214415550232,0.21038146317005157,0.2414499819278717,0.1619214415550232,0.2619103491306305,1.0,0.3378143310546875,0.1619214415550232,0.2983745038509369,0.45010748505592346,0.5345056653022766,0.2797197997570038,0.29463258385658264
