,thousands,of,madrasahs,spawned,what,organization,?
the,0.2934577763080597,0.733189046382904,0.2848691940307617,0.31287258863449097,0.42745697498321533,0.311172217130661,0.22068053483963013
taliban,0.21810337901115417,0.2280503511428833,0.3895902633666992,0.23987439274787903,0.214632049202919,0.3469330668449402,0.13205693662166595
were,0.37012937664985657,0.34038281440734863,0.2571388781070709,0.2940795421600342,0.22298263013362885,0.1295875459909439,0.17890112102031708
spawned,0.21352510154247284,0.25496768951416016,0.1927579939365387,0.9999999403953552,0.23088228702545166,0.18923945724964142,0.18825288116931915
by,0.25670912861824036,0.3646814823150635,0.20420725643634796,0.32159265875816345,0.2455483376979828,0.19509689509868622,0.17966607213020325
the,0.2934577763080597,0.733189046382904,0.2848691940307617,0.31287258863449097,0.42745697498321533,0.311172217130661,0.22068053483963013
thousands,1.0000001192092896,0.27601075172424316,0.31519615650177,0.21352510154247284,0.2399357110261917,0.25035032629966736,0.15520451962947845
of,0.27601075172424316,1.0,0.2968255877494812,0.25496768951416016,0.33290785551071167,0.25438958406448364,0.1826142966747284
madrasahs,0.31519615650177,0.2968255877494812,1.0,0.1927579939365387,0.20486198365688324,0.2089456468820572,0.15444369614124298
the,0.2934577763080597,0.733189046382904,0.2848691940307617,0.31287258863449097,0.42745697498321533,0.311172217130661,0.22068053483963013
deobandi,0.2327795773744583,0.28008437156677246,0.5599104762077332,0.20091289281845093,0.2074345052242279,0.2541835606098175,0.20847071707248688
movement,0.2330041229724884,0.2662941515445709,0.24185091257095337,0.10808540135622025,0.23934946954250336,0.38915735483169556,0.1423349231481552
established,0.14423662424087524,0.2735237777233124,0.25959312915802,0.2030000239610672,0.14869536459445953,0.3499700725078583,0.15917523205280304
for,0.2778078615665436,0.4185989499092102,0.21372778713703156,0.1676308661699295,0.3017193675041199,0.2952536344528198,0.264628142118454
impoverished,0.22970013320446014,0.31242692470550537,0.35929977893829346,0.24984580278396606,0.19778884947299957,0.17950783669948578,0.10106796026229858
afghan,0.1699267476797104,0.17611122131347656,0.36717602610588074,0.13236244022846222,0.18861521780490875,0.2562834620475769,0.10384320467710495
refugees,0.3447660207748413,0.1848231703042984,0.2890474200248718,0.11627719551324844,0.17684882879257202,0.3663373291492462,0.10817430168390274
and,0.2946740686893463,0.5116966962814331,0.33222490549087524,0.2828121781349182,0.31309178471565247,0.21951423585414886,0.20544172823429108
supported,0.15380217134952545,0.30414751172065735,0.19704051315784454,0.1979479044675827,0.16402992606163025,0.29427751898765564,0.11593948304653168
by,0.25670912861824036,0.3646814823150635,0.20420725643634796,0.32159265875816345,0.2455483376979828,0.19509689509868622,0.17966607213020325
governmental,0.16501814126968384,0.35182538628578186,0.31635406613349915,0.15270379185676575,0.23741623759269714,0.5158593058586121,0.21953752636909485
and,0.2946740686893463,0.5116966962814331,0.33222490549087524,0.2828121781349182,0.31309178471565247,0.21951423585414886,0.20544172823429108
religious,0.1902492791414261,0.2958606779575348,0.37258708477020264,0.1486739218235016,0.26794421672821045,0.2861930727958679,0.15727058053016663
groups,0.29720717668533325,0.24723079800605774,0.23782138526439667,0.18002690374851227,0.23137421905994415,0.34920424222946167,0.14349548518657684
in,0.26048728823661804,0.5696388483047485,0.23021811246871948,0.2919856607913971,0.30808621644973755,0.2513086795806885,0.20430970191955566
neighboring,0.33023518323898315,0.2801951467990875,0.340992271900177,0.1758747547864914,0.19534336030483246,0.15220046043395996,0.05513705313205719
pakistan,0.25879761576652527,0.26013073325157166,0.455504834651947,0.18838606774806976,0.22231245040893555,0.20704595744609833,0.1329864263534546
.,0.20701119303703308,0.5352458953857422,0.25676026940345764,0.2938733696937561,0.3567904531955719,0.20656518638134003,0.4130953550338745
