,what,was,the,dominant,housing,template,when,industrial,centres,were,growing,the,fastest,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3743239641189575,0.24837790429592133,0.2930607795715332,0.5091903209686279,0.30435431003570557,0.25802960991859436,0.3906462490558624,0.33280637860298157,1.0,0.2610158920288086,0.22068053483963013
tyneside,0.22811484336853027,0.2858113944530487,0.33988526463508606,0.1339818239212036,0.3571077287197113,0.24298352003097534,0.2671636939048767,0.2548929452896118,0.30766767263412476,0.2807382047176361,0.19938834011554718,0.33988526463508606,0.24268671870231628,0.10805024206638336
flat,0.18158896267414093,0.15906815230846405,0.23906926810741425,0.34453514218330383,0.17730529606342316,0.13914304971694946,0.17482519149780273,0.16327939927577972,0.16156019270420074,0.20836441218852997,0.16567952930927277,0.23906926810741425,0.14977554976940155,0.10332070291042328
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.19921712577342987,0.2453424632549286,0.1499771922826767,0.37326499819755554,0.2614017128944397,0.17077842354774475,0.590133786201477,0.22300779819488525,0.48711544275283813,0.22011736035346985,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,1.0,0.3743239641189575,0.24837790429592133,0.2930607795715332,0.5091903209686279,0.30435431003570557,0.25802960991859436,0.3906462490558624,0.33280637860298157,1.0,0.2610158920288086,0.22068053483963013
dominant,0.21783894300460815,0.19921712577342987,0.3743239641189575,1.0000001192092896,0.1251019835472107,0.12884025275707245,0.21020568907260895,0.2261732518672943,0.2541676461696625,0.20432515442371368,0.3199729919433594,0.3743239641189575,0.30853787064552307,0.07625212520360947
housing,0.14871764183044434,0.2453424632549286,0.24837790429592133,0.1251019835472107,1.0000001192092896,0.15405340492725372,0.19322776794433594,0.4610207676887512,0.32036492228507996,0.28026676177978516,0.28827986121177673,0.24837790429592133,0.1274040788412094,0.11872038245201111
form,0.15868011116981506,0.15690121054649353,0.29286009073257446,0.2564728558063507,0.11240431666374207,0.18848639726638794,0.31953904032707214,0.11911088228225708,0.1998150646686554,0.18066823482513428,0.2158157378435135,0.29286009073257446,0.07302554696798325,0.1463010311126709
constructed,0.18810124695301056,0.2546897530555725,0.29105475544929504,0.2265007644891739,0.3058925271034241,0.17436909675598145,0.19367054104804993,0.27596890926361084,0.20918837189674377,0.24972617626190186,0.1706150770187378,0.29105475544929504,0.135307177901268,0.12459525465965271
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.09828412532806396,0.21997599303722382,0.21368253231048584,0.38876327872276306,0.16463196277618408,0.22699612379074097,0.2947486639022827,0.15241709351539612,0.457212895154953,0.1718108057975769,0.21978627145290375
