,in,what,year,did,abc,'s,viewership,end,in,4th,place,behind,the,other,major,networks,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.1697147786617279,-0.037580832839012146,0.23857662081718445,0.28539085388183594,1.0,0.12181311845779419,0.38128477334976196,0.3174246549606323,0.6662389636039734,0.39989137649536133,0.3249945342540741,0.17525765299797058,0.20430970191955566
2004,-0.20274123549461365,-0.2636275589466095,-0.05261049047112465,-0.11159943789243698,-0.04643192142248154,-0.06140275299549103,-0.15816040337085724,-0.14924223721027374,-0.20274123549461365,0.11372888833284378,-0.244894877076149,-0.17941631376743317,-0.2467794269323349,-0.2586984932422638,-0.09467276930809021,-0.1921093761920929,-0.15923042595386505
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,-0.0016132977325469255,0.2360859364271164,0.25448864698410034,0.5201468467712402,0.11708971112966537,0.34068408608436584,0.27367478609085083,0.4933079481124878,0.4446498453617096,0.29355156421661377,0.20105446875095367,0.31091248989105225
abc,0.1697147786617279,0.1317344456911087,0.2373921275138855,0.13353709876537323,1.0000001192092896,0.06670809537172318,0.31620144844055176,0.16926881670951843,0.1697147786617279,0.13206711411476135,0.13112665712833405,0.13531123101711273,0.2068762183189392,0.10159935057163239,0.1743539571762085,0.350273072719574,0.19065172970294952
's,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,0.05069678649306297,0.06670809537172318,0.9999999403953552,0.08738291263580322,0.030466308817267418,-0.037580832839012146,0.14399752020835876,-0.03236493840813637,0.06894329190254211,-0.01540423184633255,0.04445967823266983,-0.010959804058074951,0.11665306240320206,-0.023395681753754616
average,0.23465414345264435,0.24068789184093475,0.2935159504413605,0.13524195551872253,0.1194906085729599,0.08544468134641647,0.33804991841316223,0.1998668760061264,0.23465414345264435,0.07111013680696487,0.15299782156944275,0.11761492490768433,0.27058175206184387,0.24968191981315613,0.1406625509262085,0.22668242454528809,0.21764592826366425
viewership,0.23857662081718445,0.30348849296569824,0.24396918714046478,0.2365429401397705,0.31620144844055176,0.08738291263580322,1.0,0.24996356666088104,0.23857662081718445,0.07620581984519958,0.20788204669952393,0.20101387798786163,0.30921506881713867,0.25426241755485535,0.1750144362449646,0.373137891292572,0.23784568905830383
declined,0.25098711252212524,0.21339869499206543,0.28388774394989014,0.3516852855682373,0.1988779604434967,0.013175797648727894,0.3007424473762512,0.2124989926815033,0.25098711252212524,-0.02863551862537861,0.1321992129087448,0.16528433561325073,0.2764727771282196,0.2436164915561676,0.2146424800157547,0.08701357990503311,0.17974776029586792
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.18574509024620056,0.17600902915000916,-0.010884488001465797,0.2345968633890152,0.19136181473731995,0.370934396982193,0.13781172037124634,0.22235022485256195,0.2356768548488617,0.4408751428127289,0.3321913778781891,0.19764594733715057,0.24484656751155853,0.17966607213020325
ten,0.29515787959098816,0.1616830825805664,0.3170705735683441,0.22550487518310547,0.21779467165470123,0.0769851952791214,0.2881328761577606,0.18830925226211548,0.29515787959098816,0.0925803855061531,0.16081811487674713,0.1430961936712265,0.3256247341632843,0.22313447296619415,0.17183145880699158,0.17007137835025787,0.14471080899238586
