,what,is,a,term,for,schools,that,receive,government,assistance,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2740369141101837,0.4739971458911896,0.22905772924423218,0.5473989248275757,0.2726488411426544,0.31798112392425537,0.19771957397460938,0.22068053483963013
ones,0.28536954522132874,0.28782421350479126,0.22843194007873535,0.21427272260189056,0.3088074326515198,0.2662530243396759,0.4177267253398895,0.20973387360572815,0.1343931257724762,0.10040656477212906,0.28155767917633057
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.2833994925022125,0.4137635827064514,0.2649109661579132,1.0,0.2748669683933258,0.29558056592941284,0.18657374382019043,0.32716336846351624
accept,0.40259191393852234,0.148713618516922,0.18292881548404694,0.1693750023841858,0.28655874729156494,0.2172851413488388,0.3481370806694031,0.38151809573173523,0.3043154180049896,0.26323196291923523,0.2590680420398712
government,0.28074538707733154,0.20343491435050964,0.25158295035362244,0.17906759679317474,0.23902073502540588,0.3405122756958008,0.29558056592941284,0.20640221238136292,1.0000001192092896,0.20966781675815582,0.18851417303085327
funds,0.15644897520542145,0.13101255893707275,0.20240698754787445,0.22005997598171234,0.3407641053199768,0.32021069526672363,0.25973397493362427,0.2650258541107178,0.42338258028030396,0.3519629240036011,0.12731410562992096
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.1909082531929016,0.3895993232727051,0.30816179513931274,0.45265161991119385,0.23715950548648834,0.20126859843730927,0.13998980820178986,0.24591213464736938
called,0.3235960602760315,0.430266410112381,0.4868806302547455,0.33549433946609497,0.29870352149009705,0.18615397810935974,0.41604554653167725,0.2061004638671875,0.21808753907680511,0.08990050852298737,0.18963319063186646
'aided,0.1667882651090622,0.19399000704288483,0.27293500304222107,0.2319076806306839,0.22971780598163605,0.19534336030483246,0.28543829917907715,0.22598111629486084,0.17743103206157684,0.30814915895462036,0.07951154559850693
',0.3245812654495239,0.5508411526679993,0.48837921023368835,0.24252156913280487,0.31184524297714233,0.18575283885002136,0.3494868278503418,0.17973242700099945,0.1762593388557434,0.17794238030910492,0.330942302942276
schools,0.1820785105228424,0.2022145688533783,0.2118925303220749,0.1905326247215271,0.2320515662431717,1.0,0.2649109661579132,0.1494699865579605,0.3405122756958008,0.16586704552173615,0.18349280953407288
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.18456575274467468,0.4726039469242096,0.2752705216407776,0.4460422694683075,0.24563279747962952,0.2521961033344269,0.21889939904212952,0.4130953550338745
