,what,co-receptor,recruits,molecules,inside,the,t,cell,that,are,responsible,for,cell,activation,?
the,0.42745697498321533,0.25390109419822693,0.22944276034832,0.2374771386384964,0.35313180088996887,1.0,0.2083338052034378,0.15822452306747437,0.5473989248275757,0.40399202704429626,0.3305104374885559,0.4739971458911896,0.15822452306747437,0.30273205041885376,0.22068053483963013
mhc,0.30283498764038086,0.6134544610977173,0.21433988213539124,0.5917088985443115,0.249503031373024,0.32005053758621216,0.2424878627061844,0.4599821865558624,0.34129875898361206,0.3820771276950836,0.3550710082054138,0.2777864933013916,0.4599821865558624,0.5753244161605835,0.21010775864124298
:,-0.12022944539785385,-0.0707172304391861,-0.04281741753220558,-0.06024492532014847,-0.12849323451519012,-0.03403344005346298,-0.062014348804950714,-0.09334021061658859,-0.12200210988521576,-0.1189703419804573,-0.08637525141239166,-0.02522280067205429,-0.09334021061658859,-0.1255287081003189,-0.07156077772378922
antigen,0.1935727745294571,0.5807989835739136,0.16332140564918518,0.526515543460846,0.2458747923374176,0.2583788335323334,0.21886467933654785,0.46533098816871643,0.24670813977718353,0.23546671867370605,0.2781955897808075,0.21700651943683624,0.46533098816871643,0.5410370826721191,0.19160577654838562
complex,0.2605343163013458,0.3049810230731964,0.1436273604631424,0.32189318537712097,0.30640751123428345,0.25326284766197205,0.17782926559448242,0.1880919188261032,0.2922951579093933,0.33041873574256897,0.180049329996109,0.24154409766197205,0.1880919188261032,0.24756820499897003,0.17752902209758759
is,0.28837618231773376,0.24568186700344086,0.13158978521823883,0.20481984317302704,0.2848464548587799,0.5823672413825989,0.23234573006629944,0.15086454153060913,0.3995479643344879,0.5330929756164551,0.24123810231685638,0.43268078565597534,0.15086454153060913,0.24432499706745148,0.22961433231830597
also,0.42747777700424194,0.26969823241233826,0.2604413330554962,0.2471986711025238,0.3369852304458618,0.6021018624305725,0.273290753364563,0.1868675798177719,0.6005857586860657,0.4565894305706024,0.2941048741340637,0.5373267531394958,0.1868675798177719,0.2715519368648529,0.21848613023757935
recognized,0.17776133120059967,0.15608039498329163,0.18115226924419403,0.16186904907226562,0.13858316838741302,0.31571096181869507,0.10745953768491745,0.16616764664649963,0.2771771252155304,0.28007772564888,0.2779727280139923,0.18660594522953033,0.16616764664649963,0.17110468447208405,0.18558090925216675
by,0.2455483376979828,0.168822780251503,0.18230578303337097,0.22475433349609375,0.261824369430542,0.4408751428127289,0.167274609208107,0.1892392784357071,0.37496164441108704,0.37842893600463867,0.3226776123046875,0.3248702883720398,0.1892392784357071,0.21624921262264252,0.17966607213020325
the,0.42745697498321533,0.25390109419822693,0.22944276034832,0.2374771386384964,0.35313180088996887,1.0,0.2083338052034378,0.15822452306747437,0.5473989248275757,0.40399202704429626,0.3305104374885559,0.4739971458911896,0.15822452306747437,0.30273205041885376,0.22068053483963013
helper,0.24017302691936493,0.28363820910453796,0.23178446292877197,0.21690380573272705,0.33011502027511597,0.22471751272678375,0.21132126450538635,0.33088141679763794,0.2382730394601822,0.2075515240430832,0.26264598965644836,0.21616888046264648,0.33088141679763794,0.3045027256011963,0.2250194549560547
cell,0.19222842156887054,0.47887372970581055,0.07747504860162735,0.45167991518974304,0.3840719163417816,0.15822452306747437,0.24071010947227478,1.0000001192092896,0.24500271677970886,0.19039002060890198,0.178481787443161,0.1766597181558609,1.0000001192092896,0.4333576261997223,0.2058541625738144
's,0.02692362666130066,-0.08137842267751694,-0.01309764664620161,-0.05182359367609024,-0.05342594534158707,-0.01540423184633255,0.06055903434753418,-0.07942157983779907,0.04397977516055107,-0.008927806280553341,0.002397976815700531,-0.07241261005401611,-0.07942157983779907,-0.09421758353710175,-0.023395681753754616
