,how,many,were,killed,by,plague,in,italy,in,the,17th,century,?
in,0.2601168751716614,0.41474202275276184,0.3815755248069763,0.1957504004240036,0.370934396982193,0.2488756626844406,1.0,0.3334544897079468,1.0,0.6662389636039734,0.17784206569194794,0.3174034655094147,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.3906462490558624,0.23115427792072296,0.4408751428127289,0.2537761330604553,0.6662389636039734,0.2633645832538605,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
first,0.27731001377105713,0.2931244373321533,0.3285558819770813,0.256430059671402,0.3877052962779999,0.21400928497314453,0.4127444326877594,0.19621868431568146,0.4127444326877594,0.49448907375335693,0.2656673789024353,0.32110705971717834,0.18701928853988647
half,0.19052551686763763,0.2529585361480713,0.22890707850456238,0.20387838780879974,0.22449548542499542,0.14465662837028503,0.25644969940185547,0.1518094688653946,0.25644969940185547,0.3189295828342438,0.2383229285478592,0.2272380292415619,0.07471233606338501
of,0.2480744868516922,0.37253960967063904,0.34038281440734863,0.2589981257915497,0.3646814823150635,0.27455615997314453,0.5696388483047485,0.2844046950340271,0.5696388483047485,0.733189046382904,0.19377021491527557,0.2826060354709625,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.3906462490558624,0.23115427792072296,0.4408751428127289,0.2537761330604553,0.6662389636039734,0.2633645832538605,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
17th,0.1228373646736145,0.07855495065450668,0.1115550771355629,0.11673280596733093,0.20275087654590607,0.10413999110460281,0.17784206569194794,0.0247054323554039,0.17784206569194794,0.2679309546947479,1.0000001192092896,0.22269536554813385,0.096589595079422
century,0.1569085419178009,0.3132779002189636,0.34997639060020447,0.14752842485904694,0.29995259642601013,0.32605451345443726,0.3174034655094147,0.23848558962345123,0.3174034655094147,0.3617299497127533,0.22269536554813385,1.0,0.1026201918721199
",",0.22659391164779663,0.40610817074775696,0.36755475401878357,0.3006497025489807,0.3680937886238098,0.2630122900009155,0.5201468467712402,0.2497674822807312,0.5201468467712402,0.4933079481124878,0.20329853892326355,0.24487493932247162,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.17203083634376526,0.2230118364095688,0.32094135880470276,0.22077761590480804,0.539380669593811,0.1983879655599594,0.539380669593811,0.5829201340675354,0.18620461225509644,0.19417014718055725,0.23916715383529663
plague,0.16610242426395416,0.2661729156970978,0.24258224666118622,0.3277811110019684,0.22066086530685425,0.9999999403953552,0.2488756626844406,0.2792760133743286,0.2488756626844406,0.2537761330604553,0.10413999110460281,0.32605451345443726,0.11872942000627518
claimed,0.13862073421478271,0.1899637132883072,0.3098667860031128,0.3574483096599579,0.3088476061820984,0.13398517668247223,0.21382014453411102,0.09376219660043716,0.21382014453411102,0.2761930227279663,0.21045416593551636,0.16974663734436035,0.2083493024110794
some,0.4180530905723572,0.7976660132408142,0.4592604339122772,0.17315854132175446,0.306446373462677,0.2697436809539795,0.4010399878025055,0.19594696164131165,0.4010399878025055,0.4566698372364044,0.09644372016191483,0.2587970793247223,0.2562315762042999
1.7,0.0628296360373497,0.005764469970017672,0.13832148909568787,0.16489873826503754,0.12997423112392426,0.13697150349617004,0.12970703840255737,0.00593099370598793,0.12970703840255737,0.05766552686691284,0.026801520958542824,0.006454688496887684,0.13580046594142914
million,0.21114659309387207,0.3520967364311218,0.25957414507865906,0.24396184086799622,0.20025373995304108,0.17805492877960205,0.2596224844455719,0.14686045050621033,0.2596224844455719,0.277012437582016,0.18565088510513306,0.1677849292755127,0.23092924058437347
victims,0.20922249555587769,0.2593986392021179,0.27531522512435913,0.4459711015224457,0.21675175428390503,0.3393697440624237,0.1911110132932663,0.1444426327943802,0.1911110132932663,0.21845385432243347,0.09806649386882782,0.16772708296775818,0.16638198494911194
in,0.2601168751716614,0.41474202275276184,0.3815755248069763,0.1957504004240036,0.370934396982193,0.2488756626844406,1.0,0.3334544897079468,1.0,0.6662389636039734,0.17784206569194794,0.3174034655094147,0.20430970191955566
italy,0.11727606505155563,0.217950701713562,0.21057331562042236,0.14153164625167847,0.19219915568828583,0.2792760133743286,0.3334544897079468,1.0,0.3334544897079468,0.2633645832538605,0.0247054323554039,0.23848558962345123,0.11567100137472153
",",0.22659391164779663,0.40610817074775696,0.36755475401878357,0.3006497025489807,0.3680937886238098,0.2630122900009155,0.5201468467712402,0.2497674822807312,0.5201468467712402,0.4933079481124878,0.20329853892326355,0.24487493932247162,0.31091248989105225
or,0.3378981947898865,0.36905089020729065,0.3389680087566376,0.17426367104053497,0.30274316668510437,0.19699858129024506,0.3586423695087433,0.17986111342906952,0.3586423695087433,0.4174870550632477,0.13297584652900696,0.18367356061935425,0.32389625906944275
about,0.44264400005340576,0.3800397515296936,0.29814305901527405,0.24797841906547546,0.30091190338134766,0.2741866707801819,0.39797019958496094,0.17464472353458405,0.39797019958496094,0.37995871901512146,0.21757547557353973,0.22718821465969086,0.302409827709198
14,0.03452076017856598,-0.04532574862241745,0.023857727646827698,0.09005656093358994,0.0813634842634201,-0.03134511038661003,0.07915190607309341,0.004499331582337618,0.07915190607309341,-0.011880298145115376,0.13069728016853333,-0.011562041006982327,0.11697390675544739
%,0.1237400695681572,0.24948352575302124,0.21132414042949677,0.1816045641899109,0.13780950009822845,0.13837918639183044,0.19465309381484985,0.13246628642082214,0.19465309381484985,0.21490740776062012,0.24976898729801178,0.09909229725599289,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.34038281440734863,0.2589981257915497,0.3646814823150635,0.27455615997314453,0.5696388483047485,0.2844046950340271,0.5696388483047485,0.733189046382904,0.19377021491527557,0.2826060354709625,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.3906462490558624,0.23115427792072296,0.4408751428127289,0.2537761330604553,0.6662389636039734,0.2633645832538605,0.6662389636039734,1.0,0.2679309546947479,0.3617299497127533,0.22068053483963013
population,0.1651063710451126,0.2201971709728241,0.17721828818321228,0.2443472445011139,0.17143253982067108,0.28463682532310486,0.3268454372882843,0.18096323311328888,0.3268454372882843,0.32044094800949097,0.2859680950641632,0.25321948528289795,0.14449454843997955
.,0.3287222981452942,0.3974229395389557,0.3378238379955292,0.2666846215724945,0.3936232924461365,0.2547653317451477,0.5591574311256409,0.26594269275665283,0.5591574311256409,0.5934505462646484,0.24070394039154053,0.27413639426231384,0.4130953550338745
