,what,else,was,used,by,pharmas,?
the,0.42745697498321533,0.19370581209659576,0.48711544275283813,0.3718377649784088,0.4408751428127289,0.1855260282754898,0.22068053483963013
pharmas,0.19047798216342926,0.19594454765319824,0.16475743055343628,0.17531190812587738,0.11032946407794952,0.9999998807907104,0.21388284862041473
also,0.42747777700424194,0.27389147877693176,0.4032125174999237,0.45273035764694214,0.3824189305305481,0.23388555645942688,0.21848613023757935
used,0.27546408772468567,0.20834071934223175,0.23679393529891968,0.9999998807907104,0.27705541253089905,0.17531190812587738,0.22430120408535004
many,0.36131182312965393,0.19813893735408783,0.260356068611145,0.38759201765060425,0.3409687578678131,0.14259228110313416,0.2124512493610382
other,0.341873437166214,0.2914620637893677,0.14651623368263245,0.3574926257133484,0.3321913778781891,0.1798039674758911,0.24682199954986572
herbs,0.15479764342308044,0.15494318306446075,0.12177973240613937,0.31568920612335205,0.17229712009429932,0.30839845538139343,0.11592769622802734
not,0.5449194312095642,0.45321938395500183,0.2888734042644501,0.358921617269516,0.291808545589447,0.16795489192008972,0.41942933201789856
listed,0.21780680119991302,0.2022731900215149,0.21372930705547333,0.22712396085262299,0.21657033264636993,0.13067865371704102,0.2152968794107437
.,0.3567904531955719,0.30548352003097534,0.40146201848983765,0.33111312985420227,0.3936232924461365,0.2522418200969696,0.4130953550338745
