,what,did,the,amazon,rainforest,do,during,the,middle,miocene,?
during,0.24137552082538605,0.30679523944854736,0.4838213622570038,0.11170908063650131,0.1900283694267273,0.1831897497177124,1.0,0.4838213622570038,0.2737145721912384,0.2519089877605438,0.1325719803571701
the,0.42745697498321533,0.34736719727516174,1.0,0.260541707277298,0.2571161389350891,0.30239659547805786,0.4838213622570038,1.0,0.3405749201774597,0.18358224630355835,0.22068053483963013
oligocene,0.18987597525119781,0.18183334171772003,0.22206999361515045,0.1992366909980774,0.36742180585861206,0.13284143805503845,0.29575201869010925,0.22206999361515045,0.36288243532180786,0.87699294090271,0.17752304673194885
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.3283645510673523,0.3225448727607727,0.4933079481124878,0.24847112596035004,0.22363276779651642,0.31091248989105225
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.165912926197052,0.18492411077022552,0.29510271549224854,0.3448435664176941,0.4739971458911896,0.17248252034187317,0.09376715868711472,0.264628142118454
example,0.3456268310546875,0.2528466582298279,0.3755223751068115,0.15987248718738556,0.17980517446994781,0.3745654821395874,0.19390994310379028,0.3755223751068115,0.2125658243894577,0.1439484804868698,0.30374911427497864
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.3283645510673523,0.3225448727607727,0.4933079481124878,0.24847112596035004,0.22363276779651642,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.260541707277298,0.2571161389350891,0.30239659547805786,0.4838213622570038,1.0,0.3405749201774597,0.18358224630355835,0.22068053483963013
rainforest,0.22127854824066162,0.0939265564084053,0.2571161389350891,0.48046615719795227,1.0,0.22774481773376465,0.1900283694267273,0.2571161389350891,0.20448337495326996,0.3829556703567505,0.1917492002248764
spanned,0.11768894642591476,0.18671296536922455,0.2710992097854614,0.07212705165147781,0.14219892024993896,0.10466478019952774,0.3911505937576294,0.2710992097854614,0.27228081226348877,0.2963641583919525,0.17097629606723785
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.1865728348493576,0.2497720569372177,0.26237669587135315,0.30341604351997375,0.5829201340675354,0.23820361495018005,0.1425538957118988,0.23916715383529663
relatively,0.24081343412399292,0.19489876925945282,0.33481109142303467,0.18730537593364716,0.3158150911331177,0.19641050696372986,0.2874126732349396,0.33481109142303467,0.21604149043560028,0.37399187684059143,0.1281091868877411
narrow,0.21173065900802612,0.11639537662267685,0.3104094862937927,0.1305283159017563,0.2928636372089386,0.15406569838523865,0.14361810684204102,0.3104094862937927,0.2544911503791809,0.2373991310596466,0.1023377925157547
band,0.21816317737102509,0.1734745353460312,0.25564542412757874,0.13035067915916443,0.19688038527965546,0.1337670385837555,0.20518505573272705,0.25564542412757874,0.18059685826301575,0.1604728102684021,0.1476995348930359
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.262887567281723,0.25713270902633667,0.3613996207714081,0.3485563397407532,0.5934505462646484,0.2989427447319031,0.22835129499435425,0.4130953550338745
,what,did,the,amazon,rainforest,do,during,the,middle,miocene,?
it,0.45803478360176086,0.2993364930152893,0.6251175999641418,0.22231659293174744,0.2913419008255005,0.337066113948822,0.26678937673568726,0.6251175999641418,0.24598756432533264,0.20352795720100403,0.25732165575027466
expanded,0.2418898046016693,0.20851697027683258,0.3258892893791199,0.1697382628917694,0.1703696995973587,0.21150538325309753,0.1970842182636261,0.3258892893791199,0.19178563356399536,0.12708602845668793,0.2124357968568802
again,0.3921525180339813,0.35250324010849,0.4104243218898773,0.1476903110742569,0.1670699417591095,0.27096647024154663,0.4013829529285431,0.4104243218898773,0.1406969428062439,0.21107833087444305,0.2679590880870819
