,western,governments,considered,islamists,to,be,the,lesser,of,two,evils,when,compared,to,whom,?
islamists,0.2040775567293167,0.4846082031726837,0.2530708909034729,1.0000001192092896,0.28735893964767456,0.25897660851478577,0.2982981204986572,0.1848958432674408,0.22912132740020752,0.2400657832622528,0.2941916584968567,0.2116072028875351,0.13600531220436096,0.28735893964767456,0.2513868808746338,0.17165705561637878
were,0.22601988911628723,0.32859161496162415,0.2681999206542969,0.2841334342956543,0.31913647055625916,0.4064064621925354,0.3906462490558624,0.13139481842517853,0.34038281440734863,0.4493520259857178,0.21307514607906342,0.29649975895881653,0.3065771758556366,0.31913647055625916,0.27088287472724915,0.17890112102031708
considered,0.26421627402305603,0.21555230021476746,1.0,0.2530708909034729,0.2954166829586029,0.41927069425582886,0.4028765559196472,0.22626161575317383,0.4190242290496826,0.20864328742027283,0.2381550520658493,0.2322070151567459,0.355971097946167,0.2954166829586029,0.21788354218006134,0.19909770786762238
by,0.20149661600589752,0.25543296337127686,0.23957760632038116,0.2683607339859009,0.33534231781959534,0.43158695101737976,0.4408751428127289,0.15003332495689392,0.3646814823150635,0.33852577209472656,0.07979691028594971,0.4376842677593231,0.2387654036283493,0.33534231781959534,0.28481900691986084,0.17966607213020325
western,1.0000001192092896,0.2569851279258728,0.26421627402305603,0.2040775567293167,0.18838192522525787,0.15455764532089233,0.37920868396759033,0.2446967363357544,0.32974064350128174,0.20884622633457184,0.18882472813129425,0.2197389006614685,0.1303226202726364,0.18838192522525787,0.19195643067359924,0.17439141869544983
governments,0.2569851279258728,1.0,0.21555230021476746,0.4846082031726837,0.30281347036361694,0.2636183798313141,0.2835306227207184,0.221065953373909,0.30223309993743896,0.264147013425827,0.2739209234714508,0.2359263300895691,0.18938763439655304,0.30281347036361694,0.20561431348323822,0.18805137276649475
bulwarks,0.17565540969371796,0.2210589051246643,0.2479221075773239,0.3629452884197235,0.2926272749900818,0.28029128909111023,0.36930257081985474,0.20468631386756897,0.3218333125114441,0.2952654957771301,0.31398725509643555,0.26544415950775146,0.25097963213920593,0.2926272749900818,0.20341287553310394,0.2610475420951843
against—what,0.2585432827472687,0.4204779863357544,0.3010522425174713,0.40416234731674194,0.4716273844242096,0.3355642855167389,0.4541000425815582,0.28178220987319946,0.3969669044017792,0.3012450635433197,0.364977091550827,0.47827309370040894,0.34463000297546387,0.4716273844242096,0.3260843753814697,0.3087853193283081
were,0.22601988911628723,0.32859161496162415,0.2681999206542969,0.2841334342956543,0.31913647055625916,0.4064064621925354,0.3906462490558624,0.13139481842517853,0.34038281440734863,0.4493520259857178,0.21307514607906342,0.29649975895881653,0.3065771758556366,0.31913647055625916,0.27088287472724915,0.17890112102031708
thought,0.20778167247772217,0.2415958195924759,0.582937479019165,0.3052258789539337,0.3858291208744049,0.40278932452201843,0.3509289622306824,0.23396101593971252,0.34673458337783813,0.2580471932888031,0.27495285868644714,0.32143133878707886,0.3338257968425751,0.3858291208744049,0.29463300108909607,0.2600135803222656
to,0.18838192522525787,0.30281347036361694,0.2954166829586029,0.28735893964767456,1.0,0.4972836375236511,0.535392165184021,0.20995968580245972,0.41548454761505127,0.3343428373336792,0.26655712723731995,0.5423505902290344,0.2345995306968689,1.0,0.3108522593975067,0.29463258385658264
be,0.15455764532089233,0.2636183798313141,0.41927069425582886,0.25897660851478577,0.4972836375236511,1.0,0.4248143136501312,0.15838582813739777,0.33904364705085754,0.28515341877937317,0.20806792378425598,0.4451393485069275,0.2839527726173401,0.4972836375236511,0.21567033231258392,0.3324260413646698
at,0.19088859856128693,0.16109837591648102,0.22421137988567352,0.18119540810585022,0.36524343490600586,0.30379733443260193,0.457212895154953,0.15372388064861298,0.42558613419532776,0.32178381085395813,0.15107181668281555,0.38876327872276306,0.2775397002696991,0.36524343490600586,0.16644588112831116,0.21978627145290375
the,0.37920868396759033,0.2835306227207184,0.4028765559196472,0.2982981204986572,0.535392165184021,0.4248143136501312,1.0,0.27918535470962524,0.733189046382904,0.43858039379119873,0.21584279835224152,0.5091903209686279,0.28685078024864197,0.535392165184021,0.23752936720848083,0.22068053483963013
