,what,year,were,the,first,doctor,who,stories,available,on,cd,?
since,0.29783400893211365,0.31512683629989624,0.3373812139034271,0.4054957628250122,0.42581459879875183,0.10913390666246414,0.27765995264053345,0.1543450802564621,0.18915966153144836,0.32446393370628357,0.1455782651901245,0.2876587212085724
1999,0.09112130105495453,0.06423642486333847,-0.05004831403493881,0.06755080074071884,0.029182899743318558,0.05676430091261864,0.0312652513384819,-0.05916161462664604,-0.06687644869089127,0.03319690749049187,-0.02416968159377575,0.05416720360517502
",",0.3087472915649414,0.28560417890548706,0.36755475401878357,0.4933079481124878,0.34503069519996643,0.20407600700855255,0.3365725874900818,0.22120293974876404,0.2614012062549591,0.49057599902153015,0.19353729486465454,0.31091248989105225
big,0.2788069546222687,0.19742389023303986,0.19467909634113312,0.308749794960022,0.19652248919010162,0.1275855153799057,0.2366105318069458,0.1535804569721222,0.17128019034862518,0.2596937119960785,0.07246360182762146,0.20497842133045197
finish,0.21988750994205475,0.17314405739307404,0.18800507485866547,0.23846492171287537,0.28936541080474854,0.20019887387752533,0.20959937572479248,0.13134588301181793,0.18026091158390045,0.1921798437833786,0.18130622804164886,0.11681990325450897
productions,0.18529511988162994,0.16710041463375092,0.22421447932720184,0.2695383131504059,0.24289144575595856,0.1531556099653244,0.1643865406513214,0.2944868505001068,0.26873621344566345,0.2536720335483551,0.2750709652900696,0.22681239247322083
has,0.20338068902492523,0.2526876926422119,0.2784052789211273,0.4177538752555847,0.28288596868515015,0.1778179407119751,0.2558172643184662,0.1521075963973999,0.1759227216243744,0.34604379534721375,0.12899033725261688,0.15994466841220856
released,0.20228935778141022,0.21057839691638947,0.1916636824607849,0.24578391015529633,0.33788758516311646,0.16010989248752594,0.15033993124961853,0.15151366591453552,0.30250266194343567,0.31313204765319824,0.4166692793369293,0.20329579710960388
several,0.22446060180664062,0.21163222193717957,0.3978578448295593,0.40559855103492737,0.2748492956161499,0.1561049073934555,0.30628830194473267,0.2267022281885147,0.21179081499576569,0.33774417638778687,0.09959450364112854,0.15595775842666626
different,0.39262300729751587,0.1450134813785553,0.3418048620223999,0.36412742733955383,0.3025437593460083,0.11029156297445297,0.27202165126800537,0.28703582286834717,0.3676016926765442,0.3056946098804474,0.1929929405450821,0.24476227164268494
series,0.17328087985515594,0.2600080966949463,0.264431357383728,0.31376904249191284,0.3264976441860199,0.2712797522544861,0.21484537422657013,0.36305397748947144,0.19387713074684143,0.23828625679016113,0.1886206418275833,0.1709602326154709
of,0.33290785551071167,0.2578314542770386,0.34038281440734863,0.733189046382904,0.3536086082458496,0.16895952820777893,0.2827862501144409,0.2577437460422516,0.2416580766439438,0.3966929316520691,0.13952325284481049,0.1826142966747284
doctor,0.20870667695999146,0.16282056272029877,0.11412792652845383,0.2820442318916321,0.27244147658348083,0.9999999403953552,0.3504868149757385,0.20147667825222015,0.16156968474388123,0.1636410653591156,0.15725518763065338,0.1462511420249939
who,0.40942975878715515,0.2851492762565613,0.3188014328479767,0.3733934462070465,0.39065709710121155,0.3504868149757385,0.9999998807907104,0.3021683990955353,0.1272890865802765,0.2340552806854248,0.14219516515731812,0.26220351457595825
audios,0.20862974226474762,0.1350431591272354,0.1703585535287857,0.23073934018611908,0.19964174926280975,0.15853320062160492,0.18216699361801147,0.25211453437805176,0.2505786418914795,0.20820006728172302,0.3036579489707947,0.1627766638994217
on,0.34226128458976746,0.27628999948501587,0.2774328887462616,0.5107308030128479,0.3120559751987457,0.1636410653591156,0.2340552806854248,0.19654057919979095,0.3133032023906708,0.9999999403953552,0.1485246866941452,0.2714994251728058
cd,0.16275504231452942,0.15040507912635803,0.13160185515880585,0.1441466212272644,0.1922353208065033,0.15725518763065338,0.14219516515731812,0.17141248285770416,0.30811038613319397,0.1485246866941452,0.9999999403953552,0.18615885078907013
.,0.3567904531955719,0.32538118958473206,0.3378238379955292,0.5934505462646484,0.4345304071903229,0.22361043095588684,0.3541337847709656,0.23087488114833832,0.3383464217185974,0.49257001280784607,0.21611766517162323,0.4130953550338745
