,who,wrote,a,pamphlet,outlining,the,radical,ideas,of,the,extremists,?
its,0.1326070874929428,0.13094951212406158,0.4424409866333008,0.18280655145645142,0.22115552425384521,0.559237003326416,0.22431589663028717,0.1992025375366211,0.48690423369407654,0.559237003326416,0.23253506422042847,0.15103481709957123
views,0.233521968126297,0.22513720393180847,0.19887466728687286,0.32167354226112366,0.2564048767089844,0.23137402534484863,0.3784794807434082,0.45590725541114807,0.1923438459634781,0.23137402534484863,0.3622939884662628,0.19388815760612488
were,0.3188014328479767,0.3381096124649048,0.17203083634376526,0.25138789415359497,0.1920703947544098,0.3906462490558624,0.1929195523262024,0.26104360818862915,0.34038281440734863,0.3906462490558624,0.33105751872062683,0.17890112102031708
outlined,0.14977286756038666,0.275353342294693,0.20900475978851318,0.26993951201438904,0.7860203385353088,0.26685938239097595,0.2475603073835373,0.3566151261329651,0.3017116189002991,0.26685938239097595,0.1660831868648529,0.29497575759887695
in,0.2792111933231354,0.2898900806903839,0.539380669593811,0.26164868474006653,0.23519761860370636,0.6662389636039734,0.20068511366844177,0.24198658764362335,0.5696388483047485,0.6662389636039734,0.23170803487300873,0.20430970191955566
a,0.36608949303627014,0.232523575425148,1.0,0.21875593066215515,0.2300693690776825,0.5829201340675354,0.2166643589735031,0.2439810186624527,0.5052502155303955,0.5829201340675354,0.2594364285469055,0.23916715383529663
pamphlet,0.27376118302345276,0.43670934438705444,0.21875593066215515,1.0,0.3381090760231018,0.23915216326713562,0.44193920493125916,0.429351270198822,0.24295467138290405,0.23915216326713562,0.3302358090877533,0.24461646378040314
written,0.26459524035453796,0.6132748126983643,0.22976966202259064,0.3600388169288635,0.1888532191514969,0.2582438886165619,0.20826368033885956,0.2532847225666046,0.20874574780464172,0.2582438886165619,0.19899116456508636,0.21451954543590546
by,0.39727845788002014,0.2766735553741455,0.32094135880470276,0.29751908779144287,0.21197792887687683,0.4408751428127289,0.1902960240840912,0.2588382065296173,0.3646814823150635,0.4408751428127289,0.3082420527935028,0.17966607213020325
muhammad,0.2618805468082428,0.14692161977291107,0.18402697145938873,0.2838677763938904,0.2091180831193924,0.18824619054794312,0.16291433572769165,0.19456005096435547,0.1792740523815155,0.18824619054794312,0.3626013696193695,0.20699374377727509
abd,0.24576105177402496,0.12289334833621979,0.18028073012828827,0.2378770112991333,0.2073657065629959,0.19693151116371155,0.1976197063922882,0.10801002383232117,0.18790188431739807,0.19693151116371155,0.304700642824173,0.184768408536911
al-salaam,0.1510193645954132,0.16132739186286926,0.25674766302108765,0.25247135758399963,0.1536070704460144,0.3108059763908386,0.12189178913831711,0.13442188501358032,0.24387933313846588,0.3108059763908386,0.2621862292289734,0.261695921421051
farag,0.24505147337913513,0.17906911671161652,0.19118347764015198,0.22155919671058655,0.12126737833023071,0.2099374532699585,0.2835574150085449,0.18203841149806976,0.21176213026046753,0.2099374532699585,0.22785398364067078,0.11235751211643219
",",0.3365725874900818,0.27225261926651,0.427140474319458,0.28257179260253906,0.26592305302619934,0.4933079481124878,0.2340504378080368,0.26492518186569214,0.4946078956127167,0.4933079481124878,0.20946316421031952,0.31091248989105225
in,0.2792111933231354,0.2898900806903839,0.539380669593811,0.26164868474006653,0.23519761860370636,0.6662389636039734,0.20068511366844177,0.24198658764362335,0.5696388483047485,0.6662389636039734,0.23170803487300873,0.20430970191955566
which,0.3688730001449585,0.2306787371635437,0.56894451379776,0.23830464482307434,0.29495546221733093,0.6521818041801453,0.23469224572181702,0.3292820453643799,0.5011631846427917,0.6521818041801453,0.297428697347641,0.25814583897590637
he,0.5500732064247131,0.378974586725235,0.4393508732318878,0.2343844324350357,0.1989661008119583,0.4571082592010498,0.2194586992263794,0.3057610094547272,0.38706058263778687,0.4571082592010498,0.25879380106925964,0.2089974731206894
states,0.21313154697418213,0.17123691737651825,0.24708621203899384,0.22525998950004578,0.1984879970550537,0.3463578522205353,0.1378081738948822,0.2070768028497696,0.30884552001953125,0.3463578522205353,0.22639580070972443,0.16272737085819244
:,-0.0025186005514115095,-0.14690157771110535,-0.0007584693375974894,-0.061700448393821716,-0.05186590179800987,-0.03403344005346298,-0.022088317200541496,-0.08105354011058807,-0.08807745575904846,-0.03403344005346298,-0.1066167801618576,-0.07156077772378922
