,over,100,egyptian,police,were,victims,of,what,group,'s,campaign,of,terror,?
another,0.3727813959121704,0.2192380577325821,0.17052675783634186,0.22837626934051514,0.18328039348125458,0.19933123886585236,0.38147079944610596,0.4190070629119873,0.278802752494812,0.026405371725559235,0.18219661712646484,0.38147079944610596,0.16950209438800812,0.295511931180954
of,0.36136594414711,0.1816425770521164,0.20001496374607086,0.19770009815692902,0.34038281440734863,0.21811941266059875,1.0,0.33290785551071167,0.25542253255844116,-0.03817026689648628,0.23278115689754486,1.0,0.2489798218011856,0.1826142966747284
the,0.39856547117233276,0.16408909857273102,0.22032245993614197,0.2206914722919464,0.3906462490558624,0.21845385432243347,0.733189046382904,0.42745697498321533,0.30795547366142273,-0.01540423184633255,0.2755736708641052,0.733189046382904,0.2993146777153015,0.22068053483963013
egyptian,0.16593708097934723,0.22067509591579437,1.0,0.1512513905763626,0.18496908247470856,0.15491732954978943,0.20001496374607086,0.15441232919692993,0.1548667550086975,0.05428663641214371,0.21002119779586792,0.20001496374607086,0.2255055010318756,0.14169205725193024
groups,0.17418953776359558,0.152742400765419,0.1143544539809227,0.1732320338487625,0.3214126229286194,0.1983497142791748,0.24723079800605774,0.23137421905994415,0.6639418005943298,-0.022840846329927444,0.13668207824230194,0.24723079800605774,0.190045565366745,0.14349548518657684
which,0.4256240129470825,0.24167586863040924,0.17962534725666046,0.17365802824497223,0.2807837128639221,0.24009068310260773,0.5011631846427917,0.5261979103088379,0.32466647028923035,0.03856118768453598,0.1781868189573288,0.5011631846427917,0.27721914649009705,0.25814583897590637
employed,0.16437822580337524,0.18324744701385498,0.1599729061126709,0.2552986741065979,0.26254522800445557,0.16609908640384674,0.22383978962898254,0.15165269374847412,0.11705442517995834,0.01810731366276741,0.03021717257797718,0.22383978962898254,0.11965685337781906,0.1261894851922989
violence,0.21350529789924622,0.16009165346622467,0.1503576636314392,0.3534190058708191,0.22823014855384827,0.43035709857940674,0.21331627666950226,0.24788525700569153,0.2413516789674759,0.05901326611638069,0.34587332606315613,0.21331627666950226,0.4072883129119873,0.20634515583515167
in,0.3605569899082184,0.10141821950674057,0.145795539021492,0.2662045955657959,0.3815755248069763,0.1911110132932663,0.5696388483047485,0.30808621644973755,0.2304753065109253,-0.037580832839012146,0.2438942790031433,0.5696388483047485,0.2762015163898468,0.20430970191955566
their,0.3300269544124603,0.16010119020938873,0.1721189171075821,0.15155340731143951,0.43277356028556824,0.28039512038230896,0.4329940676689148,0.35142919421195984,0.31846651434898376,-0.005530759692192078,0.16786664724349976,0.4329940676689148,0.15920934081077576,0.1898253709077835
struggle,0.22306154668331146,0.12240412831306458,0.15953955054283142,0.12351494282484055,0.19649885594844818,0.2760714590549469,0.25674882531166077,0.23432134091854095,0.19133131206035614,0.04856010898947716,0.2724841833114624,0.25674882531166077,0.27642694115638733,0.1330908089876175
for,0.3419422209262848,0.1286492645740509,0.17144131660461426,0.1948268711566925,0.33592689037323,0.22207793593406677,0.4185989499092102,0.3017193675041199,0.24519909918308258,-0.07241261005401611,0.23777949810028076,0.4185989499092102,0.1960884928703308,0.264628142118454
islamic,0.17131300270557404,0.1418006420135498,0.42369043827056885,0.24352028965950012,0.1627683937549591,0.17355269193649292,0.25656506419181824,0.2204568088054657,0.18744540214538574,0.003978571388870478,0.23630250990390778,0.25656506419181824,0.29719454050064087,0.1692383587360382
order,0.14019016921520233,0.15039075911045074,0.1542661041021347,0.11405831575393677,0.16340558230876923,0.17582054436206818,0.31287699937820435,0.16634008288383484,0.2930731177330017,-0.07080218195915222,0.14467915892601013,0.31287699937820435,0.16630777716636658,0.13725648820400238
