,what,shows,were,released,on,laserdisc,?
the,0.42745697498321533,0.36348509788513184,0.3906462490558624,0.24578391015529633,0.5107308030128479,0.29137271642684937,0.22068053483963013
2005,0.0704459398984909,-0.018520163372159004,0.14405988156795502,0.10535963624715805,0.018048860132694244,0.08570906519889832,0.10709824413061142
series,0.17328087985515594,0.3294292390346527,0.264431357383728,0.29918766021728516,0.23828625679016113,0.36099323630332947,0.1709602326154709
is,0.28837618231773376,0.31176671385765076,0.29386836290359497,0.21587204933166504,0.3635730445384979,0.1979186087846756,0.22961433231830597
also,0.42747777700424194,0.3269520699977875,0.31877249479293823,0.2548539638519287,0.3762153089046478,0.26839518547058105,0.21848613023757935
available,0.22032985091209412,0.22410283982753754,0.20631881058216095,0.30250266194343567,0.3133032023906708,0.39520567655563354,0.2501629889011383
in,0.30808621644973755,0.3289647698402405,0.3815755248069763,0.2659924626350403,0.46853652596473694,0.2381364107131958,0.20430970191955566
its,0.30393704771995544,0.2824936509132385,0.20452921092510223,0.1690494418144226,0.34331920742988586,0.22169215977191925,0.15103481709957123
entirety,0.39438554644584656,0.29970428347587585,0.23677118122577667,0.22318364679813385,0.35404014587402344,0.28973498940467834,0.3027121126651764
on,0.34226128458976746,0.361020565032959,0.2774328887462616,0.31313204765319824,0.9999999403953552,0.3074883222579956,0.2714994251728058
umd,0.23631149530410767,0.19685643911361694,0.17477920651435852,0.4138229489326477,0.3109404444694519,0.5634695887565613,0.3179636001586914
for,0.3017193675041199,0.35496386885643005,0.33592689037323,0.2211005687713623,0.36199691891670227,0.2993902564048767,0.264628142118454
the,0.42745697498321533,0.36348509788513184,0.3906462490558624,0.24578391015529633,0.5107308030128479,0.29137271642684937,0.22068053483963013
playstation,0.21173475682735443,0.18126961588859558,0.14671571552753448,0.526062548160553,0.2640620470046997,0.5296868681907654,0.22137580811977386
portable,0.20297950506210327,0.14625538885593414,0.19064435362815857,0.33208009600639343,0.22616355121135712,0.46212825179100037,0.17990094423294067
.,0.3567904531955719,0.2639692425727844,0.3378238379955292,0.298698753118515,0.49257001280784607,0.286795437335968,0.4130953550338745
