,what,venue,hosted,super,bowl,opening,night,?
the,0.42745697498321533,0.22078999876976013,0.2576315402984619,0.21959073841571808,0.21576224267482758,0.37298497557640076,0.2817382514476776,0.22068053483963013
event,0.26981404423713684,0.40217649936676025,0.3793641924858093,0.20683135092258453,0.22903870046138763,0.3158341944217682,0.20209398865699768,0.16076280176639557
was,0.22111038863658905,0.21725919842720032,0.266493022441864,0.21420986950397491,0.21915455162525177,0.20817555487155914,0.21724213659763336,0.18412111699581146
held,0.0974166989326477,0.34524765610694885,0.4446128308773041,0.1602509617805481,0.1913566142320633,0.29831939935684204,0.20320139825344086,0.14103956520557404
on,0.34226128458976746,0.21426907181739807,0.2524368166923523,0.1569211632013321,0.1334993690252304,0.2229088544845581,0.28230446577072144,0.2714994251728058
february,0.1913013905286789,0.2372690588235855,0.2765263617038727,0.11098520457744598,0.14879822731018066,0.16549500823020935,0.1608564704656601,0.29594847559928894
1,-0.21266892552375793,-0.07817380875349045,-0.15648530423641205,-0.20172525942325592,-0.14906248450279236,-0.10446672886610031,-0.1076507568359375,-0.249979168176651
",",0.3087472915649414,0.24143879115581512,0.27969205379486084,0.22322475910186768,0.1810409277677536,0.24495157599449158,0.24717365205287933,0.31091248989105225
2016,0.10915659368038177,0.012780070304870605,-0.013592038303613663,-0.016256341710686684,0.014497322961688042,0.017308924347162247,-0.07691292464733124,-0.12147852033376694
at,0.2838611304759979,0.289700448513031,0.2963753044605255,0.11449114978313446,0.2709662914276123,0.25734835863113403,0.2972809970378876,0.21978627145290375
sap,0.18864130973815918,0.11879508942365646,0.09915101528167725,0.16322582960128784,0.2455243170261383,0.14077742397785187,0.21259483695030212,0.11318067461252213
center,0.1908310204744339,0.20663340389728546,0.17172491550445557,0.10317984968423843,0.10079877823591232,0.17169365286827087,0.11867751181125641,0.12538520991802216
in,0.30808621644973755,0.24086345732212067,0.2707974314689636,0.18576006591320038,0.17236235737800598,0.2907836139202118,0.24847309291362762,0.20430970191955566
san,0.19375550746917725,0.15182507038116455,0.1884586364030838,0.15279507637023926,0.18508543074131012,0.10440074652433395,0.19215743243694305,0.10952327400445938
jose,0.14773352444171906,0.12442000210285187,0.14232973754405975,0.14319683611392975,0.1370301991701126,0.06776732951402664,0.17902083694934845,0.06250977516174316
.,0.3567904531955719,0.21571816504001617,0.22959090769290924,0.2757420241832733,0.21516893804073334,0.2886379361152649,0.24810922145843506,0.4130953550338745
