,what,can,cause,salaries,to,go,higher,than,the,range,?
salaries,0.23399829864501953,0.20282286405563354,0.14094920456409454,1.0000001192092896,0.3040089011192322,0.1974993199110031,0.22095008194446564,0.2948401868343353,0.29897719621658325,0.11372540146112442,0.23913246393203735
for,0.3017193675041199,0.35690054297447205,0.255321204662323,0.33575230836868286,0.4451248347759247,0.2588973641395569,0.2346303015947342,0.30793827772140503,0.4739971458911896,0.2565288841724396,0.264628142118454
nursery,0.2235950380563736,0.21167542040348053,0.04625774547457695,0.12418720126152039,0.22277390956878662,0.1841312199831009,0.17962846159934998,0.1356905996799469,0.20382064580917358,0.19492101669311523,0.17706544697284698
",",0.3087472915649414,0.3139454126358032,0.2546827793121338,0.2153448611497879,0.44245919585227966,0.3043581247329712,0.251458078622818,0.3371901512145996,0.4933079481124878,0.2808356285095215,0.31091248989105225
primary,0.2113915979862213,0.24960964918136597,0.18685011565685272,0.16491392254829407,0.27388349175453186,0.16121067106723785,0.20442244410514832,0.17828716337680817,0.25688621401786804,0.19112271070480347,0.16286636888980865
and,0.31309178471565247,0.3675691485404968,0.2858448028564453,0.22138139605522156,0.48971283435821533,0.35260969400405884,0.3147866129875183,0.39361441135406494,0.5171257257461548,0.27470090985298157,0.20544172823429108
secondary,0.20388361811637878,0.25221288204193115,0.1895582228899002,0.1568305343389511,0.27947136759757996,0.1565171778202057,0.30432015657424927,0.15205809473991394,0.21037471294403076,0.17912019789218903,0.18118004500865936
school,0.18774057924747467,0.09772772341966629,0.13382476568222046,0.17071035504341125,0.24496325850486755,0.2376861870288849,0.24293676018714905,0.08622075617313385,0.22953221201896667,0.19517356157302856,0.15091250836849213
teachers,0.2526462972164154,0.1946156919002533,0.11293970793485641,0.3667125999927521,0.2668606638908386,0.19131027162075043,0.26257336139678955,0.19273844361305237,0.22025763988494873,0.16123706102371216,0.19522249698638916
ranged,0.16069062054157257,0.2558811902999878,0.15494917333126068,0.177411749958992,0.2728334665298462,0.10690803825855255,0.21315689384937286,0.30794239044189453,0.2715573310852051,0.6804896593093872,0.11487069725990295
from,0.2737620174884796,0.2516351342201233,0.2778934836387634,0.2605859339237213,0.4069952368736267,0.20520222187042236,0.2177213728427887,0.2633618414402008,0.40150508284568787,0.2519944906234741,0.19969791173934937
"£20,133",-0.13828609883785248,-0.2193467766046524,-0.24175411462783813,-0.20728647708892822,-0.17318563163280487,-0.1712629646062851,-0.15322399139404297,-0.19008685648441315,-0.1795365959405899,-0.1396389603614807,-0.08088389784097672
to,0.455847829580307,0.4979398250579834,0.3172815442085266,0.3040089011192322,1.0,0.384844571352005,0.3279348313808441,0.3192550539970398,0.535392165184021,0.2767433524131775,0.29463258385658264
"£41,004",-0.038997579365968704,-0.10116778314113617,-0.03771922364830971,-0.006829868536442518,-0.027977295219898224,0.042652249336242676,-0.06562084704637527,-0.09117510169744492,0.00949892122298479,0.003994700498878956,-0.004401235841214657
in,0.30808621644973755,0.26527702808380127,0.24822883307933807,0.23869653046131134,0.45010748505592346,0.22233200073242188,0.23285751044750214,0.3270052373409271,0.6662389636039734,0.2084861844778061,0.20430970191955566
september,0.2153792530298233,0.10241233557462692,0.118150494992733,0.17479544878005981,0.22485187649726868,0.2154024988412857,0.0556429959833622,0.12621603906154633,0.2516939043998718,0.08231201767921448,0.2665146589279175
2007,-0.15549811720848083,0.01315645407885313,0.03165511414408684,-0.2005840539932251,-0.1738293468952179,-0.1477750837802887,-0.07987623661756516,-0.12367857247591019,-0.23657195270061493,-0.0049808816984295845,-0.1664225310087204
",",0.3087472915649414,0.3139454126358032,0.2546827793121338,0.2153448611497879,0.44245919585227966,0.3043581247329712,0.251458078622818,0.3371901512145996,0.4933079481124878,0.2808356285095215,0.31091248989105225
although,0.24844598770141602,0.3154618740081787,0.30516430735588074,0.2091609537601471,0.4176313281059265,0.14034511148929596,0.23214760422706604,0.36858466267585754,0.3265823423862457,0.194715216755867,0.15541206300258636
some,0.4491020441055298,0.5319128632545471,0.36354589462280273,0.31050705909729004,0.4636894166469574,0.30760103464126587,0.30941957235336304,0.46446433663368225,0.4566698372364044,0.3333519399166107,0.2562315762042999
salaries,0.23399829864501953,0.20282286405563354,0.14094920456409454,1.0000001192092896,0.3040089011192322,0.1974993199110031,0.22095008194446564,0.2948401868343353,0.29897719621658325,0.11372540146112442,0.23913246393203735
can,0.34502777457237244,1.0,0.4492664635181427,0.20282286405563354,0.4979398250579834,0.28201326727867126,0.3291759192943573,0.3532506823539734,0.312528520822525,0.2876698672771454,0.3226337134838104
go,0.35329025983810425,0.28201326727867126,0.24601970613002777,0.1974993199110031,0.384844571352005,0.9999999403953552,0.22084170579910278,0.2166178673505783,0.29801803827285767,0.15134580433368683,0.25942572951316833
much,0.45316147804260254,0.39803463220596313,0.3132915496826172,0.26362788677215576,0.40610215067863464,0.2665551006793976,0.3946162462234497,0.632695198059082,0.35023224353790283,0.26733410358428955,0.23442231118679047
higher,0.2538340389728546,0.3291759192943573,0.25972309708595276,0.22095008194446564,0.3279348313808441,0.22084170579910278,1.0,0.4844343364238739,0.3292480409145355,0.22812753915786743,0.15679465234279633
depending,0.3483159840106964,0.5650255084037781,0.31595373153686523,0.2833211421966553,0.334902822971344,0.21766351163387299,0.3428773880004883,0.3693179190158844,0.3423977494239807,0.26846152544021606,0.21704205870628357
on,0.34226128458976746,0.2772369682788849,0.2381288707256317,0.26671817898750305,0.41031414270401,0.23738256096839905,0.22620901465415955,0.2864885926246643,0.5107308030128479,0.19070495665073395,0.2714994251728058
experience,0.3894727826118469,0.3147910237312317,0.28886353969573975,0.234792560338974,0.25535836815834045,0.2050546556711197,0.25882309675216675,0.30541229248046875,0.21682339906692505,0.17633572220802307,0.25203612446784973
and,0.31309178471565247,0.3675691485404968,0.2858448028564453,0.22138139605522156,0.48971283435821533,0.35260969400405884,0.3147866129875183,0.39361441135406494,0.5171257257461548,0.27470090985298157,0.20544172823429108
extra,0.1589265614748001,0.28396865725517273,0.2103450745344162,0.23172515630722046,0.23972739279270172,0.19216051697731018,0.2144797295331955,0.22710278630256653,0.20500101149082184,0.19692355394363403,0.11175043880939484
responsibilities,0.32758331298828125,0.21086592972278595,0.27361059188842773,0.33427777886390686,0.2899641990661621,0.1671743094921112,0.2180771827697754,0.19605843722820282,0.2885926067829132,0.12925082445144653,0.2195286750793457
.,0.3567904531955719,0.35783761739730835,0.267557293176651,0.27470654249191284,0.4645031690597534,0.3313661813735962,0.2524722218513489,0.3594527542591095,0.5934505462646484,0.25816646218299866,0.4130953550338745
