,who,notably,improved,the,savery,water,pump,?
an,0.2848317325115204,0.14869271218776703,0.23069146275520325,0.4207492768764496,0.3480273187160492,0.19103862345218658,0.1465771496295929,0.19793890416622162
attractive,0.22472675144672394,0.19629262387752533,0.20192329585552216,0.18968547880649567,0.16349363327026367,0.21805505454540253,0.11032094061374664,0.059703927487134933
feature,0.20225825905799866,0.15989993512630463,0.25663864612579346,0.3053930699825287,0.18609727919101715,0.17179641127586365,0.2178567349910736,0.2893312871456146
of,0.2827862501144409,0.3080497682094574,0.21225644648075104,0.733189046382904,0.3800363540649414,0.2741255462169647,0.11486294865608215,0.1826142966747284
the,0.3733934462070465,0.33497244119644165,0.21394658088684082,1.0,0.3600737154483795,0.297396719455719,0.21872945129871368,0.22068053483963013
savery,0.25712963938713074,0.20080232620239258,0.2674435079097748,0.3600737154483795,0.9999999403953552,0.1931677907705307,0.16597431898117065,0.2684193551540375
engine,0.1543407142162323,0.12673325836658478,0.35964372754096985,0.21651263535022736,0.15650594234466553,0.23611068725585938,0.3582029640674591,0.17739196121692657
was,0.3318818509578705,0.20736795663833618,0.2274889498949051,0.48711544275283813,0.3044261336326599,0.18750394880771637,0.1084531843662262,0.18412111699581146
its,0.1326070874929428,0.2521401345729828,0.21699953079223633,0.559237003326416,0.24997834861278534,0.2640035152435303,0.1621875911951065,0.15103481709957123
low,0.16145439445972443,0.13020992279052734,0.2650182843208313,0.2544175982475281,0.17885318398475647,0.26972994208335876,0.22677616775035858,0.10658930987119675
cost,0.12277812510728836,0.1204802393913269,0.2808386981487274,0.23177006840705872,0.29365074634552,0.20577657222747803,0.17083469033241272,0.17823095619678497
.,0.3541337847709656,0.21139730513095856,0.2536298334598541,0.5934505462646484,0.3226619362831116,0.26634910702705383,0.2474096715450287,0.4130953550338745
