,what,was,the,guiding,principle,of,the,mongol,empire,code,of,conduct,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3117053210735321,0.24017377197742462,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.25827479362487793,0.733189046382904,0.24627962708473206,0.22068053483963013
mongol,0.15870186686515808,0.17204789817333221,0.2924198508262634,0.15031428635120392,0.22143317759037018,0.22712039947509766,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.10796893388032913,0.22712039947509766,0.10629557818174362,0.12849251925945282
empire,0.21723191440105438,0.30602675676345825,0.32532164454460144,0.1397775411605835,0.14468377828598022,0.30522286891937256,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.11796534806489944,0.30522286891937256,0.13141334056854248,0.14909450709819794
did,0.4259131848812103,0.41399896144866943,0.34736719727516174,0.21389728784561157,0.2072836458683014,0.2513895630836487,0.34736719727516174,0.17534953355789185,0.18850058317184448,0.1687479466199875,0.2513895630836487,0.2147190421819687,0.3023456633090973
not,0.5449194312095642,0.2888734042644501,0.4310511648654938,0.24662518501281738,0.3059917986392975,0.3307090103626251,0.4310511648654938,0.13350142538547516,0.1274372637271881,0.20382574200630188,0.3307090103626251,0.2606170177459717,0.41942933201789856
emphasize,0.326076477766037,0.12959136068820953,0.23146559298038483,0.23375894129276276,0.35636696219444275,0.28762245178222656,0.23146559298038483,0.10841166973114014,0.19928565621376038,0.2493504136800766,0.28762245178222656,0.21112531423568726,0.2706180810928345
the,0.42745697498321533,0.48711544275283813,1.0,0.3117053210735321,0.24017377197742462,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.25827479362487793,0.733189046382904,0.24627962708473206,0.22068053483963013
importance,0.28515949845314026,0.23158758878707886,0.2901651859283447,0.2252931296825409,0.3278684914112091,0.30354931950569153,0.2901651859283447,0.17793232202529907,0.3032504916191101,0.1574469357728958,0.30354931950569153,0.2587554156780243,0.1653127521276474
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24623732268810272,0.2430231273174286,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.17838595807552338,1.0,0.22399970889091492,0.1826142966747284
ethnicity,0.2524464428424835,0.16419219970703125,0.1991092711687088,0.15138836205005646,0.20219646394252777,0.17001788318157196,0.1991092711687088,0.2240435779094696,0.21150057017803192,0.1742645502090454,0.17001788318157196,0.15626920759677887,0.24866755306720734
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.28469184041023254,0.18017759919166565,0.5116966962814331,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.18216200172901154,0.5116966962814331,0.2281462550163269,0.20544172823429108
race,0.1748659759759903,0.23912915587425232,0.2584857642650604,0.18465764820575714,0.20078523457050323,0.22476476430892944,0.2584857642650604,0.17259427905082703,0.13965165615081787,0.09074550867080688,0.22476476430892944,0.09117569774389267,0.1390368491411209
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.21943505108356476,0.16382117569446564,0.5696388483047485,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.20991306006908417,0.5696388483047485,0.2630637288093567,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3117053210735321,0.24017377197742462,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.25827479362487793,0.733189046382904,0.24627962708473206,0.22068053483963013
administrative,0.2697139382362366,0.17269738018512726,0.25410786271095276,0.18074283003807068,0.14880339801311493,0.3186163008213043,0.25410786271095276,0.21415060758590698,0.2451448142528534,0.21859687566757202,0.3186163008213043,0.1780080497264862,0.15912041068077087
realm,0.25700607895851135,0.21303649246692657,0.3148497939109802,0.21763639152050018,0.2516654431819916,0.2959063947200775,0.3148497939109802,0.1424408107995987,0.32630863785743713,0.10649239271879196,0.2959063947200775,0.1229327842593193,0.12058325111865997
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2684357166290283,0.22548964619636536,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.1951065957546234,0.4946078956127167,0.19693340361118317,0.31091248989105225
instead,0.4104403555393219,0.23083001375198364,0.3940567970275879,0.24166834354400635,0.21449784934520721,0.31208282709121704,0.3940567970275879,0.18172723054885864,0.19088728725910187,0.16970527172088623,0.31208282709121704,0.16658513247966766,0.2942638397216797
adopting,0.2651776075363159,0.2075265645980835,0.24929948151111603,0.3730415999889374,0.2946779131889343,0.24967004358768463,0.24929948151111603,0.2088821679353714,0.26083168387413025,0.1885416954755783,0.24967004358768463,0.19849257171154022,0.21285787224769592
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.23406843841075897,0.1980886161327362,0.32280945777893066,0.4207492768764496,0.09708178043365479,0.16588738560676575,0.21689660847187042,0.32280945777893066,0.1844918429851532,0.19793890416622162
approach,0.2636874318122864,0.16375517845153809,0.1999826431274414,0.31462475657463074,0.3155469298362732,0.20773443579673767,0.1999826431274414,0.18788811564445496,0.11434929817914963,0.20164862275123596,0.20773443579673767,0.18374459445476532,0.181949645280838
grounded,0.20799553394317627,0.25833824276924133,0.2820974290370941,0.2181127369403839,0.19232730567455292,0.23655028641223907,0.2820974290370941,0.08878665417432785,0.15305665135383606,0.10393965989351273,0.23655028641223907,0.216439887881279,0.11795409768819809
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.21943505108356476,0.16382117569446564,0.5696388483047485,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.20991306006908417,0.5696388483047485,0.2630637288093567,0.20430970191955566
meritocracy,0.3724118173122406,0.24809376895427704,0.3303079605102539,0.23123832046985626,0.35173630714416504,0.34486523270606995,0.3303079605102539,0.23531030118465424,0.36602285504341125,0.20517432689666748,0.34486523270606995,0.38504794239997864,0.3110058009624481
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26774361729621887,0.1894911378622055,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.23366451263427734,0.5352458953857422,0.16721296310424805,0.4130953550338745
