,what,seed,was,the,denver,broncos,?
for,0.3017193675041199,0.13647136092185974,0.3863949179649353,0.4739971458911896,0.22017966210842133,0.2739109396934509,0.264628142118454
the,0.42745697498321533,0.2115030139684677,0.48711544275283813,1.0,0.2052404284477234,0.25985947251319885,0.22068053483963013
third,0.2033906877040863,0.15741665661334991,0.3460187017917633,0.4229298532009125,0.18712952733039856,0.20801672339439392,0.15394791960716248
straight,0.21296165883541107,0.2709856629371643,0.1715187132358551,0.31073108315467834,0.17121446132659912,0.22112290561199188,0.1838495284318924
season,0.12117787450551987,0.22499895095825195,0.24797968566417694,0.2507155239582062,0.2508152425289154,0.3664494454860687,0.16793298721313477
",",0.3087472915649414,0.13968035578727722,0.45456063747406006,0.4933079481124878,0.25173696875572205,0.2558487057685852,0.31091248989105225
the,0.42745697498321533,0.2115030139684677,0.48711544275283813,1.0,0.2052404284477234,0.25985947251319885,0.22068053483963013
number,0.23046229779720306,0.17448297142982483,0.1855042725801468,0.35145696997642517,0.1493568867444992,0.11545195430517197,0.19256845116615295
one,0.376489520072937,0.19462735950946808,0.3752199709415436,0.5514441132545471,0.12505562603473663,0.17801736295223236,0.2673267424106598
seeds,0.11365402489900589,0.7296736836433411,0.10239182412624359,0.20018981397151947,0.08164743334054947,0.14872990548610687,0.11108525842428207
from,0.2737620174884796,0.2265709787607193,0.31171464920043945,0.40150508284568787,0.1697966605424881,0.21041777729988098,0.19969791173934937
both,0.3361809551715851,0.21873721480369568,0.2990766167640686,0.4931981563568115,0.1467166393995285,0.22403506934642792,0.19455738365650177
conferences,0.18170012533664703,0.19294698536396027,0.14676052331924438,0.2745058238506317,0.20923267304897308,0.283235639333725,0.14015959203243256
met,0.2157946228981018,0.0459335595369339,0.3100595772266388,0.2303115278482437,0.16251805424690247,0.14652258157730103,0.13848096132278442
in,0.30808621644973755,0.16289909183979034,0.45514053106307983,0.6662389636039734,0.2221570909023285,0.20316283404827118,0.20430970191955566
the,0.42745697498321533,0.2115030139684677,0.48711544275283813,1.0,0.2052404284477234,0.25985947251319885,0.22068053483963013
super,0.13651713728904724,0.09331385046243668,0.21420986950397491,0.21959073841571808,0.24589714407920837,0.36141330003738403,0.166326642036438
bowl,0.15942467749118805,0.19812247157096863,0.21915455162525177,0.21576224267482758,0.2861449718475342,0.4351775348186493,0.21118052303791046
.,0.3567904531955719,0.16294507682323456,0.40146201848983765,0.5934505462646484,0.2573630213737488,0.2612393796443939,0.4130953550338745
