,what,has,been,the,main,reason,for,the,shift,to,the,view,that,income,inequality,harms,growth,?
the,0.42745697498321533,0.4177538752555847,0.3563927710056305,1.0,0.38631999492645264,0.29647648334503174,0.4739971458911896,1.0,0.20870792865753174,0.535392165184021,1.0,0.25610461831092834,0.5473989248275757,0.23699946701526642,0.23508106172084808,0.1929386854171753,0.2912366986274719,0.22068053483963013
main,0.2344268560409546,0.26405781507492065,0.21641702950000763,0.38631999492645264,1.0000001192092896,0.27197951078414917,0.27491986751556396,0.38631999492645264,0.17854192852973938,0.26116618514060974,0.38631999492645264,0.23903022706508636,0.3140498101711273,0.20688948035240173,0.18028460443019867,0.13275425136089325,0.24985308945178986,0.1665669083595276
reason,0.3762516975402832,0.3450135290622711,0.3334571421146393,0.29647648334503174,0.27197951078414917,1.0,0.42787787318229675,0.29647648334503174,0.1792454868555069,0.3437597155570984,0.29647648334503174,0.1958957314491272,0.462776243686676,0.262471467256546,0.2549404501914978,0.3099360167980194,0.21971990168094635,0.3403966724872589
for,0.3017193675041199,0.450642853975296,0.39068686962127686,0.4739971458911896,0.27491986751556396,0.42787787318229675,0.9999999403953552,0.4739971458911896,0.14825519919395447,0.4451248347759247,0.4739971458911896,0.1212775781750679,0.4137635827064514,0.27512091398239136,0.256974995136261,0.22548113763332367,0.24965375661849976,0.264628142118454
this,0.5489566326141357,0.4198763072490692,0.3736515939235687,0.6274310946464539,0.3026203215122223,0.5541561245918274,0.5082864165306091,0.6274310946464539,0.2451898604631424,0.5759071707725525,0.6274310946464539,0.2545258402824402,0.6909449696540833,0.26293206214904785,0.285918265581131,0.30677109956741333,0.2538136839866638,0.3155723512172699
shift,0.3028343617916107,0.0642676055431366,0.09034588187932968,0.20870792865753174,0.17854192852973938,0.1792454868555069,0.14825519919395447,0.20870792865753174,1.0,0.23390066623687744,0.20870792865753174,0.18840529024600983,0.22266706824302673,0.12409328669309616,0.2523699104785919,0.14305050671100616,0.22172284126281738,0.1848975419998169
is,0.28837618231773376,0.5668748617172241,0.39566612243652344,0.5823672413825989,0.3009335994720459,0.25543609261512756,0.43268078565597534,0.5823672413825989,0.1446281522512436,0.42745086550712585,0.5823672413825989,0.2251286506652832,0.3995479643344879,0.14559021592140198,0.1953488290309906,0.2321617603302002,0.2256266176700592,0.22961433231830597
the,0.42745697498321533,0.4177538752555847,0.3563927710056305,1.0,0.38631999492645264,0.29647648334503174,0.4739971458911896,1.0,0.20870792865753174,0.535392165184021,1.0,0.25610461831092834,0.5473989248275757,0.23699946701526642,0.23508106172084808,0.1929386854171753,0.2912366986274719,0.22068053483963013
increasing,0.2066856026649475,0.311989963054657,0.3041490316390991,0.34958165884017944,0.13400009274482727,0.26730838418006897,0.28076329827308655,0.34958165884017944,0.27120599150657654,0.35017409920692444,0.34958165884017944,0.11666572839021683,0.33300721645355225,0.31668421626091003,0.4020375907421112,0.2867079973220825,0.46367576718330383,0.0681626945734024
importance,0.28515949845314026,0.2977864444255829,0.297141432762146,0.2901651859283447,0.2969793975353241,0.2923470139503479,0.30082738399505615,0.2901651859283447,0.2046637386083603,0.2892669439315796,0.2901651859283447,0.22239263355731964,0.3576852083206177,0.26434236764907837,0.3971780240535736,0.21645084023475647,0.3075096309185028,0.1653127521276474
of,0.33290785551071167,0.3909035325050354,0.31685134768486023,0.733189046382904,0.3177044689655304,0.23645815253257751,0.4185989499092102,0.733189046382904,0.12892109155654907,0.41548454761505127,0.733189046382904,0.21446028351783752,0.41498205065727234,0.2581324577331543,0.27910974621772766,0.2273760288953781,0.2679378092288971,0.1826142966747284
human,0.24243313074111938,0.23518574237823486,0.20641440153121948,0.3103327453136444,0.16096025705337524,0.22673757374286652,0.2089424729347229,0.3103327453136444,0.16837111115455627,0.25612473487854004,0.3103327453136444,0.17455360293388367,0.3200635015964508,0.19615662097930908,0.4040670692920685,0.3363865315914154,0.2942061126232147,0.19748784601688385
capital,0.17967931926250458,0.19167733192443848,0.11704083532094955,0.3049491047859192,0.22059576213359833,0.11294730007648468,0.16425155103206635,0.3049491047859192,0.12380044162273407,0.1844596415758133,0.3049491047859192,0.1341249644756317,0.13548922538757324,0.2837882339954376,0.24214337766170502,0.12263339012861252,0.2704012095928192,0.0907452180981636
in,0.30808621644973755,0.4173259735107422,0.3515113592147827,0.6662389636039734,0.28862449526786804,0.21220409870147705,0.4322226941585541,0.6662389636039734,0.17035029828548431,0.45010748505592346,0.6662389636039734,0.17477142810821533,0.435920387506485,0.1795814335346222,0.19402410089969635,0.14961108565330505,0.2819603681564331,0.20430970191955566
development,0.19014155864715576,0.26726067066192627,0.2632805109024048,0.3362044394016266,0.19058369100093842,0.19272609055042267,0.28623178601264954,0.3362044394016266,0.17211897671222687,0.27639102935791016,0.3362044394016266,0.190761998295784,0.2717459201812744,0.28954026103019714,0.312652587890625,0.21576781570911407,0.5030932426452637,0.1211358830332756
.,0.3567904531955719,0.4105546176433563,0.33645182847976685,0.5934505462646484,0.31122034788131714,0.3219331204891205,0.4726039469242096,0.5934505462646484,0.14610476791858673,0.4645031690597534,0.5934505462646484,0.23733025789260864,0.4460422694683075,0.26448529958724976,0.22563500702381134,0.28394439816474915,0.2825547754764557,0.4130953550338745
