,which,years,did,tesla,refer,to,as,a,time,of,terrible,headaches,and,bitter,tears,?
tesla,0.2203940600156784,0.11282773315906525,0.09757418930530548,0.9999999403953552,0.13513503968715668,0.17548894882202148,0.10285310447216034,0.2211925983428955,0.14928559958934784,0.18837453424930573,0.1920650601387024,0.09049197286367416,0.19560420513153076,0.05105257034301758,0.09678669273853302,0.10250775516033173
considered,0.32509535551071167,0.18253082036972046,0.2623664438724518,0.08748162537813187,0.3480284810066223,0.2954166829586029,0.4031961262226105,0.36109375953674316,0.2660984396934509,0.4190242290496826,0.15453286468982697,0.19170884788036346,0.3359341621398926,0.20914755761623383,0.11050917953252792,0.19909770786762238
the,0.6521818041801453,0.2912273406982422,0.34736719727516174,0.1324402391910553,0.22268381714820862,0.535392165184021,0.48381632566452026,0.5829201340675354,0.43061500787734985,0.733189046382904,0.260803759098053,0.2436933070421219,0.5171257257461548,0.20849020779132843,0.24051350355148315,0.22068053483963013
winter,0.20852844417095184,0.21049924194812775,0.1873176246881485,0.01383361965417862,0.08410892635583878,0.1953434944152832,0.16817429661750793,0.19113492965698242,0.29873019456863403,0.23947669565677643,0.18254557251930237,0.261822909116745,0.2760835289955139,0.22673575580120087,0.23878498375415802,0.1591269075870514
of,0.5011631846427917,0.2904134690761566,0.2513895630836487,0.18837453424930573,0.2576347291469574,0.41548454761505127,0.3886612355709076,0.5052502155303955,0.35127586126327515,1.0,0.2559667229652405,0.23864200711250305,0.5116966962814331,0.19161084294319153,0.22679205238819122,0.1826142966747284
1886/1887,-0.12490177899599075,-0.05215040594339371,0.08592482656240463,-0.153678297996521,0.02587001398205757,-0.03339966759085655,-0.059771809726953506,-0.13805577158927917,-0.05476738139986992,-0.06714024394750595,-0.05045895650982857,-0.10562014579772949,-0.04133451357483864,0.05766497924923897,-0.010804499499499798,-0.0919773057103157
as,0.41006597876548767,0.234328031539917,0.3596470057964325,0.10285310447216034,0.2955983281135559,0.42092081904411316,1.0,0.39550232887268066,0.3239102065563202,0.3886612355709076,0.2161298543214798,0.1582598239183426,0.49487000703811646,0.22077885270118713,0.10161414742469788,0.27043893933296204
a,0.56894451379776,0.23773819208145142,0.2552328109741211,0.2211925983428955,0.2736286222934723,0.45503583550453186,0.39550232887268066,1.0,0.3292340338230133,0.5052502155303955,0.2666369676589966,0.24457915127277374,0.3739250600337982,0.21662792563438416,0.20078198611736298,0.23916715383529663
time,0.325231671333313,0.42289087176322937,0.3567926585674286,0.14928559958934784,0.11658269912004471,0.3679993152618408,0.3239102065563202,0.3292340338230133,0.9999998807907104,0.35127586126327515,0.27063000202178955,0.22325678169727325,0.3025408685207367,0.16738548874855042,0.18818266689777374,0.27391523122787476
of,0.5011631846427917,0.2904134690761566,0.2513895630836487,0.18837453424930573,0.2576347291469574,0.41548454761505127,0.3886612355709076,0.5052502155303955,0.35127586126327515,1.0,0.2559667229652405,0.23864200711250305,0.5116966962814331,0.19161084294319153,0.22679205238819122,0.1826142966747284
``,0.05178012326359749,0.023748915642499924,-0.029888948425650597,0.04274534806609154,0.009699580259621143,0.06720756739377975,0.03910288214683533,0.07272057235240936,0.041467953473329544,0.06780257821083069,0.012665855698287487,0.20495395362377167,0.036644238978624344,0.002894873730838299,-0.02199469693005085,0.0685480609536171
terrible,0.2628183662891388,0.22304977476596832,0.360126256942749,0.1920650601387024,0.11247613281011581,0.21253138780593872,0.2161298543214798,0.2666369676589966,0.27063000202178955,0.2559667229652405,1.0,0.34450575709342957,0.29962074756622314,0.23751507699489594,0.3118826746940613,0.26402679085731506
headaches,0.2906143069267273,0.1371799260377884,0.19839900732040405,0.09049197286367416,0.1641283631324768,0.23302526772022247,0.1582598239183426,0.24457915127277374,0.22325678169727325,0.23864200711250305,0.34450575709342957,1.0000001192092896,0.23498596251010895,0.32914409041404724,0.3613869845867157,0.25825217366218567
and,0.506277859210968,0.300204873085022,0.34479495882987976,0.19560420513153076,0.22076335549354553,0.48971283435821533,0.49487000703811646,0.3739250600337982,0.3025408685207367,0.5116966962814331,0.29962074756622314,0.23498596251010895,1.0,0.2223934829235077,0.22982430458068848,0.20544172823429108
bitter,0.2827554941177368,0.1556353121995926,0.20217753946781158,0.05105257034301758,0.21710874140262604,0.2003384530544281,0.22077885270118713,0.21662792563438416,0.16738548874855042,0.19161084294319153,0.23751507699489594,0.32914409041404724,0.2223934829235077,1.0,0.31164905428886414,0.14148615300655365
tears,0.25159940123558044,0.1704578846693039,0.200081467628479,0.09678669273853302,0.010908892378211021,0.1893632709980011,0.10161414742469788,0.20078198611736298,0.18818266689777374,0.22679205238819122,0.3118826746940613,0.3613869845867157,0.22982430458068848,0.31164905428886414,0.9999998807907104,0.15044362843036652
.,0.45942068099975586,0.31919315457344055,0.35288307070732117,0.17949827015399933,0.1410340517759323,0.4645031690597534,0.515582263469696,0.50484299659729,0.371569961309433,0.5352458953857422,0.25546368956565857,0.22067908942699432,0.588965117931366,0.21431884169578552,0.1901008039712906,0.4130953550338745
'',-0.03332270681858063,0.03180740773677826,0.01978493109345436,0.048713020980358124,0.14427128434181213,-0.009905828163027763,0.006628023460507393,0.04890415817499161,-0.01899585872888565,0.13035868108272552,-0.06271147727966309,-0.03168703615665436,0.021612688899040222,-0.037102390080690384,-0.08964966237545013,0.018684765323996544
