,whose,principles,were,the,principle,of,faunal,succession,built,upon,?
based,0.20902396738529205,0.33106881380081177,0.2693869471549988,0.29860720038414,0.2775426506996155,0.3033197224140167,0.15392935276031494,0.13228459656238556,0.23899057507514954,0.3341301381587982,0.134929820895195
on,0.17062877118587494,0.2104194611310959,0.2774328887462616,0.5107308030128479,0.190961554646492,0.3966929316520691,0.16368524730205536,0.14500533044338226,0.1758279800415039,0.3876325786113739,0.2714994251728058
principles,0.169301375746727,1.0000001192092896,0.1844840943813324,0.21452596783638,0.8624683022499084,0.25854504108428955,0.33435162901878357,0.17531879246234894,0.14164765179157257,0.2920569181442261,0.19203636050224304
laid,0.12348118424415588,0.21382831037044525,0.2557602822780609,0.30588608980178833,0.21751263737678528,0.3146350383758545,0.30196964740753174,0.24807700514793396,0.3485262989997864,0.21361574530601501,0.11215737462043762
out,0.17154288291931152,0.181335911154747,0.3354760408401489,0.39404502511024475,0.21232526004314423,0.34176841378211975,0.08884517848491669,0.13380493223667145,0.1308143585920334,0.2181106060743332,0.22020699083805084
by,0.3384193778038025,0.19437851011753082,0.4406847059726715,0.4408751428127289,0.18832720816135406,0.3646814823150635,0.14836342632770538,0.23362506926059723,0.22056880593299866,0.3096585273742676,0.17966607213020325
william,0.19628676772117615,0.21217238903045654,0.18914814293384552,0.21537061035633087,0.18949006497859955,0.20272590219974518,0.20727942883968353,0.19280306994915009,0.17208367586135864,0.1915910392999649,0.14462219178676605
smith,0.1616925448179245,0.18851420283317566,0.19180384278297424,0.24611686170101166,0.15191134810447693,0.1941387802362442,0.1975845992565155,0.07682164013385773,0.0978463813662529,0.20335832238197327,0.21930724382400513
almost,0.2527977526187897,0.1768009513616562,0.3111434280872345,0.3341992199420929,0.20835383236408234,0.3144364058971405,0.20563438534736633,0.17706076800823212,0.12540581822395325,0.18105927109718323,0.1372147500514984
a,0.3225097060203552,0.12539856135845184,0.17203083634376526,0.5829201340675354,0.1871873140335083,0.5052502155303955,0.16662225127220154,0.22721372544765472,0.23064446449279785,0.17546571791172028,0.23916715383529663
hundred,0.2498164027929306,0.18568535149097443,0.34201544523239136,0.3325488865375519,0.14013949036598206,0.3473483920097351,0.22303837537765503,0.20084019005298615,0.2577809691429138,0.17305812239646912,0.17378053069114685
years,0.21336688101291656,0.13290512561798096,0.3048669695854187,0.2912273406982422,0.07262511551380157,0.2904134690761566,0.24567383527755737,0.27928653359413147,0.24890832602977753,0.15057383477687836,0.1914375126361847
before,0.17405958473682404,0.1874866634607315,0.3127685785293579,0.45900648832321167,0.16126586496829987,0.3282964527606964,0.16765497624874115,0.25818467140197754,0.17410962283611298,0.33818525075912476,0.2507109045982361
the,0.38253846764564514,0.21452596783638,0.3906462490558624,1.0,0.24017377197742462,0.733189046382904,0.2679622173309326,0.3133684992790222,0.2950156033039093,0.28184252977371216,0.22068053483963013
publication,0.2032489776611328,0.2623462677001953,0.15528470277786255,0.24080322682857513,0.219753235578537,0.20938149094581604,0.29507017135620117,0.24733366072177887,0.15142486989498138,0.12558765709400177,0.2191428393125534
of,0.37058958411216736,0.25854504108428955,0.34038281440734863,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.23442776501178741,0.3224298357963562,0.1826142966747284
charles,0.10945536196231842,0.1728537529706955,0.1862054467201233,0.20777860283851624,0.16670408844947815,0.22512592375278473,0.1952461302280426,0.2612224817276001,0.11009470373392105,0.17797350883483887,0.17366734147071838
darwin,0.12611833214759827,0.30398014187812805,0.20057131350040436,0.1935407668352127,0.309481143951416,0.17460091412067413,0.32590869069099426,0.1822180449962616,0.12758611142635345,0.17146989703178406,0.13912999629974365
