,what,spinoff,of,happy,days,debuted,in,1976,?
the,0.42745697498321533,0.27353307604789734,0.733189046382904,0.2117847055196762,0.2574930489063263,0.28418588638305664,0.6662389636039734,0.05905425176024437,0.22068053483963013
rousing,0.27207112312316895,0.24834316968917847,0.30132338404655457,0.26170581579208374,0.17917108535766602,0.14466048777103424,0.23298493027687073,0.11127110570669174,0.1879204511642456
success,0.22873179614543915,0.24121730029582977,0.20485365390777588,0.16871948540210724,0.1444987952709198,0.40920189023017883,0.3020555078983307,0.18738320469856262,0.1216118186712265
of,0.33290785551071167,0.2608235478401184,1.0,0.16275200247764587,0.23668107390403748,0.18094587326049805,0.5696388483047485,0.04266154393553734,0.1826142966747284
happy,0.2849810719490051,0.21471484005451202,0.16275200247764587,1.0000001192092896,0.33860671520233154,0.19740858674049377,0.19048242270946503,0.22799338400363922,0.27375271916389465
days,0.2191895991563797,0.16433675587177277,0.23668107390403748,0.33860671520233154,0.9999998807907104,0.19301708042621613,0.24827800691127777,0.09217197448015213,0.2198754847049713
also,0.42747777700424194,0.29154691100120544,0.4924938678741455,0.24715259671211243,0.24093933403491974,0.22665639221668243,0.5073733329772949,0.11856517940759659,0.21848613023757935
led,0.12112844735383987,0.1787949800491333,0.32918456196784973,0.10188772529363632,0.17434316873550415,0.2670147716999054,0.2990247309207916,0.040224913507699966,0.09273858368396759
to,0.455847829580307,0.2525556683540344,0.41548454761505127,0.25705406069755554,0.2942236363887787,0.17721480131149292,0.45010748505592346,0.1282438188791275,0.29463258385658264
a,0.3320399522781372,0.23610427975654602,0.5052502155303955,0.25186726450920105,0.24421119689941406,0.22790193557739258,0.539380669593811,0.055039286613464355,0.23916715383529663
successful,0.16902779042720795,0.22587372362613678,0.2304827868938446,0.21245184540748596,0.17625866830348969,0.3796207308769226,0.2864660918712616,0.14273583889007568,0.1132197454571724
spin-off,0.17925040423870087,0.6557798385620117,0.19919566810131073,0.16151009500026703,0.16220910847187042,0.22094973921775818,0.20659251511096954,0.10885366052389145,0.1063259020447731
series,0.17328087985515594,0.46288928389549255,0.22268271446228027,0.11589711904525757,0.2004431188106537,0.2802524268627167,0.2914260923862457,0.11614654213190079,0.1709602326154709
",",0.3087472915649414,0.33401575684547424,0.4946078956127167,0.2587965726852417,0.34504905343055725,0.23864160478115082,0.5201468467712402,0.1272497922182083,0.31091248989105225
laverne,0.15282829105854034,0.22824080288410187,0.14736223220825195,0.2152373194694519,0.17601796984672546,0.22765366733074188,0.2994062602519989,0.25020965933799744,0.15383945405483246
&,0.11141876131296158,0.2322816401720047,0.19900451600551605,0.061144184321165085,0.04056314751505852,0.06491157412528992,0.1358654648065567,0.13041618466377258,0.12596383690834045
shirley,0.1336555927991867,0.21734590828418732,0.11547418683767319,0.2223709672689438,0.11166613548994064,0.23192884027957916,0.21833598613739014,0.29301881790161133,0.127523273229599
",",0.3087472915649414,0.33401575684547424,0.4946078956127167,0.2587965726852417,0.34504905343055725,0.23864160478115082,0.5201468467712402,0.1272497922182083,0.31091248989105225
which,0.5261979103088379,0.23744307458400726,0.5011631846427917,0.2121075838804245,0.21783310174942017,0.17272479832172394,0.4840516746044159,0.06574569642543793,0.25814583897590637
debuted,0.08543460816144943,0.23084144294261932,0.18094587326049805,0.19740858674049377,0.19301708042621613,0.9999999403953552,0.25110283493995667,0.23837241530418396,0.12089905142784119
in,0.30808621644973755,0.2422005534172058,0.5696388483047485,0.19048242270946503,0.24827800691127777,0.25110283493995667,1.0,0.05630391836166382,0.20430970191955566
1976,0.1609642058610916,0.08622027188539505,0.04266154393553734,0.22799338400363922,0.09217197448015213,0.23837241530418396,0.05630391836166382,1.0000001192092896,0.08586528897285461
.,0.3567904531955719,0.31168410181999207,0.5352458953857422,0.27015021443367004,0.2610209584236145,0.2639025151729584,0.5591574311256409,0.06453319638967514,0.4130953550338745
