,when,did,isil,pledge,allegiance,to,al-qaeda,?
originating,0.2270207703113556,0.16153547167778015,0.20952606201171875,0.16990646719932556,0.24196624755859375,0.29921507835388184,0.14252938330173492,0.1133110523223877
as,0.4437963366508484,0.3596470057964325,0.2537670135498047,0.12363217771053314,0.14772483706474304,0.42092081904411316,0.1676618605852127,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,0.32370734214782715,0.2515122890472412,0.26782822608947754,0.535392165184021,0.24044957756996155,0.22068053483963013
jama'at,0.21321235597133636,0.22050119936466217,0.36520323157310486,0.2342001497745514,0.2040238380432129,0.2093401998281479,0.3516131043434143,0.2109089344739914
al-tawhid,0.25102755427360535,0.3178669810295105,0.3837605118751526,0.3174992501735687,0.2999815046787262,0.31621378660202026,0.46605026721954346,0.39677947759628296
wal-jihad,0.1782623529434204,0.22958853840827942,0.5614559054374695,0.36808034777641296,0.3522069752216339,0.232466459274292,0.5428434610366821,0.22138552367687225
in,0.4431333839893341,0.2593238651752472,0.22452087700366974,0.16540320217609406,0.19433653354644775,0.45010748505592346,0.18540461361408234,0.20430970191955566
1999,0.012987824156880379,0.08004042506217957,0.18774457275867462,0.21348336338996887,0.21855677664279938,0.03205801546573639,0.10939542204141617,0.05416720360517502
",",0.36674630641937256,0.3015086054801941,0.26200172305107117,0.25115370750427246,0.17636556923389435,0.44245919585227966,0.24820753931999207,0.31091248989105225
it,0.4775012135505676,0.2993364930152893,0.19233690202236176,0.1213131994009018,0.17156793177127838,0.513711154460907,0.12332122772932053,0.25732165575027466
pledged,0.23220564424991608,0.29594528675079346,0.3255492150783539,0.7424748539924622,0.42225995659828186,0.26786842942237854,0.29763200879096985,0.18698956072330475
allegiance,0.2298869490623474,0.23339742422103882,0.279909610748291,0.5065144300460815,0.9999998807907104,0.23390747606754303,0.24579912424087524,0.10591092705726624
to,0.5423505902290344,0.4452643394470215,0.20913398265838623,0.3114546835422516,0.23390747606754303,1.0,0.243631973862648,0.29463258385658264
al-qaeda,0.16748076677322388,0.18361106514930725,0.487177312374115,0.2622220516204834,0.24579912424087524,0.243631973862648,0.9999999403953552,0.1877317875623703
in,0.4431333839893341,0.2593238651752472,0.22452087700366974,0.16540320217609406,0.19433653354644775,0.45010748505592346,0.18540461361408234,0.20430970191955566
2004,-0.2735671103000641,-0.11159943789243698,-0.08957777172327042,-0.07583749294281006,-0.026623040437698364,-0.3218703269958496,-0.04389890655875206,-0.15923042595386505
",",0.36674630641937256,0.3015086054801941,0.26200172305107117,0.25115370750427246,0.17636556923389435,0.44245919585227966,0.24820753931999207,0.31091248989105225
participated,0.16636551916599274,0.2765139937400818,0.2657480537891388,0.22230805456638336,0.20345346629619598,0.2061363309621811,0.25244930386543274,0.11681767553091049
in,0.4431333839893341,0.2593238651752472,0.22452087700366974,0.16540320217609406,0.19433653354644775,0.45010748505592346,0.18540461361408234,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.32370734214782715,0.2515122890472412,0.26782822608947754,0.535392165184021,0.24044957756996155,0.22068053483963013
iraqi,0.1515178382396698,0.15640580654144287,0.5246331691741943,0.2183040827512741,0.22597640752792358,0.14708885550498962,0.4229657053947449,0.16671344637870789
insurgency,0.2203974425792694,0.19741657376289368,0.4841003119945526,0.3198605477809906,0.35110610723495483,0.20229141414165497,0.37992584705352783,0.11632584035396576
that,0.5860282182693481,0.47518548369407654,0.24527496099472046,0.25505053997039795,0.2443547546863556,0.5436353087425232,0.2736676037311554,0.32716336846351624
followed,0.2927686870098114,0.2675115466117859,0.24778085947036743,0.1953606903553009,0.15363949537277222,0.23444271087646484,0.14164739847183228,0.20567169785499573
the,0.5091903209686279,0.34736719727516174,0.32370734214782715,0.2515122890472412,0.26782822608947754,0.535392165184021,0.24044957756996155,0.22068053483963013
march,0.22895319759845734,0.27992504835128784,0.20834046602249146,0.1809958815574646,0.16747769713401794,0.2274535447359085,0.23852400481700897,0.2802562415599823
