,the,party,awarded,a,seat,is,the,one,with,the,highest,what,?
the,1.0,0.23779736459255219,0.24971646070480347,0.5829201340675354,0.24530775845050812,0.5823672413825989,1.0,0.5514441132545471,0.4223487675189972,1.0,0.36945265531539917,0.42745697498321533,0.22068053483963013
party,0.23779736459255219,0.9999999403953552,0.16210031509399414,0.20141370594501495,0.26313984394073486,0.1756078004837036,0.23779736459255219,0.22651320695877075,0.21132639050483704,0.23779736459255219,0.12525486946105957,0.2398013323545456,0.19031576812267303
with,0.4223487675189972,0.21132639050483704,0.24412788450717926,0.3783375024795532,0.08952681720256805,0.3250955045223236,0.4223487675189972,0.3855307400226593,0.9999999403953552,0.4223487675189972,0.1758200079202652,0.2464839518070221,0.2433311939239502
the,1.0,0.23779736459255219,0.24971646070480347,0.5829201340675354,0.24530775845050812,0.5823672413825989,1.0,0.5514441132545471,0.4223487675189972,1.0,0.36945265531539917,0.42745697498321533,0.22068053483963013
highest,0.36945265531539917,0.12525486946105957,0.32916155457496643,0.23707912862300873,0.18266379833221436,0.27460670471191406,0.36945265531539917,0.26147523522377014,0.1758200079202652,0.36945265531539917,1.0,0.19637788832187653,0.11527936160564423
quotient,0.25894567370414734,0.21494132280349731,0.17552107572555542,0.29136255383491516,0.12827368080615997,0.2975669503211975,0.25894567370414734,0.34263545274734497,0.21385987102985382,0.25894567370414734,0.21055194735527039,0.30547595024108887,0.2688368856906891
is,0.5823672413825989,0.1756078004837036,0.14507921040058136,0.658733606338501,0.22830115258693695,1.0,0.5823672413825989,0.4544198513031006,0.3250955045223236,0.5823672413825989,0.27460670471191406,0.28837618231773376,0.22961433231830597
awarded,0.24971646070480347,0.16210031509399414,1.0,0.21683081984519958,0.10683784633874893,0.14507921040058136,0.24971646070480347,0.22497835755348206,0.24412788450717926,0.24971646070480347,0.32916155457496643,0.0973663404583931,0.1431703418493271
the,1.0,0.23779736459255219,0.24971646070480347,0.5829201340675354,0.24530775845050812,0.5823672413825989,1.0,0.5514441132545471,0.4223487675189972,1.0,0.36945265531539917,0.42745697498321533,0.22068053483963013
seat,0.24530775845050812,0.26313984394073486,0.10683784633874893,0.19567342102527618,1.0,0.22830115258693695,0.24530775845050812,0.12989884614944458,0.08952681720256805,0.24530775845050812,0.18266379833221436,0.1103479340672493,0.06630133837461472
",",0.4933079481124878,0.21963930130004883,0.2723027765750885,0.427140474319458,0.18137462437152863,0.4691906273365021,0.4933079481124878,0.3696635365486145,0.4120737314224243,0.4933079481124878,0.22094981372356415,0.3087472915649414,0.31091248989105225
which,0.6521818041801453,0.1907830387353897,0.16315899789333344,0.56894451379776,0.11583907157182693,0.4457404911518097,0.6521818041801453,0.510688066482544,0.46403205394744873,0.6521818041801453,0.2561801075935364,0.5261979103088379,0.25814583897590637
is,0.5823672413825989,0.1756078004837036,0.14507921040058136,0.658733606338501,0.22830115258693695,1.0,0.5823672413825989,0.4544198513031006,0.3250955045223236,0.5823672413825989,0.27460670471191406,0.28837618231773376,0.22961433231830597
then,0.4297412931919098,0.18230266869068146,0.14918887615203857,0.3970017731189728,0.1292949616909027,0.24618037045001984,0.4297412931919098,0.35938480496406555,0.37121716141700745,0.4297412931919098,0.14835521578788757,0.4072686731815338,0.2884598970413208
added,0.3207796514034271,0.17161411046981812,0.2456374615430832,0.2839798927307129,0.09083867818117142,0.21163742244243622,0.3207796514034271,0.27502384781837463,0.3135547637939453,0.3207796514034271,0.13741613924503326,0.23789235949516296,0.2865637540817261
to,0.535392165184021,0.1893671154975891,0.17180772125720978,0.45503583550453186,0.14240662753582,0.42745086550712585,0.535392165184021,0.4025384783744812,0.4239959120750427,0.535392165184021,0.21947018802165985,0.455847829580307,0.29463258385658264
its,0.559237003326416,0.1697925329208374,0.13964039087295532,0.4424409866333008,0.23117636144161224,0.4447362422943115,0.559237003326416,0.42848992347717285,0.3087116777896881,0.559237003326416,0.24872645735740662,0.30393704771995544,0.15103481709957123
constituency,0.21350570023059845,0.38706207275390625,0.11695649474859238,0.17216160893440247,0.3711167275905609,0.18986161053180695,0.21350570023059845,0.13565871119499207,0.08554375171661377,0.21350570023059845,0.143677219748497,0.1581810563802719,0.05170569196343422
seats,0.25880131125450134,0.3720419406890869,0.08004302531480789,0.23492009937763214,0.5839186906814575,0.19383582472801208,0.25880131125450134,0.20994427800178528,0.1449013352394104,0.25880131125450134,0.20903339982032776,0.12961463630199432,0.10678832978010178
in,0.6662389636039734,0.20446790754795074,0.25735601782798767,0.539380669593811,0.2778983414173126,0.5394441485404968,0.6662389636039734,0.4129433035850525,0.4080928862094879,0.6662389636039734,0.3400614559650421,0.30808621644973755,0.20430970191955566
allocating,0.34273481369018555,0.1390458345413208,0.1558593064546585,0.31210795044898987,0.1316796988248825,0.20254620909690857,0.34273481369018555,0.32357627153396606,0.3047885298728943,0.34273481369018555,0.23831415176391602,0.31457948684692383,0.24378159642219543
the,1.0,0.23779736459255219,0.24971646070480347,0.5829201340675354,0.24530775845050812,0.5823672413825989,1.0,0.5514441132545471,0.4223487675189972,1.0,0.36945265531539917,0.42745697498321533,0.22068053483963013
second,0.4620301127433777,0.1964469850063324,0.2199857234954834,0.3655064105987549,0.21331825852394104,0.3161451518535614,0.4620301127433777,0.4495090842247009,0.272382527589798,0.4620301127433777,0.34623709321022034,0.19948028028011322,0.17239587008953094
seat,0.24530775845050812,0.26313984394073486,0.10683784633874893,0.19567342102527618,1.0,0.22830115258693695,0.24530775845050812,0.12989884614944458,0.08952681720256805,0.24530775845050812,0.18266379833221436,0.1103479340672493,0.06630133837461472
.,0.5934505462646484,0.23341989517211914,0.25280869007110596,0.50484299659729,0.20119667053222656,0.4569662809371948,0.5934505462646484,0.4123194217681885,0.4446153938770294,0.5934505462646484,0.2254713773727417,0.3567904531955719,0.4130953550338745
