,jean,de,rely,'s,illustrated,french-language,scriptures,were,first,published,in,what,city,?
a,0.19298788905143738,0.19532008469104767,0.25360018014907837,0.04866964742541313,0.166479229927063,0.27548012137413025,0.1738312989473343,0.17203083634376526,0.4287874400615692,0.1993555724620819,0.539380669593811,0.3320399522781372,0.2349124401807785,0.23916715383529663
two-volume,0.10671550780534744,0.1972683221101761,0.16656169295310974,-0.07577892392873764,0.31498536467552185,0.21114714443683624,0.21270018815994263,0.22173652052879333,0.2536163032054901,0.41327446699142456,0.25696784257888794,0.22253262996673584,0.18862773478031158,0.23446457087993622
illustrated,0.14512258768081665,0.16030187904834747,0.18588994443416595,-0.03517696261405945,1.0000001192092896,0.1564658135175705,0.21052186191082,0.12577679753303528,0.13399744033813477,0.42284095287323,0.18751010298728943,0.17362871766090393,0.07245007902383804,0.1687079519033432
folio,0.18901316821575165,0.21796025335788727,0.1610114723443985,-0.06954372674226761,0.3383805453777313,0.2774910032749176,0.20034737884998322,0.17797602713108063,0.2556464970111847,0.35117337107658386,0.1629977971315384,0.17673486471176147,0.06875614821910858,0.2128666639328003
paraphrase,0.16713795065879822,0.11375653743743896,0.31031349301338196,-0.005388967227190733,0.29459288716316223,0.3563588261604309,0.3161275386810303,0.1246073991060257,0.21301935613155365,0.24065271019935608,0.18183115124702454,0.4074001908302307,0.07508861273527145,0.43685612082481384
version,0.11185219138860703,0.09855896979570389,0.17642642557621002,-0.009124638512730598,0.212951198220253,0.23458567261695862,0.2368459403514862,0.19237180054187775,0.2650057077407837,0.2710597515106201,0.19599339365959167,0.20755547285079956,0.12067395448684692,0.2573966085910797
based,0.10278869420289993,0.16924847662448883,0.4285411536693573,0.06600074470043182,0.2120162397623062,0.22858478128910065,0.2254253327846527,0.2693869471549988,0.29159173369407654,0.3339184820652008,0.3070422410964966,0.274813175201416,0.20024986565113068,0.134929820895195
on,0.17501379549503326,0.1432282030582428,0.3302572965621948,0.0026888418942689896,0.20161676406860352,0.19299806654453278,0.12863272428512573,0.2774328887462616,0.3120559751987457,0.26885396242141724,0.46853652596473694,0.34226128458976746,0.2549738585948944,0.2714994251728058
his,0.2558203935623169,0.2286754995584488,0.1546144187450409,0.047556519508361816,0.21202786266803741,0.2034091353416443,0.2820189297199249,0.3142043352127075,0.3241460621356964,0.2540745139122009,0.3598145842552185,0.26976513862609863,0.1923673152923584,0.18075084686279297
manuscript,0.18460269272327423,0.17845746874809265,0.14002074301242828,0.018831321969628334,0.35090959072113037,0.2533901631832123,0.5101912021636963,0.1856708973646164,0.20957641303539276,0.3759429156780243,0.20317763090133667,0.17996065318584442,0.17683272063732147,0.1704554408788681
",",0.23047874867916107,0.2882855534553528,0.253036767244339,-0.0016132977325469255,0.22477607429027557,0.31467458605766296,0.25154221057891846,0.36755475401878357,0.34503069519996643,0.2937801778316498,0.5201468467712402,0.3087472915649414,0.35839709639549255,0.31091248989105225
by,0.24977658689022064,0.1910746693611145,0.21513018012046814,-0.010884488001465797,0.24316418170928955,0.24744661152362823,0.1709713488817215,0.4406847059726715,0.3877052962779999,0.32986849546432495,0.370934396982193,0.2455483376979828,0.21020644903182983,0.17966607213020325
jean,0.9999999403953552,0.30068209767341614,0.07029711455106735,0.0052336519584059715,0.14512258768081665,0.29535195231437683,0.08823884278535843,0.1663362681865692,0.21532060205936432,0.17987249791622162,0.19998259842395782,0.10624528676271439,0.1065264493227005,0.1531364470720291
de,0.30068209767341614,1.0,0.1199621930718422,0.018396059051156044,0.16030187904834747,0.26368623971939087,0.1408226639032364,0.1311400681734085,0.21795547008514404,0.17940755188465118,0.24818959832191467,0.10476839542388916,0.15923210978507996,0.11064168810844421
