,what,'s,the,name,of,the,green,space,north,of,the,center,of,newcastle,?
another,0.4190070629119873,0.026405371725559235,0.5019711852073669,0.29026278853416443,0.38147079944610596,0.5019711852073669,0.1746535301208496,0.2559306025505066,0.19450132548809052,0.38147079944610596,0.5019711852073669,0.14887449145317078,0.38147079944610596,0.16558177769184113,0.295511931180954
green,0.16762696206569672,0.07822670787572861,0.24099771678447723,0.12870781123638153,0.2225196659564972,0.24099771678447723,1.0,0.14416173100471497,0.21885791420936584,0.2225196659564972,0.24099771678447723,0.10705336928367615,0.2225196659564972,0.16354252398014069,0.11409882456064224
space,0.20525942742824554,-0.1200559139251709,0.24495907127857208,0.10096189379692078,0.21300287544727325,0.24495907127857208,0.14416173100471497,1.0000001192092896,0.09438390284776688,0.21300287544727325,0.24495907127857208,0.23497143387794495,0.21300287544727325,0.1278591752052307,0.1885536164045334
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.22731968760490417,0.17648501694202423,0.39050599932670593,0.5696388483047485,0.6662389636039734,0.27253323793411255,0.5696388483047485,0.19270820915699005,0.20430970191955566
newcastle,0.16276082396507263,-0.017262522131204605,0.2253497689962387,0.11727967113256454,0.18781472742557526,0.2253497689962387,0.16354252398014069,0.1278591752052307,0.28581127524375916,0.18781472742557526,0.2253497689962387,0.11147858202457428,0.18781472742557526,1.0000001192092896,0.0902252271771431
is,0.28837618231773376,0.02396530658006668,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.23195718228816986,0.18578536808490753,0.2993389368057251,0.4854315221309662,0.5823672413825989,0.24782158434391022,0.4854315221309662,0.1841045320034027,0.22961433231830597
the,0.42745697498321533,-0.01540423184633255,1.0,0.3171212375164032,0.733189046382904,1.0,0.24099771678447723,0.24495907127857208,0.36298373341560364,0.733189046382904,1.0,0.29064592719078064,0.733189046382904,0.2253497689962387,0.22068053483963013
town,0.19713185727596283,-0.0385698527097702,0.2974243760108948,0.21468210220336914,0.26585668325424194,0.2974243760108948,0.1574041098356247,0.08767286688089371,0.31614208221435547,0.26585668325424194,0.2974243760108948,0.2346169650554657,0.26585668325424194,0.3030468225479126,0.09902279824018478
moor,0.12272269278764725,0.11094333231449127,0.20820119976997375,0.08085227757692337,0.1360495388507843,0.20820119976997375,0.2738106846809387,0.16750937700271606,0.24003691971302032,0.1360495388507843,0.20820119976997375,0.100768081843853,0.1360495388507843,0.256187379360199,0.05198021978139877
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2583938241004944,0.2285580337047577,0.31834840774536133,0.4946078956127167,0.4933079481124878,0.1905742734670639,0.4946078956127167,0.251589834690094,0.31091248989105225
lying,0.3733344078063965,0.033590707927942276,0.2937912940979004,0.12754887342453003,0.2881365120410919,0.2937912940979004,0.13808929920196533,0.08759263157844543,0.26398414373397827,0.2881365120410919,0.2937912940979004,0.10641077905893326,0.2881365120410919,0.23153840005397797,0.18821199238300323
immediately,0.3574325740337372,-0.04081517830491066,0.39876270294189453,0.18386639654636383,0.27121785283088684,0.39876270294189453,0.20433934032917023,0.11881588399410248,0.21269281208515167,0.27121785283088684,0.39876270294189453,0.08815515041351318,0.27121785283088684,0.17349505424499512,0.21004259586334229
north,0.18673177063465118,0.06196961551904678,0.36298373341560364,0.18302021920681,0.3604778051376343,0.36298373341560364,0.21885791420936584,0.09438390284776688,1.0,0.3604778051376343,0.36298373341560364,0.26633593440055847,0.3604778051376343,0.28581127524375916,0.11829731613397598
of,0.33290785551071167,-0.03817026689648628,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2225196659564972,0.21300287544727325,0.3604778051376343,1.0,0.733189046382904,0.24526838958263397,1.0,0.18781472742557526,0.1826142966747284
the,0.42745697498321533,-0.01540423184633255,1.0,0.3171212375164032,0.733189046382904,1.0,0.24099771678447723,0.24495907127857208,0.36298373341560364,0.733189046382904,1.0,0.29064592719078064,0.733189046382904,0.2253497689962387,0.22068053483963013
city,0.17493832111358643,0.004406440537422895,0.35769423842430115,0.22892655432224274,0.32503411173820496,0.35769423842430115,0.12723447382450104,0.12569138407707214,0.3820379972457886,0.32503411173820496,0.35769423842430115,0.32096901535987854,0.32503411173820496,0.32860881090164185,0.13423943519592285
centre,0.12324132025241852,0.045265499502420425,0.32783594727516174,0.12278583645820618,0.2769378423690796,0.32783594727516174,0.1375925987958908,0.1848910003900528,0.2856961786746979,0.2769378423690796,0.32783594727516174,0.5607178807258606,0.2769378423690796,0.24609284102916718,0.019365152344107628
.,0.3567904531955719,-0.003708066651597619,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.23737919330596924,0.2385488897562027,0.3171539604663849,0.5352458953857422,0.5934505462646484,0.29649654030799866,0.5352458953857422,0.2714749276638031,0.4130953550338745
